acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.06075,0.001,0.256,0.0046234997,0.01737975,-0.00154125,1741836222.7911649
0.0635,-0.00825,0.236,0.00355525,0.017883249,-0.0016632499,1741836222.80396
0.06775,-0.01475,0.23475,-0.0003815,0.0168,-0.0012665,1741836222.81847
0.0815,-0.01275,0.25775,-0.00019825,0.01661675,-0.0007935,1741836222.83408
0.0855,-0.0025,0.26675,0.0049742498,0.01820375,-0.0005035,1741836222.847581
0.08375,-0.0095,0.24575,0.00737,0.02023325,-0.0011445,1741836222.862159
0.08875,-0.0195,0.23225,0.007965,0.022216748,-0.001831,1741836222.8765812
0.09375,-0.028,0.22,0.00538625,0.021759002,-0.0017242499,1741836222.891039
0.102,-0.032,0.218,0.004074,0.02034,-0.0012207499,1741836222.906829
0.10575,-0.024,0.22275,0.00393675,0.018402,-0.00048825,1741836222.920254
0.109,-0.00725,0.21675,0.0043182503,0.01835625,-0.0004425,1741836222.9349592
0.11275,-0.01,0.2095,0.0038757501,0.0184785,-0.00080875,1741836222.949378
0.1205,-0.01825,0.19625,0.00296025,0.01779175,-0.00093075,1741836222.964563
0.123,-0.02,0.19025,0.00267025,0.015304499,-0.001068,1741836222.978355
0.12775,-0.0255,0.18,0.00352475,0.0139465,-0.00102225,1741836222.994247
0.12925,-0.02525,0.17925,0.00419625,0.010803251,-0.0007325,1741836223.007412
0.13125,-0.02,0.186,0.0035704998,0.00935375,-0.00064075,1741836223.0218759
0.133,-0.02225,0.18575,0.00201425,0.007309,-0.000534,1741836223.0363588
0.137,-0.028,0.1835,0.0010375,0.0062407497,-0.00036625,1741836223.050849
0.13875,-0.02725,0.1905,-1.5250001e-05,0.00491325,-0.00013725001,1741836223.065548
0.13925,-0.02525,0.2015,-0.00036625,0.0030365,0.0001525,1741836223.0800939
0.139,-0.02375,0.21625,0.0002595,0.0032655,0.00013725001,1741836223.094493
0.139,-0.02375,0.213,0.000946,0.004547,0.00013725001,1741836223.1090848
0.13975,-0.025,0.19775,0.00083925005,0.0044555003,0.000229,1741836223.124299
0.1405,-0.024,0.194,0.00119025,0.0028229998,0.00027475,1741836223.137962
0.142,-0.0245,0.19825,0.00163275,0.0019685,0.00027475,1741836223.1524532
0.14225,-0.0245,0.2035,0.0015565,0.00187675,0.00016775,1741836223.1669939
0.14375,-0.023,0.2135,0.001007,0.0025025,0.00013725001,1741836223.181522
0.1445,-0.022,0.21425,0.0004425,0.0041810004,6.1000002e-05,1741836223.196019
0.147,-0.02225,0.20875,0.00077825,0.00494375,-4.575e-05,1741836223.2106318
0.149,-0.02475,0.2035,0.0014037499,0.0055847503,-0.000183,1741836223.225125
0.151,-0.0315,0.19675,0.0027312501,0.0055847503,-0.00035100002,1741836223.239579
0.1505,-0.03225,0.19925,0.0027312501,0.00505075,-0.00030525,1741836223.254088
0.1505,-0.031,0.20475,0.0021515,0.0052337497,-0.00010675,1741836223.2686121
0.153,-0.02875,0.21575,0.0022735,0.0060882503,-4.575e-05,1741836223.283087
0.154,-0.02675,0.2165,0.00283825,0.008148249,7.625e-05,1741836223.297502
