acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.2405,0.00025,-0.0395,-6.1000002e-05,-0.00065625,-0.0004425,1741839248.353036
0.24125,-0.00275,-0.03675,-0.0002595,-0.00065625,-0.0002135,1741839248.3671172
0.242,-0.0035,-0.0365,-0.00080875,-0.0003205,0.00064075,1741839248.381943
0.2425,0.0005,-0.03725,-0.00074775,-0.00016775,0.0009155,1741839248.396527
0.24275,0.00325,-0.0365,-0.00030525,4.575e-05,0.00068675,1741839248.411073
0.24425,0.00425,-0.03575,0.0,1.5250001e-05,0.0003815,1741839248.425335
0.24475,0.00325,-0.03625,0.0003815,-0.00024425,-0.00013725001,1741839248.4407659
0.2465,0.001,-0.03475,0.00039675,-0.00036625,-0.000229,1741839248.454554
0.2475,0.0005,-0.03325,0.000412,-0.000412,-0.00019825,1741839248.4700558
0.247,0.0035,-0.034,0.0004425,-0.0001525,3.0500001e-05,1741839248.4837718
0.24575,0.0055,-0.036,0.00035100002,4.575e-05,0.00010675,1741839248.498188
0.24475,0.006,-0.03725,0.00035100002,0.00033575002,-9.15e-05,1741839248.512886
0.2435,0.00225,-0.0395,0.000473,0.00042725,-0.0002595,1741839248.5272589
0.24275,-0.00025,-0.04,0.00036625,0.0004425,-0.00019825,1741839248.541837
0.2425,-0.00075,-0.039,0.00045775,0.0004425,-0.000122000005,1741839248.556489
0.24175,-0.00075,-0.04025,0.00090025004,0.0003205,-0.0002595,1741839248.5710962
0.242,-0.00125,-0.04175,0.00099175,0.00016775,-0.00030525,1741839248.585848
0.24275,-0.00125,-0.04075,0.00093075,0.0,-0.00027475,1741839248.600523
0.24375,-0.0015,-0.038,0.0007325,3.0500001e-05,-0.000183,1741839248.615108
0.24425,-0.0025,-0.036,0.00030525,0.0001525,0.00016775,1741839248.630312
0.24375,-0.00225,-0.03525,0.0003815,0.00029,0.00027475,1741839248.6442099
0.24225,-0.00025,-0.037,0.0005645,0.00061025,0.00029,1741839248.658735
0.24075,0.0035,-0.0395,0.000534,0.00068675,0.000183,1741839248.6731572
0.2405,0.00275,-0.04125,0.00054925,0.00064075,1.5250001e-05,1741839248.6877282
0.24025,-0.00125,-0.047,0.0007325,0.00033575002,-0.000229,1741839248.702246
0.2405,-0.0025,-0.04725,0.0007935,6.1000002e-05,-0.000122000005,1741839248.7168262
0.241,-0.002,-0.04475,0.00062550005,-0.00029,0.00035100002,1741839248.731603
0.2405,0.0015,-0.0405,0.00033575002,-6.1000002e-05,0.0005035,1741839248.74596
0.237,0.0035,-0.04525,-0.00027475,0.00109875,0.00061025,1741839248.760406
0.21675,0.012,-0.07875,-0.00096125,0.001953,0.00074775,1741839248.774902
0.2045,0.01675,-0.11225,-0.00308225,0.0042572496,0.0014495,1741839248.789449
0.2095,0.0135,-0.222,-0.0042725,0.0055695,0.0016785001,1741839248.803919
0.22425,-0.00325,-0.288,-0.0038605002,0.0100555,-0.0005035,1741839248.818624
0.1885,-0.05925,-0.488,-0.0021057501,0.014434749,-0.002777,1741839248.8332942
0.13475,-0.0985,-0.60975,-0.00112925,0.0185395,-0.0026245,1741839248.848046
0.009,-0.156,-0.7505,-0.005539,0.013122501,0.0043182503,1741839248.8636858
-0.0275,-0.14425,-0.74175,-0.0204925,-0.00708,0.02766425,1741839248.8773131
-0.01675,-0.00025,-0.5275,-0.02174375,-0.019989,0.03404225,1741839248.8921092
0.042,0.06425,-0.308,-0.0091705,-0.05043025,0.02398675,1741839248.906801
0.28775,0.10075,0.31575,-0.00169375,-0.06228625,0.0160675,1741839248.921334
0.409,0.14825,0.64525,0.00187675,-0.0671845,0.01278675,1741839248.93577
0.48625,0.21125,0.893,-0.0032655,-0.05119325,0.01115425,1741839248.950652
0.50375,0.21325,0.981,-0.0031127501,-0.03224175,0.0041044997,1741839248.964771
0.44875,0.14725,0.86025,0.0040587503,0.00030525,-0.01513675,1741839248.98067
0.275,0.0185,0.56575,0.0067902496,0.00785825,-0.020049999,1741839248.993591
0.1925,-0.02525,0.4175,0.0080567505,0.017135499,-0.017974751,1741839249.0082371
0.0635,-0.057,0.09325,0.0069274995,0.01968375,-0.012832751,1741839249.022729
0.0295,-0.0475,-0.04375,0.00585925,0.0153502505,-0.001068,1741839249.037311
0.06575,-0.0025,-0.1495,0.0068665,0.00941475,0.00358575,1741839249.0518022
0.118,0.03575,-0.12925,0.00897225,-0.0016632499,0.009719751,1741839249.066313
0.2205,0.13275,-0.055,0.00785825,-0.00340275,0.0112,1741839249.0808299
0.25625,0.1605,-0.0275,0.0055237496,-0.0030365,0.011016751,1741839249.095389
0.298,0.1505,0.0225,0.0019225,-0.0009765,0.0052642496,1741839249.109858
0.308,0.1245,0.0505,0.0016175,-0.00045775,0.000885,1741839249.12428
0.31,0.0895,0.0735,0.00175475,0.0003205,-0.00671375,1741839249.138755
0.2925,0.012,0.07825,0.0017852499,0.0011445,-0.008590749,1741839249.153156
0.27875,-0.018,0.0635,0.00054925,0.0040587503,-0.0064239996,1741839249.167754
0.2555,-0.02375,0.028,-0.00065625,0.004547,-0.0036162501,1741839249.182314
0.248,-0.004,0.01375,-0.00115975,0.00352475,-0.00065625,1741839249.197102
0.2525,0.01975,0.00125,-0.001007,0.003418,-0.0011445,1741839249.2116868
0.259,0.0155,0.0,-0.0001525,0.0032195,-0.00354,1741839249.226124
0.2655,-0.00125,-0.00475,-9.15e-05,0.00279225,-0.00372325,1741839249.24129
0.26575,-0.003,-0.0055,-0.0016175,0.0032195,-0.000885,1741839249.255618
0.2585,0.01375,-0.0185,-0.00245675,0.00413525,0.00080875,1741839249.270654
0.255,0.02525,-0.0295,-0.00358575,0.0043335,0.0019225,1741839249.284899
0.25525,0.039,-0.03025,-0.00325,0.0033875,0.00090025004,1741839249.300416
0.25475,0.03675,-0.0235,-0.0025025,0.0024414998,-0.0007935,1741839249.314005
0.25275,0.028,-0.01725,-0.0025025,0.001648,-0.00296025,1741839249.328476
0.25075,0.0065,-0.008,-0.00328075,0.00163275,-0.0026245,1741839249.343147
0.24925,0.00125,-0.00525,-0.00416575,0.0020752498,-0.00065625,1741839249.357804
0.24275,0.006,-0.006,-0.0043182503,0.0025634998,0.00024425,1741839249.372385
0.23925,0.00925,-0.01125,-0.0048979996,0.0038605002,0.0011445,1741839249.3869262
0.23275,0.00875,-0.028,-0.0049285004,0.0043944996,0.00105275,1741839249.401435
0.23125,0.00425,-0.03425,-0.0033570002,0.0042725,0.000122000005,1741839249.415949
0.23325,-0.00025,-0.02925,-0.0017395001,0.00378425,-0.000412,1741839249.431017
0.233,0.0015,-0.02275,0.00149525,0.00334175,-0.001068,1741839249.44508
0.23475,0.0035,-0.01825,0.0021972498,0.00358575,-0.00086975005,1741839249.4597251
0.2365,0.0015,-0.021,0.00169375,0.004547,0.0003205,1741839249.474132
0.23425,0.00025,-0.03375,0.0011445,0.0052337497,0.00099175,1741839249.488595
0.23075,0.004,-0.0415,0.00093075,0.0057525,0.0014495,1741839249.503079
0.22875,0.014,-0.05025,0.00169375,0.0052642496,0.001175,1741839249.517618
0.2305,0.01725,-0.05,0.00238025,0.0043182503,0.00059500005,1741839249.532066
0.2335,0.019,-0.0475,0.00325,0.0023345,-0.00061025,1741839249.546412
0.24,0.01375,-0.04425,0.0033570002,0.001953,-0.00115975,1741839249.561017
