acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.24625,-0.0095,-0.0025,-0.004242,-0.0036315,-0.0087585,1741839181.733441
0.24525,-0.01475,-0.0025,-0.00460825,-0.0039825,-0.0080872495,1741839181.748441
0.245,-0.01675,-0.00025,-0.0040435,-0.00411975,-0.00738525,1741839181.7630122
0.24275,-0.0235,0.0045,-0.00267025,-0.00372325,-0.00794975,1741839181.777855
0.2415,-0.029,0.00525,-0.0007325,-0.0029755002,-0.008316,1741839181.792537
0.24225,-0.035,0.008,-0.0007325,-0.00276175,-0.00741575,1741839181.80735
0.24325,-0.03225,0.00925,-0.00148,-0.00216675,-0.0049742498,1741839181.822005
0.2435,-0.031,0.007,-0.00163275,-0.0017852499,-0.003952,1741839181.836728
0.2435,-0.03325,0.00575,-0.00105275,-0.00115975,-0.0023039998,1741839181.851412
0.24525,-0.035,0.008,-0.000412,-0.000946,-0.0016785001,1741839181.866059
0.24675,-0.0335,0.01025,0.000824,-0.0005035,-0.00108325,1741839181.880619
0.24875,-0.02575,0.01125,0.001114,-0.00024425,-0.0009155,1741839181.8954282
0.249,-0.02275,0.00975,0.001007,0.00010675,-0.00033575002,1741839181.909953
0.2495,-0.019,0.008,0.00083925005,0.0002135,0.0,1741839181.9243069
0.2495,-0.016,0.00725,0.00064075,0.000412,0.000229,1741839181.938741
0.248,-0.01275,0.004,0.00029,0.00090025004,0.00019825,1741839181.953281
0.2475,-0.013,0.0025,0.00027475,0.00102225,-9.15e-05,1741839181.967825
0.247,-0.014,0.00225,0.00042725,0.0009765,-0.00096125,1741839181.982218
0.24575,-0.0185,0.0025,0.000412,0.00083925005,-0.0013885,1741839181.996767
0.2465,-0.02225,0.00325,0.0002595,0.00042725,-0.00198375,1741839182.011319
0.24875,-0.02825,0.006,0.0003205,0.0002595,-0.0021972498,1741839182.025805
0.249,-0.02925,0.00625,0.00068675,0.0002135,-0.0025940002,1741839182.04095
