acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
-0.2485,-0.01875,-0.025,3.0500001e-05,-0.00036625,-0.00051875,1742093335.261342
-0.2485,-0.01875,-0.025,-0.00029,-0.00030525,-3.0500001e-05,1742093335.2734551
-0.2485,-0.0195,-0.0245,-0.00030525,-0.00027475,0.00016775,1742093335.287946
-0.248,-0.0195,-0.025,-0.000122000005,-0.00019825,0.00030525,1742093335.302627
-0.247,-0.02025,-0.026,0.0001525,3.0500001e-05,0.00042725,1742093335.3170612
-0.2475,-0.02025,-0.02525,0.00016775,0.00016775,0.00042725,1742093335.331487
-0.24775,-0.02025,-0.0245,0.00036625,0.00035100002,0.00035100002,1742093335.346055
-0.24775,-0.0205,-0.024,0.0005035,0.00039675,0.00033575002,1742093335.361003
-0.24775,-0.02075,-0.025,0.00051875,0.00036625,0.0003815,1742093335.375166
-0.24775,-0.021,-0.02375,0.00035100002,0.00035100002,0.00042725,1742093335.389778
-0.24775,-0.021,-0.0235,0.00045775,0.0005035,0.00039675,1742093335.4042509
-0.248,-0.02125,-0.0255,0.000473,0.0005645,0.00035100002,1742093335.418899
-0.24775,-0.02125,-0.02475,0.00019825,0.00067150005,0.00029,1742093335.434138
-0.24675,-0.022,-0.02375,0.00013725001,0.0007325,0.0002135,1742093335.448134
-0.24675,-0.02225,-0.0235,0.000122000005,0.000763,9.15e-05,1742093335.4626298
-0.247,-0.022,-0.0235,0.0001525,0.0007935,-0.00016775,1742093335.477237
-0.2475,-0.021,-0.02275,0.00016775,0.00077825,-0.00024425,1742093335.4918048
-0.2475,-0.021,-0.022,0.00030525,0.00067150005,-0.00024425,1742093335.506321
-0.248,-0.02125,-0.022,0.000473,0.00062550005,-0.00024425,1742093335.521052
-0.248,-0.02075,-0.0225,0.00054925,0.0005035,-0.0002135,1742093335.535614
-0.248,-0.02075,-0.0225,0.0004425,0.00042725,-0.00016775,1742093335.550129
-0.248,-0.02075,-0.0225,0.0002595,0.00027475,-0.00010675,1742093335.564713
-0.248,-0.02075,-0.0225,0.000229,0.0002595,-0.000122000005,1742093335.5793111
-0.24775,-0.0205,-0.02225,0.000229,0.0002595,-0.00013725001,1742093335.593837
-0.2475,-0.02075,-0.02175,0.00030525,0.00024425,-0.00013725001,1742093335.608335
-0.2475,-0.02075,-0.02175,0.0004425,0.000229,-0.0001525,1742093335.624375
-0.24775,-0.02075,-0.022,0.00051875,0.0002135,-0.0001525,1742093335.637677
-0.24775,-0.02075,-0.02225,0.00042725,0.000183,-0.000122000005,1742093335.652193
-0.24775,-0.02075,-0.022,0.00035100002,0.00010675,-9.15e-05,1742093335.666829
-0.24775,-0.0205,-0.022,0.000412,7.625e-05,-9.15e-05,1742093335.681323
-0.248,-0.0205,-0.022,0.00054925,3.0500001e-05,-7.625e-05,1742093335.69582
-0.24775,-0.0205,-0.02225,0.0005645,1.5250001e-05,-9.15e-05,1742093335.7103271
-0.24775,-0.0205,-0.02225,0.00061025,6.1000002e-05,-0.00016775,1742093335.725006
-0.24725,-0.02075,-0.0225,0.0005645,7.625e-05,-0.0002135,1742093335.739279
-0.24725,-0.02075,-0.022,0.0004425,0.000122000005,-0.00033575002,1742093335.75396
-0.2475,-0.02075,-0.02175,0.0004425,0.00010675,-0.0003815,1742093335.7683141
-0.248,-0.02025,-0.0215,0.0004425,7.625e-05,-0.000412,1742093335.782827
-0.24825,-0.01975,-0.0215,0.00042725,-4.575e-05,-0.000412,1742093335.79742
-0.248,-0.01975,-0.022,0.000473,-0.00010675,-0.00039675,1742093335.812032
-0.24775,-0.01975,-0.02225,0.000534,-0.000183,-0.0003815,1742093335.826726
-0.24775,-0.0195,-0.02225,0.000534,-0.000183,-0.00039675,1742093335.8414688
-0.248,-0.01925,-0.02225,0.000412,-0.0002595,-0.0003815,1742093335.8561358
-0.24775,-0.0195,-0.022,0.00030525,-0.00033575002,-0.00035100002,1742093335.870817
-0.2475,-0.01975,-0.02225,0.00016775,-0.0005035,-0.0003205,1742093335.8854332
-0.24825,-0.019,-0.0225,0.0001525,-0.0005645,-0.0002595,1742093335.900059
-0.2485,-0.0185,-0.02275,0.000183,-0.00064075,-9.15e-05,1742093335.9147468
-0.248,-0.0185,-0.0235,0.00027475,-0.00062550005,-3.0500001e-05,1742093335.929433
-0.2475,-0.01925,-0.0235,0.0003815,-0.00061025,1.5250001e-05,1742093335.944028
-0.248,-0.0195,-0.02375,0.000412,-0.00051875,1.5250001e-05,1742093335.9586072
-0.248,-0.0195,-0.024,0.00045775,-0.00045775,-1.5250001e-05,1742093335.9732149
-0.24775,-0.01975,-0.0245,0.00062550005,-0.000229,-6.1000002e-05,1742093335.987912
-0.248,-0.01975,-0.02475,0.00059500005,-7.625e-05,-9.15e-05,1742093336.003836
-0.24825,-0.0195,-0.02425,0.0003815,0.00024425,-9.15e-05,1742093336.0172129
-0.24775,-0.0195,-0.02375,0.00033575002,0.00035100002,-7.625e-05,1742093336.031769
-0.2475,-0.0195,-0.0235,0.00045775,0.000412,-0.000122000005,1742093336.046307
-0.2475,-0.0195,-0.0235,0.00054925,0.00045775,-0.00016775,1742093336.060797
-0.24775,-0.01925,-0.021,0.00102225,0.00067150005,-0.0002595,1742093336.0753431
-0.24825,-0.0185,-0.0235,0.0016632499,0.000824,-0.00027475,1742093336.089834
-0.24825,-0.01875,-0.02375,0.0019989999,0.000885,-0.000229,1742093336.1043131
-0.248,-0.0185,-0.02175,0.00193775,0.0008545,-6.1000002e-05,1742093336.118979
-0.248,-0.01825,-0.02225,0.0020599999,0.0007935,-1.5250001e-05,1742093336.133853
-0.24825,-0.0185,-0.023,0.0018615,0.00048825,0.00016775,1742093336.1480992
-0.248,-0.0195,-0.02225,0.00154125,0.0003205,0.00024425,1742093336.162605
-0.24775,-0.02,-0.021,0.0012665,0.00024425,0.00019825,1742093336.177023
-0.2475,-0.02,-0.02225,0.0012665,0.0002135,0.00013725001,1742093336.19161
-0.24775,-0.02,-0.02225,0.0009155,7.625e-05,0.0,1742093336.206016
-0.2475,-0.0195,-0.02225,0.0009765,9.15e-05,-7.625e-05,1742093336.2205272
-0.2475,-0.01975,-0.0235,0.00086975005,0.00010675,-0.0002595,1742093336.235202
-0.24725,-0.01975,-0.02325,0.00054925,9.15e-05,-0.00033575002,1742093336.24984
-0.2475,-0.01975,-0.02275,0.0002595,7.625e-05,-0.00042725,1742093336.264443
-0.24775,-0.0195,-0.0225,0.0,0.00010675,-0.00065625,1742093336.278962
-0.248,-0.019,-0.02225,-4.575e-05,0.00016775,-0.00074775,1742093336.293951
-0.24775,-0.0185,-0.022,-0.00010675,0.0002595,-0.00086975005,1742093336.3082292
-0.24725,-0.0185,-0.02175,-3.0500001e-05,0.00024425,-0.00096125,1742093336.3229382
-0.2475,-0.01825,-0.02125,0.00010675,0.0001525,-0.001114,1742093336.3375418
-0.248,-0.01775,-0.02225,-3.0500001e-05,0.000122000005,-0.0011445,1742093336.352152
-0.248,-0.01775,-0.02225,-0.00013725001,0.000122000005,-0.0012207499,1742093336.3669178
-0.24775,-0.01725,-0.02175,-7.625e-05,0.00010675,-0.0012970001,1742093336.3816772
-0.2475,-0.017,-0.0215,4.575e-05,7.625e-05,-0.0013885,1742093336.3962398
-0.248,-0.016,-0.022,0.00013725001,9.15e-05,-0.001419,1742093336.4109728
-0.24825,-0.01575,-0.02175,0.00013725001,0.000122000005,-0.0013885,1742093336.4256582
-0.2485,-0.0155,-0.0215,-6.1000002e-05,7.625e-05,-0.0013427499,1742093336.440361
-0.2485,-0.01475,-0.023,-0.00030525,3.0500001e-05,-0.0012970001,1742093336.454893
-0.24825,-0.0145,-0.02225,-0.000229,0.00019825,-0.001236,1742093336.469586
-0.248,-0.01425,-0.02175,-0.0001525,0.0001525,-0.0012207499,1742093336.4841979
-0.24825,-0.01425,-0.02175,-0.00024425,9.15e-05,-0.001114,1742093336.498952
-0.249,-0.013,-0.02125,-0.00027475,0.00013725001,-0.0010375,1742093336.51387
-0.249,-0.0125,-0.0215,-4.575e-05,0.00024425,-0.00071725,1742093336.528251
-0.24875,-0.013,-0.02125,9.15e-05,0.0002595,-0.000534,1742093336.543563
-0.2485,-0.01325,-0.021,0.00019825,0.0002135,-0.00029,1742093336.557649
-0.24825,-0.0135,-0.02125,0.0001525,0.00013725001,-0.000229,1742093336.572119
-0.248,-0.0135,-0.021,0.000122000005,1.5250001e-05,-0.0001525,1742093336.586625
-0.248,-0.0135,-0.021,0.0001525,-1.5250001e-05,-0.0001525,1742093336.6012428
-0.24825,-0.0135,-0.021,0.00029,-6.1000002e-05,-0.000122000005,1742093336.6159308
-0.24825,-0.0135,-0.02175,0.00033575002,-7.625e-05,-0.00010675,1742093336.630616
-0.248,-0.01375,-0.0215,0.0003205,-7.625e-05,-0.00010675,1742093336.645241
-0.248,-0.01425,-0.02125,0.00027475,-6.1000002e-05,-0.0002135,1742093336.659942
-0.24825,-0.01375,-0.02125,0.00029,-4.575e-05,-0.0003205,1742093336.675807
-0.24825,-0.0135,-0.02175,0.00033575002,0.0,-0.00048825,1742093336.689089
-0.24825,-0.0135,-0.02175,0.0003815,6.1000002e-05,-0.00051875,1742093336.703994
-0.248,-0.01325,-0.02175,0.00048825,0.00016775,-0.00062550005,1742093336.718126
-0.248,-0.01325,-0.022,0.000412,0.0002135,-0.00067150005,1742093336.733833
-0.24825,-0.013,-0.02175,0.0002135,0.00033575002,-0.00077825,1742093336.747427
-0.2485,-0.0125,-0.021,0.000229,0.00035100002,-0.00083925005,1742093336.761931
-0.2485,-0.0125,-0.021,0.00030525,0.00029,-0.00086975005,1742093336.776513
-0.2485,-0.01225,-0.0205,0.00030525,0.00027475,-0.00086975005,1742093336.791239
-0.24875,-0.01175,-0.0205,0.00027475,0.0002595,-0.00086975005,1742093336.805898
-0.24875,-0.0115,-0.02075,0.0002135,0.00024425,-0.00077825,1742093336.82044
-0.24825,-0.0115,-0.02075,0.000183,0.000229,-0.00067150005,1742093336.834945
-0.24825,-0.01125,-0.021,0.000229,0.000183,-0.000534,1742093336.849514
-0.24875,-0.011,-0.02075,0.00027475,0.00019825,-0.000473,1742093336.864197
-0.24875,-0.011,-0.0205,0.0002595,0.0001525,-0.00033575002,1742093336.878719
-0.2485,-0.011,-0.02075,0.0002135,0.00010675,-0.0002595,1742093336.893877
-0.24825,-0.011,-0.02075,0.000183,3.0500001e-05,-0.00016775,1742093336.907816
-0.24875,-0.01125,-0.02075,0.00019825,1.5250001e-05,-0.0001525,1742093336.922291
-0.24875,-0.01125,-0.02075,0.0001525,4.575e-05,-0.000122000005,1742093336.9368231
-0.24875,-0.01075,-0.021,0.000122000005,7.625e-05,-7.625e-05,1742093336.951319
-0.24875,-0.011,-0.02075,7.625e-05,9.15e-05,-1.5250001e-05,1742093336.9657989
-0.24825,-0.0115,-0.02075,4.575e-05,3.0500001e-05,4.575e-05,1742093336.9802392
-0.2485,-0.011,-0.02075,7.625e-05,0.0,4.575e-05,1742093336.9947488
-0.24875,-0.0105,-0.021,0.00019825,6.1000002e-05,0.000122000005,1742093337.0091991
-0.24875,-0.011,-0.02125,0.00019825,9.15e-05,0.000183,1742093337.0236611
-0.24875,-0.01125,-0.021,0.00010675,0.00010675,0.0002595,1742093337.038264
-0.248,-0.012,-0.0205,0.000122000005,0.000122000005,0.000229,1742093337.053905
-0.248,-0.012,-0.02025,0.00010675,0.000122000005,0.000122000005,1742093337.067162
-0.24825,-0.012,-0.0205,0.00010675,0.000122000005,6.1000002e-05,1742093337.081728
-0.2485,-0.012,-0.02075,0.00010675,0.00013725001,0.0,1742093337.096226
-0.24825,-0.012,-0.02075,0.0,0.000183,-7.625e-05,1742093337.1108422
-0.24825,-0.0115,-0.02025,-3.0500001e-05,0.00016775,-0.00010675,1742093337.125407
-0.2485,-0.01125,-0.0205,1.5250001e-05,0.00010675,-0.00013725001,1742093337.139991
-0.2485,-0.01125,-0.02025,9.15e-05,0.00010675,-0.000122000005,1742093337.154498
-0.2485,-0.01125,-0.0205,9.15e-05,7.625e-05,-0.000122000005,1742093337.169097
-0.2485,-0.01175,-0.0205,6.1000002e-05,9.15e-05,-0.000122000005,1742093337.183713
-0.2485,-0.01175,-0.0205,7.625e-05,0.00013725001,-0.000183,1742093337.198113
-0.24825,-0.0115,-0.0205,4.575e-05,0.00016775,-0.0002135,1742093337.2126021
-0.24825,-0.0115,-0.02075,3.0500001e-05,0.00030525,-0.0002595,1742093337.227114
