acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.24525,0.0135,-0.0165,-0.00019825,-0.00067150005,-0.00016775,1742093410.344495
0.247,0.01425,-0.01375,0.00010675,-0.0003815,-0.00054925,1742093410.358856
0.2475,0.01375,-0.0125,0.00024425,-0.00010675,-0.0010375,1742093410.3733351
0.24725,0.01175,-0.0135,0.000412,-0.0003205,-0.001587,1742093410.387765
0.2455,0.00775,-0.017,0.0005035,-0.00074775,-0.00149525,1742093410.402289
0.2455,0.008,-0.01825,0.00042725,-0.0009765,-0.00064075,1742093410.4173682
0.24825,0.007,-0.01575,0.00039675,-0.00062550005,-0.00019825,1742093410.4313111
0.249,0.007,-0.01375,0.000473,-0.00024425,-3.0500001e-05,1742093410.4457679
0.24925,0.00775,-0.01175,0.00096125,-0.000183,-0.00024425,1742093410.460211
0.24925,0.01125,-0.01025,0.001114,-0.0002595,-0.00030525,1742093410.4746869
0.2505,0.0135,-0.00975,0.000946,0.00016775,-0.00027475,1742093410.489057
0.25075,0.01675,-0.01,0.00077825,0.000412,-0.0003205,1742093410.504282
0.24875,0.01625,-0.01225,0.00057975,0.0005035,-0.00048825,1742093410.5178041
0.24525,0.0145,-0.0165,0.0007325,0.0004425,-0.00071725,1742093410.532157
0.244,0.01425,-0.01775,0.0012207499,0.00013725001,-0.00119025,1742093410.546619
0.243,0.01425,-0.017,0.00112925,3.0500001e-05,-0.00105275,1742093410.560992
0.243,0.0135,-0.016,0.00080875,-1.5250001e-05,-0.00070200005,1742093410.575493
0.2435,0.0125,-0.0155,0.00035100002,-6.1000002e-05,-0.00029,1742093410.589928
0.24425,0.0105,-0.016,0.00039675,-7.625e-05,-0.00036625,1742093410.604364
0.2445,0.00925,-0.016,0.00065625,-0.00027475,-0.00061025,1742093410.6187809
0.24675,0.00725,-0.01325,0.00071725,-0.00030525,-0.00067150005,1742093410.633601
0.247,0.00675,-0.01225,0.0007325,-0.000183,-0.00059500005,1742093410.647753
