acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.247,-0.01075,-0.01825,-3.0500001e-05,0.0001525,0.00036625,1742093370.5917618
0.24675,-0.01025,-0.0185,-0.0001525,0.00035100002,0.00035100002,1742093370.604537
0.2445,-0.011,-0.02075,-0.00016775,0.0004425,0.00029,1742093370.619143
0.24275,-0.0115,-0.022,-0.0001525,0.00045775,0.0002595,1742093370.6342819
0.2415,-0.01225,-0.023,-6.1000002e-05,0.00016775,0.0003815,1742093370.647939
0.24275,-0.0125,-0.02225,0.0,-6.1000002e-05,0.00051875,1742093370.662424
0.24475,-0.01225,-0.02,7.625e-05,-0.00027475,0.00061025,1742093370.676811
0.2465,-0.01125,-0.0175,0.000122000005,-0.0002135,0.00045775,1742093370.691263
0.2465,-0.0105,-0.018,0.0001525,3.0500001e-05,0.00027475,1742093370.7056131
0.2465,-0.00875,-0.02,0.00013725001,0.000122000005,0.00027475,1742093370.719945
0.2465,-0.00875,-0.02075,9.15e-05,0.00019825,0.0002595,1742093370.734454
0.24475,-0.01,-0.02175,3.0500001e-05,0.00027475,6.1000002e-05,1742093370.748746
0.2445,-0.01,-0.02175,4.575e-05,0.00024425,-1.5250001e-05,1742093370.764142
0.2445,-0.009,-0.021,-4.575e-05,0.000229,6.1000002e-05,1742093370.7777479
0.245,-0.0105,-0.02025,-0.00019825,0.00024425,0.00019825,1742093370.7922401
0.245,-0.012,-0.02075,-0.0002595,0.00027475,0.00036625,1742093370.806746
0.24425,-0.0125,-0.02175,-0.00013725001,0.000183,0.00035100002,1742093370.8212302
0.24525,-0.011,-0.021,0.00013725001,-6.1000002e-05,0.00010675,1742093370.835739
0.2475,-0.00925,-0.02025,0.0002135,-4.575e-05,-0.00010675,1742093370.850223
0.24725,-0.01,-0.02075,0.000229,3.0500001e-05,-0.000229,1742093370.8647501
0.24675,-0.0105,-0.02025,0.000183,3.0500001e-05,-6.1000002e-05,1742093370.8792121
0.24675,-0.0095,-0.0195,0.00019825,-1.5250001e-05,0.00013725001,1742093370.8938382
0.24675,-0.00875,-0.01925,0.00013725001,6.1000002e-05,0.00048825,1742093370.908164
0.2455,-0.00875,-0.021,0.00010675,0.0001525,0.00059500005,1742093370.9224908
0.24475,-0.008,-0.022,9.15e-05,0.0003205,0.00054925,1742093370.937057
0.24325,-0.00575,-0.0235,3.0500001e-05,0.00027475,0.000473,1742093370.9514308
0.242,-0.00625,-0.0245,9.15e-05,3.0500001e-05,0.00036625,1742093370.965744
0.238,-0.007,-0.02975,0.00029,-0.00016775,0.00036625,1742093370.980285
0.23725,-0.00825,-0.03625,0.00054925,-0.000412,0.00039675,1742093370.99482
0.23675,-0.00925,-0.049,0.00070200005,-0.00027475,6.1000002e-05,1742093371.0094059
0.24025,0.00325,-0.10475,0.00016775,0.00070200005,-0.00074775,1742093371.0243342
0.24525,0.00975,-0.14975,-0.00216675,0.004547,-0.00238025,1742093371.038404
0.26075,0.00525,-0.26425,-0.00228875,0.0066985004,-0.0026092501,1742093371.054214
0.24725,-0.00925,-0.32675,-0.00160225,0.013351499,0.000412,1742093371.067338
0.14575,-0.0865,-0.44275,-0.0037079998,0.017883249,0.0049590003,1742093371.081828
0.09075,-0.1335,-0.47375,-0.0053405,0.01708975,0.02029425,1742093371.096351
0.00425,-0.11725,-0.45825,-0.0045777503,0.0110625,0.028656,1742093371.1108549
0.0075,-0.05275,-0.391,-0.003006,0.0025787498,0.033905,1742093371.125367
0.1565,0.065,-0.14775,0.0077972496,-0.016159,0.024841249,1742093371.139838
0.30475,0.0895,0.04675,0.014923001,-0.023193251,0.01330575,1742093371.154457
0.43875,0.1155,0.2145,0.012191749,-0.020584,0.00010675,1742093371.168417
0.49675,0.0955,0.3725,0.0045625,-0.01222225,0.00555425,1742093371.18431
0.4905,0.0755,0.40275,-0.00228875,-0.0027312501,0.009933501,1742093371.1971562
0.48025,0.05525,0.426,0.00108325,0.00115975,0.00029,1742093371.211295
0.4485,0.0065,0.38925,0.0045012496,0.0050355,-0.01077275,1742093371.2255201
0.3955,-0.03525,0.3365,0.00691225,0.011795,-0.020691,1742093371.239895
0.27925,-0.06375,0.21425,0.0058899997,0.0141145,-0.018280001,1742093371.2543092
0.22075,-0.05525,0.1405,0.0042572496,0.016983,-0.00839225,1742093371.268735
0.13775,0.00325,0.01725,0.00437925,0.01664725,-0.0048674997,1742093371.28438
0.1175,0.0305,-0.0215,0.0053709997,0.01194775,-0.0030975002,1742093371.2974
0.12375,0.04525,-0.0495,0.00593575,0.0079955,-0.00308225,1742093371.311857
0.1455,0.04525,-0.045,0.0055085,0.00143425,-0.001648,1742093371.326151
0.186,0.041,-0.03625,0.004303,0.0002595,-0.00033575002,1742093371.340651
0.19875,0.03275,-0.0355,0.003128,0.00010675,0.00099175,1742093371.3548968
0.20775,0.02825,-0.03475,0.0022125002,0.00045775,0.0017852499,1742093371.369257
0.22225,0.022,-0.02875,0.0021972498,0.0003815,0.0012665,1742093371.38446
0.22775,0.018,-0.0265,0.0021057501,-0.000183,0.000183,1742093371.3979352
0.23525,0.01475,-0.02325,0.001526,-0.0005645,0.0002595,1742093371.4123461
0.23775,0.0115,-0.02425,-9.15e-05,-0.00105275,0.00065625,1742093371.426717
0.23775,0.0005,-0.034,-0.00062550005,-0.0013427499,0.0007325,1742093371.44121
0.2385,-0.0035,-0.03775,-0.0007935,-0.001831,0.0007325,1742093371.455816
0.24225,-0.00325,-0.038,-0.00045775,-0.00305175,0.00071725,1742093371.470517
0.25425,0.00725,-0.0325,-9.15e-05,-0.0032347501,0.000534,1742093371.484951
0.25775,0.01275,-0.0305,0.00074775,-0.002121,-0.000885,1742093371.499376
0.2615,0.013,-0.0285,0.00070200005,-0.0012970001,-0.00157175,1742093371.514078
0.2605,0.00825,-0.0295,0.0004425,0.000183,-0.0017242499,1742093371.528369
0.25225,0.002,-0.03325,0.00045775,0.00065625,-0.0012207499,1742093371.5441558
0.2485,0.003,-0.0335,0.00065625,0.0009155,7.625e-05,1742093371.557044
0.24725,0.0085,-0.03025,0.00068675,0.00068675,0.000473,1742093371.5714712
0.2475,0.00925,-0.029,0.00062550005,0.00039675,0.00054925,1742093371.585647
0.24875,0.008,-0.028,0.000473,-0.00019825,0.000229,1742093371.600032
0.252,0.0095,-0.02375,0.00054925,-0.00029,7.625e-05,1742093371.6143858
0.25175,0.013,-0.022,0.000885,-0.00029,-0.00010675,1742093371.6287098
0.24675,0.01725,-0.0205,0.00077825,-0.00051875,-7.625e-05,1742093371.6443148
0.24425,0.0155,-0.0195,-1.5250001e-05,-0.0013580001,-0.00019825,1742093371.657708
0.2435,0.00925,-0.017,-0.0004425,-0.0017242499,-0.0005035,1742093371.67233
0.2435,0.0055,-0.016,-0.00070200005,-0.00184625,-0.000763,1742093371.686781
0.24275,0.00525,-0.0135,-0.00059500005,-0.00148,-0.00086975005,1742093371.701322
0.242,0.00875,-0.0115,-0.000473,-0.00125125,-0.00074775,1742093371.7158039
0.24075,0.0115,-0.01,-0.00062550005,-0.001175,-0.00059500005,1742093371.730293
0.24125,0.01125,-0.012,-0.00086975005,-0.00143425,-0.00067150005,1742093371.7448142
0.2415,0.012,-0.0135,-0.0012817499,-0.00154125,-0.00061025,1742093371.7593322
0.24375,0.015,-0.014,-0.001709,-0.00154125,-0.00039675,1742093371.7750201
0.243,0.01675,-0.015,-0.0022277501,-0.00231925,-0.00077825,1742093371.788552
0.24,0.02,-0.0145,-0.00213625,-0.00296025,-0.001419,1742093371.8042822
0.242,0.0175,-0.01275,-0.00193775,-0.0037079998,-0.00254825,1742093371.817565
0.247,0.0055,-0.013,-0.001709,-0.00328075,-0.0028687501,1742093371.832215
0.24775,0.00325,-0.017,-0.00149525,-0.00242625,-0.00296025,1742093371.8468192
0.248,0.00525,-0.02175,-0.00175475,-0.0007325,-0.002121,1742093371.861325
0.2475,0.0155,-0.025,-0.0017852499,-0.00036625,-0.00160225,1742093371.87587
0.24675,0.019,-0.02475,-0.001236,-0.0005645,-0.0019225,1742093371.890381
0.249,0.0115,-0.02225,-0.001007,-0.000946,-0.00267025,1742093371.904939
0.25375,0.00125,-0.0205,-0.00029,-0.001236,-0.0043944996,1742093371.919488
0.256,-0.01275,-0.02525,0.00010675,-0.000885,-0.00453175,1742093371.9343848
0.25525,-0.01,-0.027,-0.0004425,0.0,-0.0025940002,1742093371.948491
0.2505,0.01075,-0.0285,-0.001114,0.0003205,-0.00160225,1742093371.964221
0.248,0.01875,-0.02825,-0.00169375,0.00051875,-0.001175,1742093371.9772868
0.248,0.01375,-0.024,-0.002365,0.0005035,-0.0022277501,1742093371.991701
0.25175,0.004,-0.0215,-0.00239575,0.00016775,-0.0034637498,1742093372.006256
0.257,-0.00575,-0.01925,-0.001648,-0.00057975,-0.0059967497,1742093372.020928
0.26325,-0.0135,-0.015,-0.00190725,-0.00042725,-0.0063325,1742093372.0356202
0.26175,-0.0095,-0.01675,-0.00402825,0.00064075,-0.00514225,1742093372.0502222
0.251,-0.00075,-0.01975,-0.0052795,0.0012207499,-0.0046845004,1742093372.064731
0.244,-0.00225,-0.02525,-0.00531,0.001709,-0.0051269997,1742093372.079211
0.239,-0.02025,-0.025,-0.002365,0.00148,-0.0057372497,1742093372.094422
0.24175,-0.03125,-0.025,0.0005035,0.000824,-0.0063477503,1742093372.108292
0.24425,-0.036,-0.0325,0.0009765,0.00062550005,-0.00585925,1742093372.122688
0.24525,-0.02925,-0.035,0.0011445,0.000534,-0.004776,1742093372.137205
0.24575,-0.021,-0.03525,0.000885,0.00074775,-0.00263975,1742093372.1518211
0.24075,-0.01025,-0.03475,0.00067150005,0.001068,-0.00238025,1742093372.166334
0.236,-0.0105,-0.03475,0.00074775,0.001419,-0.00340275,1742093372.180821
0.2325,-0.02225,-0.03575,0.0013580001,0.0012817499,-0.0042725,1742093372.19524
0.231,-0.029,-0.04225,0.0026245,0.00061025,-0.0049285004,1742093372.2097652
0.2355,-0.03175,-0.0525,0.00251775,4.575e-05,-0.0039825,1742093372.224951
0.2395,-0.02575,-0.05125,0.00190725,-0.0004425,-0.00198375,1742093372.238797
0.238,-0.01375,-0.048,0.00177,-0.0002595,-0.00213625,1742093372.2541828
0.23525,-0.015,-0.04675,0.0017242499,-0.000122000005,-0.00289925,1742093372.267785
0.2315,-0.0185,-0.04775,0.00177,-0.000229,-0.0044555003,1742093372.28338
0.225,-0.028,-0.05925,0.00157175,-0.00024425,-0.0047455,1742093372.296809
0.2225,-0.03475,-0.069,0.0013427499,-0.0002135,-0.00364675,1742093372.3115652
0.2215,-0.03725,-0.0845,0.00149525,-0.000534,-0.00254825,1742093372.326136
0.2245,-0.03,-0.08775,0.00163275,-0.00154125,-0.000824,1742093372.3407319
0.22975,-0.01525,-0.0925,0.0014037499,-0.0018005001,-0.000534,1742093372.355228
0.23525,-0.0155,-0.0965,0.00125125,-0.00148,-0.0013427499,1742093372.3698251
0.24325,-0.02125,-0.115,0.00181575,-0.000763,-0.002411,1742093372.384341
0.243,-0.02075,-0.13275,0.0020752498,0.0011445,-0.0035095,1742093372.398827
0.2345,-0.017,-0.1915,0.0012817499,0.00245675,-0.0028687501,1742093372.4136808
0.22625,-0.01725,-0.23875,0.00035100002,0.0043182503,-0.001892,1742093372.4277031
0.2185,-0.01375,-0.29725,0.002884,0.008194,-0.00109875,1742093372.442225
0.20425,-0.00675,-0.432,0.00469975,0.010589501,-0.0013885,1742093372.4567602
0.1785,-0.0045,-0.496,-0.00378425,0.01882925,0.00646975,1742093372.471158
0.0485,-0.025,-0.5725,-0.00868225,0.02130125,0.01605225,1742093372.485659
-0.0405,-0.037,-0.60125,-0.008926501,0.0157775,0.03370675,1742093372.5002182
-0.1535,0.01825,-0.578,-0.0050355,0.0044555003,0.036148,1742093372.5147252
-0.10375,0.06875,-0.4435,0.009094249,-0.03329475,0.02124025,1742093372.5291378
0.259,0.1315,0.16175,0.015213001,-0.049682498,0.0072632497,1742093372.5447512
0.49325,0.13725,0.51275,0.01440425,-0.056656,-0.0043944996,1742093372.557693
0.6655,0.107,0.77175,0.000183,-0.03288275,-0.01086425,1742093372.572077
0.73975,-0.08025,0.8405,-0.00440975,-0.01525875,-0.012557999,1742093372.586674
0.6745,-0.1755,0.7285,-0.0050202496,0.00694275,-0.01652525,1742093372.601238
0.343,-0.249,0.40725,-0.0028229998,0.01570125,-0.0134735005,1742093372.615675
0.153,-0.221,0.23275,0.00328075,0.02459725,-0.0026092501,1742093372.630147
-0.04925,-0.1065,-0.01,0.0064239996,0.022216748,0.0004425,1742093372.644641
-0.051,-0.04825,-0.05175,0.01036075,0.0064239996,0.0019685,1742093372.659148
0.06475,0.0415,-0.0295,0.01077275,-0.00254825,0.00204475,1742093372.674956
0.13425,0.067,-0.00725,0.01026925,-0.00903325,0.0016632499,1742093372.6880052
0.194,0.07425,0.0135,0.006668,-0.0128785,0.0001525,1742093372.702234
0.27625,0.0465,0.04475,0.00511175,-0.01150525,-0.00112925,1742093372.716558
0.2925,0.03,0.0465,0.0034942501,-0.0058899997,-0.0030365,1742093372.730912
0.28975,-0.00125,0.036,0.0032347501,-0.0030365,-0.00308225,1742093372.745402
0.282,-0.01075,0.03,0.004242,0.00027475,-0.0047302498,1742093372.759725
0.26925,-0.02375,0.01425,0.004303,0.00077825,-0.0052947504,1742093372.775311
0.2625,-0.031,0.00525,0.0038757501,0.00080875,-0.0047607496,1742093372.7883189
0.256,-0.0325,-0.002,0.002655,-0.00016775,-0.00160225,1742093372.802772
0.258,-0.02325,0.004,0.0020752498,-0.000946,1.5250001e-05,1742093372.817117
