acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.2445,-0.01625,0.014,3.0500001e-05,-7.625e-05,-0.000229,1742093323.5567281
0.245,-0.01775,0.01425,0.00010675,-0.0001525,-0.00016775,1742093323.5705678
0.2455,-0.01825,0.0145,0.0001525,-0.000229,-3.0500001e-05,1742093323.585042
0.24625,-0.01925,0.0155,0.00019825,-0.0002135,0.0002595,1742093323.599392
0.2465,-0.01675,0.017,0.00027475,-0.0001525,0.00033575002,1742093323.6147158
0.24725,-0.0145,0.0175,1.5250001e-05,-3.0500001e-05,0.00045775,1742093323.6282198
0.24775,-0.0145,0.017,-9.15e-05,0.000122000005,0.000412,1742093323.643488
0.2465,-0.01475,0.01525,-0.000183,0.0001525,0.00030525,1742093323.656867
0.246,-0.013,0.015,-0.00016775,6.1000002e-05,0.00027475,1742093323.671273
0.24575,-0.0125,0.015,-4.575e-05,4.575e-05,3.0500001e-05,1742093323.6856582
0.24425,-0.01425,0.014,-4.575e-05,-1.5250001e-05,-4.575e-05,1742093323.7002618
0.244,-0.0145,0.01375,-4.575e-05,-9.15e-05,-3.0500001e-05,1742093323.714835
0.24425,-0.01375,0.01425,3.0500001e-05,-7.625e-05,1.5250001e-05,1742093323.7291882
0.24375,-0.01325,0.0145,1.5250001e-05,-1.5250001e-05,-4.575e-05,1742093323.743833
0.24375,-0.01425,0.014,-0.00030525,3.0500001e-05,-7.625e-05,1742093323.758173
0.24525,-0.0165,0.01475,-0.000412,3.0500001e-05,-3.0500001e-05,1742093323.772578
0.24575,-0.018,0.015,-0.0002595,-7.625e-05,9.15e-05,1742093323.787064
0.246,-0.019,0.01575,-0.00016775,-0.00013725001,0.00019825,1742093323.8015769
0.2465,-0.01775,0.01625,-3.0500001e-05,-0.000122000005,0.00042725,1742093323.816119
0.24725,-0.01575,0.01725,0.0,-0.00010675,0.00048825,1742093323.83042
0.24775,-0.0145,0.0175,0.0,-0.0001525,0.00048825,1742093323.8447418
0.24775,-0.01375,0.0175,-3.0500001e-05,-0.000122000005,0.00035100002,1742093323.859133
0.24675,-0.01325,0.016,-9.15e-05,-4.575e-05,0.0003205,1742093323.873576
0.2465,-0.013,0.0155,-0.00019825,6.1000002e-05,0.00030525,1742093323.887947
0.24675,-0.01225,0.0155,-0.000122000005,6.1000002e-05,0.00019825,1742093323.902283
0.247,-0.01275,0.01575,0.0,-3.0500001e-05,0.0,1742093323.9167528
0.24675,-0.0135,0.01575,0.0,-3.0500001e-05,-4.575e-05,1742093323.931241
0.246,-0.01425,0.01525,-3.0500001e-05,0.0,-4.575e-05,1742093323.945749
0.24575,-0.01475,0.01475,0.0,1.5250001e-05,9.15e-05,1742093323.9600909
0.246,-0.01425,0.01475,6.1000002e-05,-3.0500001e-05,0.0001525,1742093323.975585
0.2465,-0.01325,0.016,0.000183,-9.15e-05,0.00010675,1742093323.9888299
0.248,-0.01075,0.018,0.000122000005,-4.575e-05,1.5250001e-05,1742093324.003834
0.2475,-0.0115,0.017,-0.0001525,0.00010675,-0.0002135,1742093324.017807
0.245,-0.0135,0.014,-0.000229,4.575e-05,-0.00027475,1742093324.0322392
0.2445,-0.013,0.01325,-0.000229,-0.00039675,-0.00035100002,1742093324.046835
0.2455,-0.0105,0.01525,-0.000229,-0.00061025,-0.0005035,1742093324.061457
0.24575,-0.01125,0.016,-0.00030525,-0.00065625,-0.00068675,1742093324.076025
0.246,-0.0135,0.016,-0.0005035,-0.000473,-0.0008545,1742093324.090662
0.24575,-0.01725,0.01575,-0.00048825,-0.00039675,-0.000763,1742093324.105257
0.2455,-0.017,0.016,-0.00029,-0.0002135,-0.00054925,1742093324.119851
0.245,-0.01525,0.0165,-0.0002135,-1.5250001e-05,-0.000473,1742093324.1343849
0.2455,-0.015,0.017,-0.0002135,0.000412,-0.00057975,1742093324.148831
0.24575,-0.0155,0.0155,-0.00024425,0.00054925,-0.00068675,1742093324.163946
0.2465,-0.016,0.01475,-0.000183,0.000412,-0.00064075,1742093324.1778078
0.246,-0.017,0.01525,-0.000122000005,0.0002595,-0.00057975,1742093324.19228
0.24575,-0.0175,0.01525,-6.1000002e-05,0.000183,-0.00054925,1742093324.2067652
0.246,-0.0185,0.01525,7.625e-05,0.00013725001,-0.00039675,1742093324.221173
0.2465,-0.01875,0.015,0.000122000005,0.000122000005,-0.00027475,1742093324.23559
0.24675,-0.018,0.01525,0.00033575002,4.575e-05,-7.625e-05,1742093324.249923
0.247,-0.01475,0.01575,0.0004425,7.625e-05,-0.00010675,1742093324.264265
0.24675,-0.01425,0.0155,0.00036625,0.00024425,-0.0002135,1742093324.278815
0.24575,-0.01625,0.01425,0.00027475,0.00029,-0.00019825,1742093324.29384
0.2455,-0.01725,0.01375,0.00027475,0.0002135,-0.00010675,1742093324.3075469
0.24625,-0.01725,0.01475,0.000412,0.00013725001,-9.15e-05,1742093324.321939
0.2465,-0.017,0.0155,0.00059500005,3.0500001e-05,-0.000122000005,1742093324.336263
0.24675,-0.01675,0.01675,0.00065625,-7.625e-05,-0.000122000005,1742093324.350732
0.247,-0.01625,0.01775,0.00051875,-1.5250001e-05,-6.1000002e-05,1742093324.365335
0.24675,-0.01625,0.0175,0.0003205,0.00019825,4.575e-05,1742093324.3796532
0.2465,-0.01625,0.016,0.00027475,0.0002135,7.625e-05,1742093324.393965
0.24575,-0.016,0.015,0.0002595,0.0001525,9.15e-05,1742093324.4083378
0.24475,-0.016,0.014,0.000229,0.000122000005,0.0001525,1742093324.422652
0.24475,-0.016,0.01425,0.00019825,9.15e-05,0.000229,1742093324.437066
0.24575,-0.0155,0.01525,0.00030525,1.5250001e-05,0.0002135,1742093324.451373
0.247,-0.015,0.01675,0.00033575002,3.0500001e-05,0.00016775,1742093324.4657311
0.24725,-0.01525,0.017,0.00027475,0.00024425,0.00016775,1742093324.480116
0.2465,-0.01625,0.01625,0.00027475,0.00033575002,0.000229,1742093324.494378
0.24625,-0.016,0.01575,0.00030525,0.00029,0.000412,1742093324.508727
0.2455,-0.01475,0.01525,0.00033575002,0.00027475,0.0004425,1742093324.522954
0.24475,-0.01475,0.01475,0.00030525,0.00030525,0.00042725,1742093324.537156
0.24525,-0.01475,0.01475,0.00013725001,0.00016775,0.00027475,1742093324.5515819
0.24525,-0.014,0.0145,0.000122000005,7.625e-05,0.00019825,1742093324.565832
0.24475,-0.01425,0.01425,7.625e-05,-4.575e-05,0.00010675,1742093324.5803719
0.2455,-0.01525,0.014,4.575e-05,-0.00013725001,0.00010675,1742093324.594762
0.24625,-0.015,0.01425,9.15e-05,-0.0002135,0.00010675,1742093324.609204
0.247,-0.014,0.01575,0.00010675,-0.00016775,6.1000002e-05,1742093324.624959
0.247,-0.0145,0.016,0.00010675,-0.0001525,-6.1000002e-05,1742093324.6380181
0.24625,-0.01575,0.0145,0.00010675,-0.000122000005,-7.625e-05,1742093324.652576
0.24575,-0.01525,0.01375,0.000122000005,-9.15e-05,-3.0500001e-05,1742093324.6670022
0.2455,-0.0145,0.01375,1.5250001e-05,-0.000122000005,0.0001525,1742093324.6813262
0.24575,-0.015,0.01425,-3.0500001e-05,-0.000183,0.000183,1742093324.695866
0.246,-0.0155,0.01475,-1.5250001e-05,-0.0003205,0.0001525,1742093324.710367
0.24725,-0.016,0.016,-1.5250001e-05,-0.00035100002,0.000183,1742093324.7251992
0.248,-0.016,0.0165,0.00010675,-0.00024425,0.000229,1742093324.739378
0.24825,-0.0155,0.017,0.000122000005,-0.00016775,0.00024425,1742093324.754106
0.248,-0.0155,0.01675,9.15e-05,-7.625e-05,0.00027475,1742093324.768086
0.2465,-0.014,0.016,4.575e-05,6.1000002e-05,0.00033575002,1742093324.782345
0.24575,-0.013,0.01525,4.575e-05,6.1000002e-05,0.00029,1742093324.7966568
0.2455,-0.01325,0.01475,0.000122000005,0.0,0.00013725001,1742093324.811336
0.24575,-0.0145,0.01525,0.0001525,-3.0500001e-05,7.625e-05,1742093324.825839
0.24575,-0.015,0.0155,0.00016775,-4.575e-05,7.625e-05,1742093324.849352
0.2455,-0.015,0.01625,0.00013725001,-1.5250001e-05,0.00013725001,1742093324.894572
0.2455,-0.0155,0.016,0.000122000005,-6.1000002e-05,0.00029,1742093324.894706
0.245,-0.01525,0.01525,0.00013725001,-0.000122000005,0.0003815,1742093324.8948212
0.245,-0.01425,0.015,0.00016775,-0.00016775,0.00045775,1742093324.898547
0.245,-0.01275,0.01525,0.0001525,-0.00024425,0.00051875,1742093324.913769
0.24525,-0.0115,0.01575,9.15e-05,-0.0002595,0.00045775,1742093324.941406
0.2455,-0.012,0.0155,6.1000002e-05,-0.00019825,0.0002595,1742093324.947597
0.2465,-0.0125,0.0155,9.15e-05,-0.00019825,0.000183,1742093324.958519
0.24675,-0.0125,0.01575,0.00010675,-0.000122000005,7.625e-05,1742093324.97157
0.24625,-0.014,0.0155,0.00013725001,-4.575e-05,4.575e-05,1742093324.994001
0.24575,-0.01525,0.01475,0.000229,-4.575e-05,0.0002135,1742093324.999006
0.24625,-0.015,0.0165,0.00027475,-0.00010675,0.00030525,1742093325.014766
0.2465,-0.014,0.017,0.00030525,-7.625e-05,0.00030525,1742093325.027963
0.24625,-0.01375,0.0165,0.000122000005,7.625e-05,0.00036625,1742093325.042273
0.24525,-0.01575,0.0145,1.5250001e-05,0.00010675,0.00051875,1742093325.056354
0.24525,-0.01575,0.014,0.00019825,-0.00016775,0.00067150005,1742093325.071649
0.246,-0.01375,0.0155,0.00033575002,-0.00033575002,0.00065625,1742093325.085404
0.247,-0.01275,0.0165,0.00042725,-0.00030525,0.00054925,1742093325.107921
0.24775,-0.0135,0.01725,0.00033575002,-0.00013725001,0.0005035,1742093325.116499
0.24725,-0.0145,0.0165,0.00024425,-1.5250001e-05,0.0005035,1742093325.128926
0.247,-0.0145,0.016,0.00033575002,0.0,0.00064075,1742093325.144437
0.246,-0.012,0.01675,0.0004425,-3.0500001e-05,0.00065625,1742093325.157739
0.24575,-0.01275,0.017,0.00071725,0.00013725001,-6.1000002e-05,1742093325.172318
0.24525,-0.015,0.017,0.0009765,-0.0002595,-0.001007,1742093325.186257
0.24225,-0.01425,0.01375,0.00093075,-0.001587,-0.00102225,1742093325.200781
0.24325,-0.015,0.0145,0.000763,-0.0008545,0.000229,1742093325.215635
0.246,-0.01475,0.0175,0.00051875,0.00048825,0.0015105,1742093325.229871
0.247,-0.01075,0.01825,0.00036625,-0.0001525,0.001114,1742093325.244006
0.24625,-0.0105,0.0175,0.0004425,-0.00070200005,0.000412,1742093325.258365
0.24575,-0.01175,0.01675,0.00090025004,-0.00074775,-0.00030525,1742093325.2727659
0.2455,-0.01225,0.01675,0.00086975005,-0.00074775,3.0500001e-05,1742093325.287165
0.24575,-0.0095,0.0175,0.00061025,-0.00048825,0.000885,1742093325.301583
0.2455,-0.00775,0.01675,0.00054925,-0.0002135,0.00090025004,1742093325.316043
0.2455,-0.009,0.0165,0.0005035,-0.00035100002,0.0002595,1742093325.330443
0.24575,-0.00975,0.01725,0.000534,-0.00065625,-7.625e-05,1742093325.344929
0.246,-0.01,0.0175,0.00051875,-0.00080875,-0.00013725001,1742093325.359478
0.24775,-0.01225,0.01925,0.00033575002,-0.00030525,0.00030525,1742093325.3750982
0.2485,-0.01225,0.01975,0.00036625,-0.0001525,0.00042725,1742093325.388211
0.2485,-0.0115,0.0195,0.00042725,-0.00036625,0.000534,1742093325.402692
0.24875,-0.0105,0.02075,0.000412,-0.00033575002,0.0005035,1742093325.417035
0.24875,-0.01,0.021,0.00030525,-0.00016775,0.00029,1742093325.4314601
0.2475,-0.00925,0.02025,0.0002135,-0.00013725001,0.0002135,1742093325.446075
0.24725,-0.01,0.0195,7.625e-05,-1.5250001e-05,0.00035100002,1742093325.4604359
0.24825,-0.011,0.0195,0.000122000005,0.00019825,0.0005035,1742093325.4750211
0.2485,-0.01025,0.02,0.000229,0.00030525,0.0005645,1742093325.489302
0.2485,-0.009,0.0205,0.00036625,0.000122000005,0.0003815,1742093325.503874
0.247,-0.0075,0.01975,0.0003815,0.000122000005,0.00029,1742093325.517954
0.247,-0.0075,0.0195,0.00024425,0.00033575002,0.00024425,1742093325.532161
0.24625,-0.0075,0.0185,0.000183,0.00036625,0.000229,1742093325.546655
0.246,-0.00725,0.018,0.000183,0.00039675,9.15e-05,1742093325.5609841
