acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.246,-0.0175,-0.01375,0.002533,-3.0500001e-05,0.00057975,1742093427.908277
0.2455,-0.0175,-0.013,0.00276175,-0.000229,0.0008545,1742093427.90851
0.24625,-0.00975,-0.009,0.0026245,-0.0003205,0.00065625,1742093427.914884
0.24625,-0.00875,-0.0095,0.00198375,-0.00062550005,9.15e-05,1742093427.929706
0.2455,-0.0125,-0.01125,0.0017395001,-0.00059500005,-0.00024425,1742093427.946271
0.24675,-0.0145,-0.0095,0.00198375,-0.00090025004,-0.001007,1742093427.968714
0.2475,-0.01425,-0.009,0.0017395001,-0.00125125,-0.0009765,1742093427.980124
0.24775,-0.01475,-0.00975,0.0014495,-0.00083925005,0.00033575002,1742093427.989716
0.24925,-0.01325,-0.00625,0.00109875,-0.0003815,0.0007935,1742093428.002013
0.249,-0.01025,-0.0065,0.00080875,-0.00024425,0.0007325,1742093428.016493
0.24825,-0.00825,-0.00825,0.00080875,-0.00045775,-0.00010675,1742093428.031191
0.24825,-0.0085,-0.00975,0.00086975005,-0.00042725,-0.00051875,1742093428.0455701
0.24875,-0.00925,-0.00975,0.00048825,-0.00035100002,-0.0007935,1742093428.060142
0.25,-0.012,-0.007,0.00016775,-0.000412,-0.00061025,1742093428.075058
0.25025,-0.01375,-0.00625,-4.575e-05,-0.00030525,-0.00057975,1742093428.089407
0.25,-0.0155,-0.00675,0.00013725001,-0.0001525,-0.000824,1742093428.104364
0.249,-0.01625,-0.0075,0.00067150005,-0.0001525,-0.00115975,1742093428.118431
0.24625,-0.01775,-0.008,0.0007325,-0.0002135,-0.0010375,1742093428.132896
0.2465,-0.017,-0.008,0.0002135,-0.0002595,-0.00024425,1742093428.14756
0.2475,-0.01475,-0.00875,-0.000122000005,-0.000229,0.00013725001,1742093428.162112
0.24725,-0.01325,-0.00975,-0.00024425,-0.00016775,0.000229,1742093428.176713
0.247,-0.012,-0.0105,0.00019825,-3.0500001e-05,-0.00035100002,1742093428.1912608
0.24425,-0.0115,-0.01125,0.00036625,-1.5250001e-05,-0.00059500005,1742093428.20575
0.24275,-0.011,-0.0125,-0.000122000005,-0.00030525,-0.000763,1742093428.220499
0.2395,-0.01475,-0.018,-0.0004425,-0.0005645,-0.00102225,1742093428.235208
0.23675,-0.026,-0.01925,-0.00146475,-0.00160225,-0.0014037499,1742093428.2498062
0.24425,-0.133,0.021,-0.00228875,-0.0025634998,-0.00099175,1742093428.264406
0.26925,-0.263,0.07775,0.0012207499,-0.0057220003,-0.0017395001,1742093428.278914
0.36575,-0.6415,0.22025,0.007843,-0.00744625,-0.0052337497,1742093428.294111
0.40875,-0.82475,0.295,0.02250675,-0.00621025,-0.00225825,1742093428.307877
0.41125,-0.96875,0.40425,0.029358,-0.0018005001,0.01048275,1742093428.32244
0.30575,-0.867,0.37675,0.03668225,0.00546275,0.02563475,1742093428.3367722
0.15875,-0.6685,0.303,0.0609895,0.0187835,0.0421295,1742093428.35111
-0.03775,0.0545,0.11875,0.07431025,0.0187225,0.04011525,1742093428.3655949
-0.056,0.5045,0.03075,0.078949,0.0058287503,0.029327499,1742093428.379891
0.04025,1.0,-0.1125,0.068283,-9.15e-05,0.0197295,1742093428.39454
0.123,1.0,-0.1615,0.045700002,-0.009582501,-0.0038605002,1742093428.4088519
0.2245,0.8415,-0.139,0.03707875,-0.009079001,-0.0123595,1742093428.4247239
0.25,0.682,-0.083,0.01744075,-0.00355525,-0.02648925,1742093428.437857
0.2495,0.356,0.004,0.0074004997,-0.00016775,-0.02690125,1742093428.452246
0.23575,0.218,0.03775,-0.00204475,0.0036010002,-0.019744748,1742093428.46666
0.22125,0.11725,0.061,-0.01266475,0.007553,0.0015105,1742093428.481059
0.2045,-0.019,0.08125,-0.01380925,0.0066374997,0.0072937496,1742093428.495509
0.213,-0.07775,0.0685,-0.01419075,0.0023039998,0.00715625,1742093428.509909
0.2365,-0.1215,0.03275,-0.012130749,0.00115975,0.0048065,1742093428.5264041
0.2465,-0.1025,0.0055,-0.0075225,0.00225825,0.0050812503,1742093428.5387871
0.28025,-0.05325,-0.01375,-0.0062407497,0.0038299998,0.00640875,1742093428.554274
0.28525,-0.02125,-0.00625,-0.004074,0.00148,0.0054475004,1742093428.567892
0.275,0.042,-0.01175,-0.00080875,-0.00302125,0.0010375,1742093428.5824058
0.2675,0.06425,-0.0215,-0.00086975005,-0.00254825,0.00042725,1742093428.596904
0.26,0.08075,-0.02775,-0.0032655,0.00270075,0.001007,1742093428.611308
0.23725,0.09775,-0.0365,-0.00411975,0.0043639997,0.001114,1742093428.625694
0.22725,0.09925,-0.037,-0.00505075,0.00325,0.000763,1742093428.640078
0.216,0.0865,-0.028,-0.0059510004,0.002243,0.00067150005,1742093428.654507
0.213,0.07575,-0.0235,-0.0088805,0.0012970001,0.00137325,1742093428.668885
0.212,0.057,-0.0255,-0.009262,0.00077825,0.00175475,1742093428.684696
0.21625,0.05375,-0.02625,-0.008590749,4.575e-05,0.001892,1742093428.6977851
0.2255,0.05475,-0.022,-0.006302,-0.001526,0.0009155,1742093428.7122638
0.24275,0.06575,-0.005,-0.006012,-0.00187675,0.000122000005,1742093428.7267892
0.25025,0.068,0.007,-0.009292499,-0.001526,0.000534,1742093428.741214
0.26425,0.0555,0.02375,-0.011139,-0.00061025,0.00149525,1742093428.755626
0.263,0.04825,0.0205,-0.011917,0.0020295,0.00270075,1742093428.769897
0.246,0.046,-0.015,-0.011398249,0.00190725,0.00228875,1742093428.784319
0.2405,0.048,-0.029,-0.0111085,-0.00029,-0.00184625,1742093428.799105
0.25375,0.025,-0.023,-0.0106355,-0.0016632499,-0.00453175,1742093428.814549
0.2615,0.00975,-0.00625,-0.01013175,-0.00198375,-0.0063477503,1742093428.828277
0.2635,0.0055,0.0085,-0.0113525,-0.00027475,-0.0055237496,1742093428.842793
0.25925,0.003,0.01775,-0.012756251,0.00105275,-0.004074,1742093428.857242
0.24825,-0.004,0.007,-0.0125885,0.00381475,-0.0012817499,1742093428.87171
0.215,-0.00525,-0.03375,-0.01115425,0.00460825,-0.00148,1742093428.886247
0.20575,0.00575,-0.04675,-0.008255,0.00314325,-0.003296,1742093428.900784
0.2165,0.0195,-0.03125,-0.00715625,0.00099175,-0.0045625,1742093428.91529
0.22875,0.01175,-0.014,-0.00747675,-0.00157175,-0.005066,1742093428.929868
0.23875,-0.0075,-0.002,-0.008850001,-0.0013427499,-0.0032655,1742093428.944619
0.236,-0.00525,-0.0105,-0.011734,-0.00071725,0.00042725,1742093428.959208
0.24175,0.00975,-0.0235,-0.01216125,-0.0008545,9.15e-05,1742093428.975184
0.2445,0.00575,-0.02325,-0.01092525,-0.001068,-0.0022735,1742093428.98825
0.24575,-0.00325,-0.02125,-0.00646975,-0.00137325,-0.00962825,1742093429.002971
0.246,-0.02075,-0.017,-0.00587475,-0.00157175,-0.011383001,1742093429.017689
0.2465,-0.0275,-0.0155,-0.009155249,-0.001007,-0.0073242504,1742093429.0323951
0.2395,-0.034,-0.02075,-0.0102845,-0.00027475,-0.0045777503,1742093429.0469701
0.23425,-0.03525,-0.027,-0.008270251,0.00059500005,-0.00308225,1742093429.061592
0.23,-0.035,-0.03225,-0.00593575,0.0003205,-0.0034790002,1742093429.0762272
0.232,-0.03025,-0.02625,-0.00239575,-0.0013275,-0.0032195,1742093429.090833
0.24225,-0.00475,-0.00125,-0.0029755002,-0.0021819999,-0.00204475,1742093429.105577
0.25775,-0.00375,0.0125,-0.00845325,-0.0021972498,0.00102225,1742093429.120176
0.26825,-0.01475,0.00675,-0.009948749,-0.001007,0.0010375,1742093429.134882
0.25725,-0.01675,-0.00875,-0.009323,0.00033575002,0.00027475,1742093429.149181
0.24725,-0.02,-0.01725,-0.0061035,0.00125125,-0.0019685,1742093429.164259
0.24425,-0.03275,-0.00825,-0.0052337497,0.0003205,-0.0038605002,1742093429.17839
0.2455,-0.0425,-0.00175,-0.00640875,-0.00238025,-0.00671375,1742093429.194144
0.24925,-0.097,0.01975,-0.008865249,-0.00314325,-0.0059510004,1742093429.2076669
0.25125,-0.15475,0.04475,-0.01330575,-0.00334175,-0.0055695,1742093429.222271
0.25525,-0.381,0.1235,-0.012375,-0.00296025,-0.008209251,1742093429.236845
0.2585,-0.5305,0.1625,0.0026854998,-0.0043639997,-0.015335,1742093429.251287
0.2635,-0.77575,0.194,0.010528499,-0.0067597497,-0.0156555,1742093429.2657359
0.24225,-0.8265,0.19625,0.02250675,-0.00546275,0.00567625,1742093429.280166
0.22275,-0.72,0.25975,0.0305175,-0.0012817499,0.02159125,1742093429.2947142
0.225,-0.53725,0.26625,0.04188525,0.001953,0.029144252,1742093429.3089101
0.21325,-0.255,0.22925,0.06301875,0.0036162501,0.02326975,1742093429.323104
0.1845,0.38025,0.07675,0.067214996,0.0028229998,0.0194245,1742093429.337311
0.201,0.6245,-0.00625,0.05979925,-0.0016785001,0.011917,1742093429.3517911
0.25725,0.86975,-0.11075,0.049881,-0.00314325,0.0059205,1742093429.366187
0.27,0.833,-0.11625,0.036300752,-0.00070200005,-0.0052185003,1742093429.3806999
0.25475,0.60975,-0.10025,0.02832025,0.000946,-0.0078125,1742093429.395076
0.238,0.50625,-0.091,0.020141501,0.00042725,-0.0104065,1742093429.409584
0.23075,0.4055,-0.058,0.0068207504,-0.000229,-0.010849,1742093429.4256132
0.22925,0.18375,0.01975,0.0019989999,0.00024425,-0.008209251,1742093429.438402
0.22525,0.078,0.03975,-0.0034790002,0.00071725,-0.0021057501,1742093429.452697
0.225,-0.0595,0.046,-0.005005,0.00033575002,-0.00016775,1742093429.4670799
0.2285,-0.0805,0.0375,-0.0043182503,-9.15e-05,0.0017852499,1742093429.481569
0.2375,-0.07475,0.02225,-0.00289925,0.000122000005,0.00279225,1742093429.495944
0.24,-0.06875,-0.0105,-0.0015105,0.0033875,0.00460825,1742093429.510456
0.24825,-0.03275,-0.011,-0.00013725001,0.0014037499,0.00355525,1742093429.524961
0.24675,-0.0125,-0.01,0.001068,-0.00086975005,0.0020295,1742093429.5394602
0.2445,0.00575,-0.0125,0.001007,-0.0023497501,0.001007,1742093429.5544808
0.24,0.03425,-0.02275,1.5250001e-05,-0.0009155,0.001175,1742093429.568137
0.239,0.04075,-0.02375,-0.0021819999,0.00225825,0.00086975005,1742093429.582436
0.2405,0.039,-0.017,-0.003128,0.002533,0.000534,1742093429.5967848
0.2375,0.037,-0.014,-0.00369275,0.00062550005,-0.0009765,1742093429.6112509
0.228,0.03175,-0.00775,-0.0039825,-0.000183,-0.00146475,1742093429.6258938
0.22625,0.0265,-0.007,-0.0043944996,-0.00045775,-0.0014037499,1742093429.640542
0.229,0.019,-0.01075,-0.00437925,-0.00108325,-0.00051875,1742093429.655143
0.23475,0.01975,-0.01,-0.004303,-0.00169375,0.000122000005,1742093429.66958
0.2435,0.02475,-0.00575,-0.00505075,-0.0023039998,0.00131225,1742093429.684936
0.2575,0.04325,0.00125,-0.00590525,-0.00198375,0.00175475,1742093429.698559
0.25875,0.054,0.0005,-0.008316,-0.0010375,0.00317375,1742093429.714444
0.2565,0.05625,-0.0025,-0.009201,-0.00062550005,0.00378425,1742093429.727457
0.255,0.0495,-0.0065,-0.0101165,-0.0001525,0.00399775,1742093429.741992
0.25975,0.034,-0.00675,-0.01042175,7.625e-05,0.00378425,1742093429.756356
0.259,0.0295,-0.0075,-0.01054375,0.00048825,0.0033722501,1742093429.7707589
0.2515,0.0205,-0.002,-0.0115815,0.0019685,0.0032195,1742093429.785194
0.245,0.0135,-0.00375,-0.011749251,0.00154125,0.0033570002,1742093429.799556
0.23875,0.009,-0.00875,-0.01245125,0.00013725001,0.0040587503,1742093429.814665
0.239,0.0185,-0.014,-0.01260375,-0.00051875,0.00440975,1742093429.828395
0.243,0.02675,-0.015,-0.01228325,-0.00033575002,0.0032195,1742093429.8427572
0.24725,0.02975,-0.01175,-0.01206975,3.0500001e-05,0.00177,1742093429.857162
0.24875,0.024,-0.00625,-0.012267999,0.00030525,-0.0001525,1742093429.8716412
0.25225,0.007,0.00425,-0.0124665005,0.00030525,6.1000002e-05,1742093429.886085
0.2515,0.0025,0.00425,-0.01266475,0.00059500005,0.00077825,1742093429.90047
0.24975,0.0015,0.00025,-0.012329,0.0013580001,0.00231925,1742093429.9147332
0.245,0.0145,-0.01225,-0.011749251,0.0016632499,0.0026245,1742093429.929075
0.24225,0.02175,-0.0175,-0.011245751,0.0018005001,0.0020905002,1742093429.944584
0.24475,0.02175,-0.01925,-0.011123749,0.00154125,0.00119025,1742093429.9578571
0.247,0.0175,-0.01675,-0.01092525,0.00115975,9.15e-05,1742093429.9721742
0.249,0.016,-0.00925,-0.01136775,0.001236,0.00045775,1742093429.986578
0.25025,0.01775,-0.006,-0.011749251,0.00154125,0.00074775,1742093430.001198
0.2465,0.0185,-0.01225,-0.011550999,0.0022125002,4.575e-05,1742093430.015579
0.243,0.0205,-0.017,-0.01136775,0.0021819999,-0.0002135,1742093430.03008
0.2415,0.0255,-0.0195,-0.01171875,0.0012817499,0.00030525,1742093430.0452108
0.2435,0.0305,-0.0165,-0.01245125,0.00096125,0.000885,1742093430.058857
0.24125,0.02925,-0.01825,-0.013275251,0.0009155,0.000824,1742093430.07317
0.23425,0.01975,-0.02625,-0.01307675,0.00096125,0.00061025,1742093430.087567
0.23175,0.01825,-0.02825,-0.0119630005,0.0005035,0.00064075,1742093430.101995
0.2355,0.01975,-0.0215,-0.0114744995,-0.00010675,0.000473,1742093430.116468
0.23875,0.019,-0.01575,-0.011078,-0.0007935,-0.00027475,1742093430.131076
0.24075,0.02,-0.013,-0.010879501,-0.0015105,-0.001068,1742093430.145683
0.2425,0.019,-0.015,-0.0114744995,-0.00109875,-0.000412,1742093430.160275
0.24,0.0175,-0.01925,-0.013092,-7.625e-05,0.00016775,1742093430.17522
0.233,0.00325,-0.02625,-0.012985251,-9.15e-05,-0.0009155,1742093430.189377
0.2315,-0.008,-0.025,-0.0109709995,-0.00125125,-0.00358575,1742093430.204609
0.2385,-0.02175,-0.00575,-0.0101165,-0.00193775,-0.004074,1742093430.2187772
0.24525,-0.029,0.00375,-0.0100555,-0.002655,-0.0041504996,1742093430.23452
0.246,-0.047,0.0015,-0.010253999,-0.002472,-0.00419625,1742093430.2478578
0.2425,-0.05825,-0.00275,-0.01013175,-0.002472,-0.00485225,1742093430.262441
0.23425,-0.09575,0.00225,-0.0089875,-0.00279225,-0.00640875,1742093430.277097
0.23275,-0.134,0.01725,-0.0072632497,-0.0034637498,-0.008788999,1742093430.291617
0.2345,-0.19125,0.045,-0.00343325,-0.0057220003,-0.013717749,1742093430.306201
0.2525,-0.4055,0.14625,-0.00119025,-0.0070647504,-0.015152001,1742093430.32071
0.27375,-0.556,0.20525,0.0106965,-0.0084379995,-0.013641249,1742093430.335235
0.309,-0.759,0.27425,0.02111825,-0.0080415,-0.0094604995,1742093430.349748
0.3015,-0.7675,0.27925,0.040237498,-0.0043639997,0.0024872501,1742093430.3644822
0.25475,-0.5895,0.22875,0.04824825,-0.00045775,0.009506251,1742093430.378686
0.24275,-0.4005,0.1975,0.06419375,0.00570675,0.018692,1742093430.394094
0.23675,0.157,0.13475,0.07023625,0.00564575,0.018341,1742093430.407354
0.24125,0.41425,0.09025,0.072525,0.0051880004,0.01608275,1742093430.4215329
0.2465,0.61175,0.0275,0.06729125,0.0013275,0.0061339997,1742093430.435777
0.24675,0.762,-0.09775,0.059203997,0.00083925005,-0.0009155,1742093430.45019
0.2485,0.737,-0.11,0.04208375,0.00187675,-0.011627249,1742093430.4645948
0.22875,0.56725,-0.0495,0.034057498,0.0022125002,-0.013046251,1742093430.47901
0.20775,0.45525,-0.0275,0.0168305,0.0029907501,-0.013092,1742093430.494677
0.1745,0.24575,-0.0255,0.009201,0.0019225,-0.010437001,1742093430.5079439
0.1805,0.1725,-0.01275,0.0030975002,-0.00029,-0.0060272496,1742093430.5224152
0.21375,0.0635,0.021,-0.00372325,-0.00399775,0.00068675,1742093430.536879
0.2225,0.01925,0.02175,-0.00561525,-0.0041810004,0.00163275,1742093430.551292
0.2315,-0.0145,0.019,-0.00662225,-0.0032655,0.00125125,1742093430.5657349
0.2525,-0.04075,0.025,-0.00593575,-0.0027160002,0.00148,1742093430.580292
0.262,-0.0445,0.01475,-0.006256,0.0013427499,0.002777,1742093430.594641
0.263,-0.04125,-0.00775,-0.0049285004,0.000473,0.00157175,1742093430.609184
0.2625,-0.03475,-0.01175,-0.0017852499,-0.00190725,-0.0015105,1742093430.625361
0.259,-0.016,-0.0115,-0.001175,-0.00204475,-0.0017395001,1742093430.638473
0.25425,-0.001,-0.008,-0.00146475,-0.00070200005,-0.00109875,1742093430.654547
0.2425,0.0305,-0.009,-0.00305175,0.0023345,0.00051875,1742093430.667541
0.241,0.03975,-0.0085,-0.00372325,0.0024872501,0.00112925,1742093430.681909
0.2415,0.04275,-0.0095,-0.00466925,0.00086975005,0.00163275,1742093430.6962812
0.24275,0.03975,-0.0135,-0.00505075,0.00045775,0.001236,1742093430.710687
0.245,0.04025,-0.00975,-0.0058899997,0.000183,-0.00016775,1742093430.7251499
0.24925,0.03725,0.002,-0.0063325,-0.00024425,-0.00071725,1742093430.7398012
0.249,0.036,0.00425,-0.0074004997,-0.00109875,-0.000183,1742093430.754835
0.25075,0.0325,0.00475,-0.00817875,-0.001068,0.000412,1742093430.768645
0.25075,0.0255,0.00025,-0.008850001,-0.00077825,0.00071725,1742093430.784344
0.25325,0.013,-0.00825,-0.009231499,-0.000122000005,0.0002595,1742093430.797512
0.2555,0.01025,-0.00825,-0.00935375,0.00036625,-0.0003205,1742093430.812002
0.257,0.00475,-0.00525,-0.00975025,0.00093075,-0.0013275,1742093430.8265338
0.25475,-0.014,-0.003,-0.00985725,0.0008545,-0.00149525,1742093430.841144
0.251,-0.022,-0.00775,-0.009582501,0.0009765,-0.001236,1742093430.856003
0.24325,-0.0265,-0.01625,-0.00912475,0.00112925,-0.0012665,1742093430.8705459
0.24225,-0.0205,-0.019,-0.00801075,0.0011445,-0.0020599999,1742093430.885181
0.248,-0.008,-0.01975,-0.00737,0.00083925005,-0.0027312501,1742093430.8998559
0.25325,-0.007,-0.0145,-0.006836,0.00045775,-0.0031127501,1742093430.91455
0.262,-0.01225,-0.0035,-0.007019,0.00065625,-0.0022125002,1742093430.929152
0.263,-0.012,-0.002,-0.00723275,0.0017395001,-0.00013725001,1742093430.944541
0.2585,-0.001,-0.0055,-0.0067902496,0.0023345,0.00013725001,1742093430.958449
0.2535,0.00475,-0.0085,-0.00617975,0.0027160002,-4.575e-05,1742093430.9729338
0.2485,0.00775,-0.012,-0.00570675,0.002411,-0.000824,1742093430.987365
0.2445,0.00775,-0.015,-0.0060272496,0.0021515,-0.00067150005,1742093431.0017211
0.24375,0.00775,-0.01525,-0.0075072497,0.00231925,0.00108325,1742093431.01613
0.243,0.0085,-0.019,-0.00811775,0.0024414998,0.00198375,1742093431.030522
0.24275,0.011,-0.02125,-0.007843,0.0023345,0.0020752498,1742093431.0450912
0.2425,0.01925,-0.022,-0.0075072497,0.001953,0.0012665,1742093431.059519
0.24375,0.0195,-0.02025,-0.0072175004,0.00108325,-0.00067150005,1742093431.0750651
0.249,0.01275,-0.01525,-0.0075682504,0.000946,-0.000763,1742093431.088628
0.25075,0.01325,-0.01325,-0.00842275,0.001068,0.000412,1742093431.104246
0.25075,0.01575,-0.01225,-0.0100555,0.001648,0.00292975,1742093431.117362
0.2475,0.01625,-0.014,-0.010101249,0.0017852499,0.0026245,1742093431.1316328
0.2455,0.016,-0.01625,-0.009872501,0.001648,0.00086975005,1742093431.146098
0.2415,0.01725,-0.0195,-0.0100707505,0.00148,0.00039675,1742093431.160584
0.2395,0.012,-0.0195,-0.0111085,0.00125125,0.0011445,1742093431.1754398
0.24075,-0.00575,-0.01375,-0.01171875,0.0012817499,0.0022125002,1742093431.1893451
0.2415,-0.0085,-0.012,-0.0119630005,0.0014037499,0.0029755002,1742093431.204272
0.24175,-0.00975,-0.01175,-0.011031999,0.0013580001,0.002472,1742093431.2185001
0.23825,-0.01225,-0.01575,-0.01019275,0.0012665,0.001831,1742093431.233906
0.23525,-0.016,-0.01825,-0.009582501,0.001236,0.00198375,1742093431.247457
0.23,-0.02375,-0.02275,-0.009872501,0.0012207499,0.00305175,1742093431.262059
0.2295,-0.02525,-0.024,-0.010314999,0.0010375,0.0046845004,1742093431.276567
0.2265,-0.0175,-0.0305,-0.009582501,0.00064075,0.004593,1742093431.29107
0.22775,-0.0125,-0.03,-0.0075072497,-0.0002135,0.00325,1742093431.3055518
0.23425,-0.002,-0.02325,-0.0066985004,-0.00033575002,0.00228875,1742093431.32017
0.239,-0.0035,-0.01775,-0.0071105,-0.000183,0.00193775,1742093431.3348548
0.239,-0.01575,-0.014,-0.00794975,0.00010675,0.0027465,1742093431.3493829
0.234,-0.019,-0.01575,-0.00874325,0.00029,0.0033264998,1742093431.364651
0.23025,-0.02525,-0.01775,-0.0088195,-0.0005645,0.00105275,1742093431.378379
0.238,-0.05975,-0.002,-0.0079955,-0.0016175,-0.0017242499,1742093431.394201
0.25025,-0.09125,0.01925,-0.006363,-0.004013,-0.0077210004,1742093431.407517
0.2805,-0.21075,0.0755,-0.00570675,-0.0048217503,-0.009491,1742093431.422249
0.2985,-0.301,0.11425,-0.00024425,-0.0052337497,-0.01316825,1742093431.436788
0.3415,-0.558,0.209,0.0059205,-0.0045012496,-0.01643375,1742093431.451265
0.36325,-0.7015,0.248,0.0221405,-0.0016632499,-0.013427749,1742093431.465748
0.36525,-0.796,0.29025,0.0298005,0.0009765,-0.0057525,1742093431.480107
0.33275,-0.705,0.27475,0.037506,0.00466925,0.004074,1742093431.495018
0.288,-0.55025,0.234,0.056778,0.013122501,0.01599125,1742093431.508734
0.2205,-0.05775,0.13225,0.066070504,0.01542675,0.01643375,1742093431.523061
0.20375,0.2125,0.093,0.069595255,0.016998248,0.01576225,1742093431.5372858
0.1655,0.6625,-0.02225,0.065689005,0.016037,0.012756251,1742093431.551618
0.14475,0.76825,-0.098,0.050674498,0.01278675,0.00378425,1742093431.565964
0.10775,0.7655,-0.19225,0.040969748,0.0128175,-9.15e-05,1742093431.580342
0.10275,0.71625,-0.2005,0.031188998,0.010162249,-0.0033570002,1742093431.594893
0.112,0.5265,-0.16525,0.01649475,-0.001526,-0.012313751,1742093431.609377
0.125,0.40025,-0.1165,0.011550999,-0.006012,-0.0168,1742093431.624938
0.148,0.267,-0.054,-0.0026092501,-0.00712575,-0.013443,1742093431.63834
0.1965,0.03475,0.0405,-0.00941475,-0.0050355,-0.0077515002,1742093431.6527228
0.21575,-0.0405,0.05625,-0.0110625,-0.00367725,-0.002121,1742093431.66728
0.261,-0.09825,0.0535,-0.00846875,-0.00514225,-0.00146475,1742093431.6818602
0.283,-0.09325,0.04325,-0.0054015,-0.007019,0.0002135,1742093431.696374
0.3035,-0.06125,0.01675,-0.0046234997,-0.005844,0.000824,1742093431.710882
0.30025,-0.041,0.00175,-0.00396725,-0.00384525,0.00112925,1742093431.725376
0.27825,-0.0005,-0.03325,-0.00372325,-7.625e-05,0.002243,1742093431.739957
0.2655,0.02025,-0.04725,-0.00355525,0.0010375,0.00270075,1742093431.754645
0.255,0.043,-0.0535,-0.0034942501,0.001236,0.00317375,1742093431.7691038
0.2475,0.0715,-0.045,-0.00440975,0.00096125,0.00369275,1742093431.784694
0.24875,0.0765,-0.0395,-0.0068207504,0.00042725,0.00399775,1742093431.798208
0.24675,0.0715,-0.03475,-0.008026,0.00029,0.00369275,1742093431.812682
0.243,0.06275,-0.02925,-0.009734999,-0.000122000005,0.00314325,1742093431.8272781
0.23575,0.039,-0.0105,-0.0101165,-0.0005645,0.0031889998,1742093431.84182
0.234,0.03,-0.00325,-0.0109709995,-0.00125125,0.00378425,1742093431.85624
0.235,0.0155,-0.00775,-0.0115205,-0.0012970001,0.0043182503,1742093431.870713
0.23825,0.0135,-0.017,-0.01177975,-0.00143425,0.0047150003,1742093431.885445
0.24125,0.01525,-0.0235,-0.0122375,-0.0021057501,0.00466925,1742093431.8999848
0.247,0.02225,-0.0205,-0.012680001,-0.0024872501,0.0042267498,1742093431.9145758
0.24825,0.0215,-0.0155,-0.01065075,-0.00302125,0.0027312501,1742093431.9291
0.24675,0.01975,-0.00775,-0.009811499,-0.00279225,0.00279225,1742093431.944559
0.24375,0.024,-0.01025,-0.010559,-0.001709,0.0044555003,1742093431.9580622
0.241,0.033,-0.028,-0.011260999,-0.001419,0.0049742498,1742093431.972621
0.24325,0.033,-0.03675,-0.011825499,-0.0017852499,0.00317375,1742093431.987175
0.255,0.01875,-0.02925,-0.011398249,-0.0022125002,0.0012665,1742093432.001678
0.26025,0.00525,-0.01675,-0.0105742505,-0.0023345,-0.001236,1742093432.016227
