acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
-0.36625,0.026,0.0175,-0.069702245,0.00935375,0.0025787498,1741884452.9173498
-0.45325,-0.13275,-0.01375,-0.07164,-0.00254825,0.0021819999,1741884452.929099
-0.47125,-0.258,-0.035,-0.06735225,-0.031692497,-0.00125125,1741884452.9445372
-0.40175,-0.52975,-0.03975,-0.058273252,-0.049652,-0.00811775,1741884452.960518
-0.3065,-0.62375,-0.00525,-0.035843,-0.08082575,-0.018982,1741884452.973078
-0.078,-0.701,0.10975,-0.02633675,-0.08981325,-0.0148315,1741884452.987744
0.049,-0.689,0.17775,-0.00794975,-0.09872425,0.0039215,1741884453.0023081
0.40075,-0.602,0.336,0.00364675,-0.100174,0.01013175,1741884453.016665
0.575,-0.55725,0.38625,0.02911375,-0.08285525,0.011260999,1741884453.031114
0.78225,-0.44325,0.428,0.04110725,-0.06729125,0.009491,1741884453.045473
0.8115,-0.3385,0.42,0.05159,-0.053039502,0.01026925,1741884453.06009
0.8165,-0.2105,0.404,0.062088,-0.029724,0.0205535,1741884453.0743182
0.80525,-0.0105,0.35925,0.064071745,-0.01867675,0.024704,1741884453.0886421
0.79175,0.084,0.344,0.06697075,0.0025940002,0.02873225,1741884453.10289
0.761,0.24975,0.3455,0.064682,0.01260375,0.031372,1741884453.119751
0.72025,0.2985,0.35025,0.05387875,0.035263002,0.03512575,1741884453.131296
0.59125,0.34425,0.336,0.046646,0.0470275,0.0356445,1741884453.145509
0.51075,0.3615,0.314,0.038757253,0.056289747,0.035736,1741884453.160217
0.4195,0.388,0.2845,0.019134501,0.06546025,0.03427125,1741884453.173867
0.263,0.39275,0.23775,0.0074615004,0.06779475,0.031952,1741884453.188053
0.19475,0.38525,0.22675,-0.009597749,0.071121246,0.02124025,1741884453.202456
0.0695,0.383,0.199,-0.01667775,0.070526004,0.01548775,1741884453.219122
0.01775,0.364,0.17675,-0.0244445,0.06864925,0.011627249,1741884453.231114
-0.03525,0.34,0.15,-0.0387115,0.06410225,0.008361749,1741884453.245478
-0.14725,0.324,0.0965,-0.044754002,0.0607605,0.0073547503,1741884453.259983
-0.19925,0.31975,0.0785,-0.05717475,0.047973752,0.0048217503,1741884453.2742982
-0.2815,0.24275,0.054,-0.06269825,0.03822325,0.0027312501,1741884453.288658
-0.3095,0.16675,0.0535,-0.070266746,0.015029999,0.00051875,1741884453.303058
-0.348,-0.03175,0.05,-0.07466125,0.0016785001,0.00216675,1741884453.319573
-0.351,-0.13375,0.0495,-0.076751746,-0.020462,0.00579825,1741884453.332204
-0.33975,-0.2575,0.05925,-0.07191475,-0.03158575,0.00517275,1741884453.346742
-0.3305,-0.32925,0.05725,-0.065384,-0.0454865,0.0016175,1741884453.3614578
-0.299,-0.442,0.066,-0.05015575,-0.0785065,-0.00975025,1741884453.376072
-0.156,-0.6895,0.1505,-0.03971875,-0.093155,-0.012252751,1741884453.392171
-0.0325,-0.765,0.236,-0.01649475,-0.10968025,-0.00062550005,1741884453.405445
0.279,-0.7845,0.40025,-0.004776,-0.10888675,0.00982675,1741884453.419963
0.4225,-0.763,0.43725,0.020629998,-0.089447,0.028015248,1741884453.434334
0.60525,-0.65775,0.42275,0.03518675,-0.075805746,0.029953,1741884453.449805
0.65725,-0.54175,0.41,0.06469725,-0.059906,0.025589,1741884453.46322
0.78575,-0.177,0.43025,0.07269275,-0.054183997,0.0280915,1741884453.477758
0.86525,-0.002,0.46325,0.07519525,-0.03202825,0.0338745,1741884453.4921658
0.924,0.2365,0.4795,0.0746765,-0.016388,0.031662002,1741884453.506591
0.88625,0.308,0.45625,0.07191475,-0.0003815,0.0298005,1741884453.5209322
0.82225,0.35625,0.42225,0.05618275,0.031188998,0.036209,1741884453.535085
0.683,0.4305,0.391,0.0477905,0.045043997,0.038452253,1741884453.549778
0.612,0.48225,0.3745,0.03367625,0.0550995,0.03335575,1741884453.5636742
0.44725,0.50225,0.32575,0.02439875,0.059021,0.02848825,1741884453.580107
0.34675,0.4595,0.3055,0.01490775,0.065384,0.02333075,1741884453.593143
0.24325,0.41425,0.281,-0.0015565,0.0758515,0.01368725,1741884453.606519
0.06725,0.35875,0.223,-0.0089569995,0.077179,0.009842,1741884453.620783
0.00025,0.34025,0.19875,-0.02316275,0.072815,0.00505075,1741884453.635108
