acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.23925,0.01425,-0.06125,-0.00358575,-0.001892,0.0041044997,1741884856.6738958
0.23925,0.01175,-0.0605,-0.0019685,-0.00137325,0.0032347501,1741884856.686738
0.23975,0.01125,-0.05475,-0.00042725,-0.00115975,0.00238025,1741884856.701118
0.24275,0.01425,-0.03725,3.0500001e-05,-0.00083925005,0.00204475,1741884856.715462
0.245,0.01575,-0.033,0.0012207499,0.00131225,0.000824,1741884856.72989
0.248,0.01325,-0.0415,0.001648,0.00276175,0.0002135,1741884856.744195
0.248,0.009,-0.0515,0.00367725,0.0047455,-0.00077825,1741884856.759447
0.24325,0.001,-0.065,0.0047607496,0.004837,-0.00105275,1741884856.77301
0.242,0.00025,-0.06325,0.0051574996,0.00437925,-0.00112925,1741884856.787468
0.24175,0.0015,-0.05775,0.00460825,0.0034484998,-0.00112925,1741884856.801984
0.24075,0.0045,-0.0495,0.004486,0.0034942501,-0.0012970001,1741884856.816478
0.23925,0.0055,-0.04925,0.004547,0.0042572496,-0.0014037499,1741884856.8310452
0.23825,0.00425,-0.05075,0.003769,0.00466925,-0.00077825,1741884856.8456619
0.238,0.0065,-0.0525,0.00019825,0.0052947504,0.0017242499,1741884856.859919
0.2345,0.0245,-0.06225,-0.00067150005,0.00531,0.0019685,1741884856.874252
0.2345,0.0235,-0.067,0.0,0.00419625,0.0001525,1741884856.89011
0.23875,0.01125,-0.066,3.0500001e-05,0.0034484998,-0.00039675,1741884856.902945
0.2415,0.01075,-0.05975,-0.00010675,0.0029449998,-0.00048825,1741884856.9186711
0.2445,0.01525,-0.05275,0.00045775,0.00352475,-0.0011445,1741884856.931873
0.25125,0.02075,-0.0505,0.00051875,0.0042725,-0.001587,1741884856.9462929
0.252,0.01975,-0.058,-0.00067150005,0.0053405,-0.00115975,1741884856.960799
0.24425,0.01,-0.08625,-0.0009765,0.0052642496,-0.000763,1741884856.9753642
0.237,0.01,-0.09975,0.0003205,0.00384525,-0.0007325,1741884856.989671
0.2225,0.02775,-0.1225,0.00059500005,0.0023497501,-0.001175,1741884857.003938
0.20225,0.0355,-0.14425,0.0002595,-0.00010675,-0.0019989999,1741884857.019056
0.074,0.0645,-0.282,0.001648,-0.01222225,-0.00460825,1741884857.033088
-0.03625,0.0905,-0.42075,0.00364675,-0.029358,-0.0059510004,1741884857.048865
-0.15975,0.1125,-0.5785,0.00105275,-0.1046905,-0.0114135,1741884857.062196
-0.48625,0.05475,-0.704,-0.009903,-0.156601,-0.014389,1741884857.0789518
-0.66975,-0.04575,-0.6,-0.0262145,-0.2532805,-0.01048275,1741884857.0917811
-0.95975,-0.19675,-0.26975,-0.02183525,-0.28370675,0.0013275,1741884857.106474
-1.0,-0.114,-0.125,-0.0202485,-0.31425476,0.028534,1741884857.121176
-1.0,0.107,0.2245,-0.02417,-0.322586,0.03250125,1741884857.135757
-0.9985,0.10025,0.48925,-0.019165002,-0.31672674,0.02330025,1741884857.1502578
-0.777,0.0125,1.0,-0.035797,-0.29069525,0.021560749,1741884857.1647801
-0.52125,0.05275,1.0,-0.065979,-0.1912385,0.0482025,1741884857.179358
-0.2095,0.26375,1.0,-0.0390625,-0.12403875,0.056717,1741884857.193744
-0.2545,0.34925,0.945,-0.0060882503,-0.05783075,0.04765325,1741884857.209176
-0.3505,0.3705,0.77175,0.0075682504,0.020218,0.01396175,1741884857.222662
-0.37075,0.17525,0.37225,0.000885,0.03120425,0.00238025,1741884857.2381911
-0.2735,0.0735,0.34325,0.00305175,0.03598025,-0.0081025,1741884857.2512379
-0.12075,0.051,0.3855,0.0081635,0.04034425,-0.0089569995,1741884857.265715
-0.102,0.0675,0.375,0.009796251,0.05488575,-0.01368725,1741884857.280065
-0.10825,0.0505,0.3495,0.0065917503,0.061676,-0.01864625,1741884857.294483
-0.123,0.042,0.3435,0.00402825,0.066360496,-0.02359,1741884857.309682
-0.146,0.0395,0.31975,0.00543225,0.065567,-0.0238495,1741884857.323471
-0.175,0.00775,0.21375,0.0052795,0.05941775,-0.018448,1741884857.3400981
-0.158,-0.011,0.1855,0.002243,0.047943,-0.01026925,1741884857.352395
-0.0665,-0.018,0.249,0.0038757501,0.0456695,-0.00982675,1741884857.366891
-0.02425,-0.00725,0.296,0.008484,0.051071253,-0.011734,1741884857.381423
-0.00125,0.0315,0.3235,0.012741,0.058090247,-0.013336251,1741884857.3958862
-0.013,0.046,0.3085,0.017334,0.072052,-0.0177155,1741884857.410233
-0.0455,0.0395,0.26325,0.01805125,0.076065004,-0.017974751,1741884857.424851
-0.041,0.0275,0.24725,0.017730748,0.07772825,-0.015335,1741884857.439887
-0.0205,0.015,0.248,0.01361075,0.07753,-0.0047150003,1741884857.4536698
0.0195,0.009,0.28225,0.01177975,0.07890325,0.00036625,1741884857.4691389
0.03775,0.01775,0.292,0.0095672505,0.0894775,0.00444025,1741884857.482133
0.09025,0.03825,0.30825,0.0077210004,0.095581,0.0024414998,1741884857.4963222
0.095,0.0325,0.2985,0.00494375,0.098663256,-0.0043335,1741884857.510695
0.06525,-0.0075,0.22275,0.0037079998,0.09544375,-0.0047302498,1741884857.525002
0.06225,-0.02275,0.18375,0.00302125,0.09167475,-0.002365,1741884857.540415
0.09175,-0.025,0.15075,0.0065917503,0.0860595,0.0037537501,1741884857.5538921
0.10275,-0.00875,0.12975,0.010498,0.08370975,0.0045165,1741884857.5693598
0.1085,0.004,0.104,0.0158845,0.0765685,0.0024414998,1741884857.582627
0.117,-0.00575,0.05375,0.01576225,0.07244875,0.001648,1741884857.596902
0.12375,-0.017,0.035,0.0126495,0.06292725,0.002777,1741884857.611285
0.15075,-0.01475,0.02925,0.0125885,0.05821225,0.00408925,1741884857.625729
0.16125,-0.0045,0.02975,0.016632,0.051528998,0.00511175,1741884857.6408708
0.17425,0.01875,0.02675,0.01799,0.04907225,0.004486,1741884857.654309
0.1795,0.028,0.01975,0.01734925,0.0470275,0.00369275,1741884857.669396
0.18275,0.02475,0.0015,0.01187125,0.04122925,0.0031127501,1741884857.6827688
0.196,-0.009,-0.024,0.00924675,0.03677375,0.0033875,1741884857.698644
0.20775,-0.01625,-0.01175,0.00982675,0.031372,0.00343325,1741884857.7116601
0.2135,-0.0035,-0.00325,0.013046251,0.030838,0.0025025,1741884857.72602
0.213,0.00325,-0.015,0.014800999,0.0295105,0.001648,1741884857.740256
0.216,0.01175,-0.0315,0.011917,0.0290985,0.00238025,1741884857.7546802
0.216,0.00625,-0.03175,0.0084379995,0.029144252,0.00320425,1741884857.7691982
0.214,-0.00025,-0.03475,0.0057677496,0.027252251,0.00340275,1741884857.783262
0.2,0.01,-0.067,0.0069885002,0.023803748,0.0025787498,1741884857.799466
0.19075,0.01925,-0.08525,0.0073547503,0.013793999,-0.0001525,1741884857.811999
0.1645,0.03475,-0.10625,0.00631725,0.0086975,-0.00154125,1741884857.826496
0.13275,0.04975,-0.13025,0.0053405,-0.0035095,-0.00485225,1741884857.8410811
0.003,0.099,-0.28775,0.00292975,-0.014785751,-0.00668325,1741884857.8556569
-0.0905,0.12675,-0.43125,-0.001709,-0.034011748,-0.0090485,1741884857.8702269
-0.19525,0.14725,-0.56875,-0.0114440005,-0.103363,-0.02098075,1741884857.884955
-0.4495,0.09475,-0.66575,-0.015213001,-0.15013126,-0.03149425,1741884857.8995972
-0.585,0.06825,-0.587,-0.0179595,-0.2347565,-0.047485247,1741884857.914216
-0.84075,0.10375,-0.29325,-0.02091975,-0.26213074,-0.046157748,1741884857.929677
-0.9485,0.15325,-0.1555,-0.04306025,-0.30033875,-0.0352325,1741884857.943598
-1.0,-0.019,0.2905,-0.03913875,-0.3127595,-0.03306575,1741884857.959765
-0.9715,-0.20975,0.7125,-0.0036315,-0.29240423,-0.021988,1741884857.972987
