acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.00725,0.246,0.00425,0.00033575002,-0.0011445,-0.0020905002,1741884965.0063639
0.00825,0.24525,0.00575,9.15e-05,-0.00074775,-0.00175475,1741884965.020801
0.01,0.24125,0.00725,0.000183,-0.00057975,-0.00160225,1741884965.035093
0.0105,0.23875,0.00675,0.0001525,-0.000534,-0.00137325,1741884965.049441
0.011,0.238,0.00725,-0.00013725001,-0.00054925,-0.00077825,1741884965.0639591
0.0105,0.23725,0.01,-0.00033575002,-0.00035100002,-0.0004425,1741884965.0785
0.00975,0.23525,0.00975,-0.00071725,0.0003815,0.00035100002,1741884965.092939
0.008,0.2345,0.0055,-0.000763,0.0007325,0.0007325,1741884965.1071439
0.0075,0.23575,0.0035,-0.00068675,0.00093075,0.001236,1741884965.121451
0.007,0.241,0.0015,-0.00048825,0.00083925005,0.0012970001,1741884965.1358101
0.0055,0.2435,-0.0005,-0.000183,0.000824,0.0012207499,1741884965.150269
0.00375,0.24225,-0.002,-0.00019825,0.00065625,0.001114,1741884965.164733
0.00375,0.24225,-0.00125,-0.0003205,0.00045775,0.00115975,1741884965.179224
0.00325,0.243,-0.001,-0.000122000005,0.00030525,0.0012970001,1741884965.193805
0.004,0.24525,0.00075,-0.00013725001,3.0500001e-05,0.0013275,1741884965.2089942
0.005,0.2465,0.002,0.000122000005,-0.00045775,0.00090025004,1741884965.222566
0.005,0.247,0.00225,0.00042725,-0.00045775,0.000534,1741884965.2368782
0.005,0.24575,0.00225,0.000229,-0.00057975,0.0003815,1741884965.251148
0.006,0.2435,0.005,-0.00016775,-0.0005645,0.00065625,1741884965.265652
0.006,0.2425,0.00525,-0.00068675,-0.0004425,0.00105275,1741884965.280087
0.006,0.24175,0.0045,-0.0013427499,-0.000183,0.00169375,1741884965.294452
0.006,0.241,0.0045,-0.0012817499,-3.0500001e-05,0.001892,1741884965.309003
0.0055,0.242,0.00525,-0.00090025004,0.00019825,0.0021515,1741884965.323148
0.0035,0.2445,0.0055,-0.00077825,0.00033575002,0.0022125002,1741884965.339021
0.002,0.24525,0.0045,-0.001114,0.000946,0.00245675,1741884965.3516648
0.0015,0.24475,0.00225,-0.00146475,0.00143425,0.0027465,1741884965.3660622
0.00075,0.24525,0.001,-0.0016632499,0.0019989999,0.00305175,1741884965.38033
-0.001,0.24675,-0.001,-0.001587,0.002533,0.0030365,1741884965.3948019
-0.00225,0.2465,-0.00225,-0.00154125,0.00216675,0.0027465,1741884965.40927
-0.00175,0.24575,-0.00125,-0.000763,0.0012970001,0.00201425,1741884965.4238038
-0.00225,0.24675,0.0,-0.00029,0.00119025,0.0016785001,1741884965.4392781
-0.00275,0.24825,0.0005,-0.00039675,0.00115975,0.0012665,1741884965.452638
-0.00275,0.2485,-0.0005,-0.0007935,0.00115975,0.00119025,1741884965.467985
-0.003,0.2475,-0.00125,-0.00112925,0.00131225,0.0009155,1741884965.481726
-0.00375,0.24475,-0.00375,-0.00115975,0.0012207499,0.000763,1741884965.496289
-0.004,0.2445,-0.0045,-0.00108325,0.00096125,0.00062550005,1741884965.510802
-0.0045,0.245,-0.00425,-0.00029,0.0003815,0.00035100002,1741884965.525275
-0.0045,0.24725,-0.0,1.5250001e-05,0.000183,0.00029,1741884965.539655
-0.00375,0.24875,0.0025,9.15e-05,9.15e-05,-0.00016775,1741884965.554058
-0.0025,0.247,0.00225,0.0,0.0002595,-0.000534,1741884965.56839
-0.00225,0.24525,-0.0005,-0.00010675,0.0003815,-0.000824,1741884965.583634
-0.0025,0.24325,-0.00325,0.0002135,0.0003205,-0.000946,1741884965.599008
-0.0025,0.2435,-0.00225,0.001068,6.1000002e-05,-0.00112925,1741884965.6120598
-0.0025,0.24575,0.00075,0.0012055,3.0500001e-05,-0.00115975,1741884965.628042
-0.00325,0.24575,0.001,0.0010375,0.00016775,-0.00119025,1741884965.64088
-0.00325,0.246,0.0015,0.00054925,0.00048825,-0.0012970001,1741884965.655206
-0.00225,0.249,0.00175,0.00048825,0.00057975,-0.00143425,1741884965.6697721
-0.001,0.2475,0.001,0.00067150005,0.00033575002,-0.00169375,1741884965.684185
0.00075,0.2435,0.00125,0.00083925005,0.00019825,-0.0017242499,1741884965.6985862
0.0005,0.24275,0.0015,0.00102225,0.0003205,-0.00154125,1741884965.712878
-0.0,0.24275,0.00075,0.00083925005,0.000412,-0.00131225,1741884965.728766
-0.0,0.24425,0.00125,0.00080875,0.0003815,-0.001236,1741884965.74167
-0.0005,0.2475,0.00175,0.0009155,0.0004425,-0.0014495,1741884965.756083
