acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
-0.00025,0.0005,0.252,0.00027475,-0.0003205,0.00027475,1741885094.831805
-0.0005,-0.00025,0.25225,0.0003205,-0.0003815,0.00035100002,1741885094.8423848
-0.001,-0.00275,0.2525,0.00039675,-0.000412,0.00051875,1741885094.856958
-0.00075,-0.00125,0.2525,0.0005035,-0.00062550005,0.00105275,1741885094.871417
-0.00075,0.0,0.2515,0.000534,-0.00070200005,0.00115975,1741885094.8858109
-0.001,0.0,0.25125,0.00059500005,-0.00062550005,0.00102225,1741885094.9001112
-0.00125,0.0015,0.25125,0.00057975,-0.00054925,0.000946,1741885094.916211
-0.0015,0.0015,0.25175,0.000534,-0.00045775,0.00083925005,1741885094.9289129
-0.00175,0.00125,0.2515,0.000412,-0.00035100002,0.00048825,1741885094.9433181
-0.00225,0.002,0.251,0.00035100002,-0.00029,0.0003205,1741885094.958623
-0.00225,0.002,0.251,0.000183,-9.15e-05,9.15e-05,1741885094.97226
-0.00225,0.00125,0.2515,0.00013725001,-1.5250001e-05,4.575e-05,1741885094.986593
-0.002,0.00075,0.25175,0.00010675,1.5250001e-05,3.0500001e-05,1741885095.000936
-0.0015,0.0,0.25175,6.1000002e-05,1.5250001e-05,3.0500001e-05,1741885095.015234
-0.00175,-0.00025,0.2515,1.5250001e-05,1.5250001e-05,4.575e-05,1741885095.0296462
-0.002,-0.0,0.2515,-0.00010675,6.1000002e-05,0.00013725001,1741885095.044113
-0.00175,-0.0,0.252,-0.000122000005,6.1000002e-05,0.00016775,1741885095.058673
-0.00175,-0.00025,0.252,-7.625e-05,0.00010675,0.00010675,1741885095.0731142
-0.0015,-0.00025,0.25175,-7.625e-05,0.0001525,4.575e-05,1741885095.0890582
-0.00125,-0.00025,0.25175,-0.000122000005,0.000183,0.0,1741885095.102247
-0.00125,-0.00075,0.252,-0.000122000005,0.00016775,-3.0500001e-05,1741885095.11678
-0.0015,-0.0005,0.252,-6.1000002e-05,0.00013725001,-7.625e-05,1741885095.131413
-0.002,-0.0,0.25225,-3.0500001e-05,0.000122000005,-9.15e-05,1741885095.146039
-0.00175,0.0,0.25225,1.5250001e-05,7.625e-05,-4.575e-05,1741885095.160429
-0.00125,0.0,0.252,0.0,1.5250001e-05,-1.5250001e-05,1741885095.174813
-0.00125,-0.0,0.2515,-1.5250001e-05,0.0,3.0500001e-05,1741885095.189204
-0.0015,-0.00025,0.25175,-4.575e-05,4.575e-05,7.625e-05,1741885095.203657
-0.00175,-0.00025,0.25175,-6.1000002e-05,7.625e-05,6.1000002e-05,1741885095.2182028
-0.00175,-0.0005,0.2515,-9.15e-05,0.000122000005,1.5250001e-05,1741885095.232678
-0.00175,-0.0005,0.2515,-6.1000002e-05,0.0001525,-3.0500001e-05,1741885095.2486951
-0.00175,-0.0,0.25175,-3.0500001e-05,0.0002595,-7.625e-05,1741885095.261965
-0.00175,0.00025,0.25175,0.0,0.00027475,-6.1000002e-05,1741885095.276263
-0.002,0.0,0.25225,0.00010675,0.00027475,6.1000002e-05,1741885095.2907798
-0.00225,0.0,0.252,0.00013725001,0.000229,0.0001525,1741885095.3051782
-0.00125,0.00025,0.25175,0.00016775,0.00019825,0.000229,1741885095.319485
-0.0005,0.0,0.252,0.0001525,0.0001525,0.0002595,1741885095.3337758
0.0,-0.0005,0.25175,9.15e-05,0.00013725001,0.0002135,1741885095.348872
-0.0005,-0.0005,0.2515,-0.000122000005,1.5250001e-05,0.0,1741885095.362657
-0.00175,-0.0,0.25175,-4.575e-05,3.0500001e-05,-0.00010675,1741885095.377973
-0.0015,-0.0,0.25175,0.000183,7.625e-05,-0.0001525,1741885095.391904
-0.00125,-0.0005,0.252,0.0002135,7.625e-05,-0.00010675,1741885095.407858
-0.0015,-0.001,0.25225,0.00019825,3.0500001e-05,-6.1000002e-05,1741885095.420877
-0.00075,-0.001,0.252,0.000122000005,-0.00010675,0.0,1741885095.435406
-0.0,-0.00125,0.252,0.00016775,-0.000183,4.575e-05,1741885095.449892
-0.0005,-0.00225,0.252,0.00029,-0.00036625,-0.00010675,1741885095.4644768
-0.00125,-0.003,0.25225,0.00036625,-0.000412,-0.0001525,1741885095.478985
-0.001,-0.0015,0.252,0.00048825,-0.00045775,1.5250001e-05,1741885095.4934242
-0.0015,-0.001,0.252,0.0005035,-0.00045775,0.000122000005,1741885095.5086982
-0.00175,-0.00175,0.2525,0.0005645,-0.000473,0.0004425,1741885095.522395
-0.00175,-0.00225,0.25275,0.00062550005,-0.00048825,0.000763,1741885095.536897
-0.00175,-0.0015,0.2525,0.00045775,-0.00074775,0.0013885,1741885095.5513651
-0.0035,0.00275,0.252,0.00029,-0.00090025004,0.00146475,1741885095.5658119
-0.00425,0.00525,0.25225,0.0001525,-0.00105275,0.0013885,1741885095.5802271
-0.004,0.00575,0.25275,0.00029,-0.0013580001,0.00154125,1741885095.59462
-0.00425,-0.002,0.252,0.00048825,-0.00149525,0.001648,1741885095.6091268
-0.00575,-0.00525,0.252,0.0004425,-0.0016785001,0.0015105,1741885095.623584
-0.00875,-0.00675,0.2515,0.000229,-0.0017852499,0.00125125,1741885095.639012
-0.00775,-0.006,0.2515,0.000122000005,-0.00160225,0.00105275,1741885095.652534
-0.006,-0.004,0.2515,0.000122000005,-0.00148,0.00115975,1741885095.668576
-0.0065,-0.00275,0.25175,7.625e-05,-0.00143425,0.00115975,1741885095.681401
-0.007,-0.003,0.251,-0.00010675,-0.0014037499,0.00086975005,1741885095.6960378
-0.00675,-0.00275,0.251,-0.0002135,-0.0013427499,0.00067150005,1741885095.710602
-0.00575,-0.002,0.2515,-0.00019825,-0.0012665,0.000763,1741885095.725256
-0.00575,-0.001,0.25275,0.00016775,-0.00125125,0.000885,1741885095.739907
-0.00625,0.00025,0.25225,0.0009155,-0.0013275,0.00051875,1741885095.754297
-0.00725,0.00175,0.2535,0.0013275,-0.0013580001,0.0001525,1741885095.768818
