acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.2405,-0.02425,0.01825,0.0003815,0.0019225,-0.00042725,1741884993.425766
0.2455,-0.016,0.021,0.00083925005,0.0028074998,-0.00067150005,1741884993.440199
0.2485,-0.017,0.0225,0.0009155,0.003769,-0.00143425,1741884993.456037
0.2535,-0.02425,0.0205,0.000229,0.00364675,-0.00119025,1741884993.468979
0.25225,-0.02525,0.018,-0.000473,0.0032195,-0.0004425,1741884993.483444
0.24425,-0.02575,0.0145,-0.00054925,0.00231925,0.0013580001,1741884993.4987829
0.24275,-0.026,0.0145,-0.00013725001,0.0022735,0.00175475,1741884993.512228
0.2465,-0.02275,0.0155,0.00059500005,0.0028535,0.0012055,1741884993.5265422
0.253,-0.01575,0.01725,0.0007935,0.003128,0.00077825,1741884993.5409842
0.252,-0.0155,0.017,0.00061025,0.003128,0.0004425,1741884993.555255
0.2485,-0.0165,0.01375,0.000473,0.0031889998,0.00029,1741884993.569542
0.24675,-0.017,0.01225,0.00019825,0.0030669998,-0.00013725001,1741884993.58396
0.24475,-0.0185,0.00975,0.00027475,0.00279225,-0.000412,1741884993.598968
0.24625,-0.01975,0.00975,0.0005035,0.0025634998,-0.00062550005,1741884993.612704
0.24825,-0.02075,0.00975,0.0004425,0.0019989999,-0.000122000005,1741884993.627969
0.2495,-0.018,0.01175,-4.575e-05,0.001587,0.0005645,1741884993.641454
0.25,-0.01675,0.01675,-0.000885,0.0016632499,0.00119025,1741884993.655832
0.25575,-0.02125,0.03175,-0.00059500005,0.00263975,0.0007325,1741884993.670219
0.25525,-0.02175,0.03125,0.00105275,0.0056609996,-0.001068,1741884993.6845691
0.2445,-0.0195,0.0125,0.0010375,0.006546,-0.00125125,1741884993.699192
0.24125,-0.01875,0.0045,0.00033575002,0.0066985004,-0.000885,1741884993.713562
0.24075,-0.01825,-0.00075,-0.0002135,0.00587475,-0.0005035,1741884993.728775
0.24025,-0.0185,-0.00575,0.0003815,0.0052795,-0.00074775,1741884993.742558
0.24025,-0.0185,-0.00725,0.0013427499,0.0041044997,-0.001175,1741884993.7587662
0.24275,-0.0175,-0.00625,0.001175,0.0036010002,-0.00099175,1741884993.7714078
0.24425,-0.01525,-0.00425,0.00057975,0.0034484998,-0.00036625,1741884993.785932
0.24375,-0.013,-0.00425,0.000473,0.0037995,-0.0003815,1741884993.800409
0.2425,-0.014,-0.00625,0.00036625,0.00413525,-0.000534,1741884993.814943
0.23975,-0.0155,-0.013,0.00042725,0.0038757501,-0.00062550005,1741884993.829472
0.23925,-0.0155,-0.01625,0.0005645,0.003296,-0.00074775,1741884993.8439198
0.239,-0.01625,-0.01775,0.00045775,0.0012970001,-0.00057975,1741884993.8584352
0.24025,-0.02225,-0.01525,-4.575e-05,0.0003205,-7.625e-05,1741884993.873006
0.2415,-0.02375,-0.01275,-0.001175,-0.00083925005,0.0012055,1741884993.8891158
0.24325,-0.02175,-0.0085,-0.0012665,-0.001007,0.0015105,1741884993.902115
0.24375,-0.0205,-0.00725,-0.00112925,-0.001236,0.001709,1741884993.917834
0.24475,-0.019,-0.0055,-0.001175,-0.0014037499,0.00190725,1741884993.931243
0.2455,-0.01775,-0.004,-0.0013580001,-0.0016785001,0.0025025,1741884993.945729
0.24775,-0.01725,-0.0005,-0.00163275,-0.0017242499,0.00263975,1741884993.960293
0.24825,-0.01825,-0.0,-0.0017852499,-0.00163275,0.0023039998,1741884993.974916
0.24925,-0.01775,0.00025,-0.001587,-0.0016175,0.0020295,1741884993.989433
0.25025,-0.016,0.002,-0.0014037499,-0.001526,0.0017395001,1741884994.003857
0.25,-0.0155,0.00325,-0.0016632499,-0.0008545,0.00131225,1741884994.018474
0.246,-0.01675,0.00025,-0.0019989999,-0.00061025,0.0013580001,1741884994.0328
0.244,-0.0175,-0.00175,-0.00213625,-0.000946,0.00146475,1741884994.048355
0.2445,-0.0175,-0.00225,-0.0019685,-0.00131225,0.00148,1741884994.062558
0.24625,-0.01525,-0.0,-0.00187675,-0.0014495,0.0014495,1741884994.0767438
0.24625,-0.01325,0.0025,-0.0019989999,-0.00119025,0.00137325,1741884994.091257
0.246,-0.0135,0.0025,-0.0023345,-0.00065625,0.0012970001,1741884994.10575
0.2475,-0.01175,0.0045,-0.00216675,-0.0003205,0.001068,1741884994.120251
0.2465,-0.0125,0.00425,-0.00181575,6.1000002e-05,0.00077825,1741884994.134614
0.24375,-0.01325,0.00225,-0.001648,0.00035100002,0.00077825,1741884994.14901
0.2415,-0.0115,-0.00125,-0.00187675,0.000122000005,0.00083925005,1741884994.163439
0.2435,-0.0095,-0.00025,-0.0021819999,-0.00039675,0.00054925,1741884994.1781619
0.24875,-0.007,0.00225,-0.00228875,-0.0003815,0.0003205,1741884994.1925461
0.25,-0.0075,0.0015,-0.0025025,0.00010675,0.0003205,1741884994.208871
0.25025,-0.00775,0.0015,-0.0024872501,0.00035100002,0.00045775,1741884994.2214348
0.24975,-0.00625,0.002,-0.0019685,0.0010375,9.15e-05,1741884994.235826
0.2475,-0.007,0.0005,-0.0019685,0.00125125,-0.0002135,1741884994.2503412
0.2455,-0.0095,-0.00175,-0.00216675,0.0012665,-0.0005035,1741884994.264988
0.244,-0.0115,-0.003,-0.0025787498,0.00109875,-0.0009155,1741884994.279501
0.24475,-0.014,-0.00425,-0.0025025,0.00067150005,-0.0007325,1741884994.294111
0.24575,-0.014,-0.00425,-0.00184625,-0.00065625,-0.000122000005,1741884994.309173
0.24675,-0.0125,-0.00225,-0.00169375,-0.001068,9.15e-05,1741884994.323456
0.248,-0.0115,0.00025,-0.0018005001,-0.0012970001,0.00048825,1741884994.337966
0.249,-0.0095,0.00375,-0.0017395001,-0.00115975,0.00045775,1741884994.352424
0.2475,-0.01025,0.00275,-0.00177,-0.00064075,4.575e-05,1741884994.3686311
0.2465,-0.01275,0.00075,-0.0017852499,-0.000473,-9.15e-05,1741884994.381516
0.2465,-0.01325,0.0005,-0.0016785001,-0.000412,0.0,1741884994.3959732
0.24325,-0.01325,-0.00175,-0.0015565,-0.00059500005,0.00024425,1741884994.410743
0.241,-0.01425,-0.0035,-0.00143425,-0.0012055,0.00062550005,1741884994.425353
0.24025,-0.0155,-0.00425,-0.0012970001,-0.00314325,0.0014037499,1741884994.440937
0.24275,-0.01375,-0.0015,-0.00112925,-0.0038605002,0.001587,1741884994.454549
0.244,-0.0125,0.00125,-0.00071725,-0.0049285004,0.00149525,1741884994.468999
0.244,-0.011,0.00625,-0.00062550005,-0.0051880004,0.00125125,1741884994.4835641
0.245,-0.00875,0.00875,-7.625e-05,-0.0049285004,0.00054925,1741884994.498343
0.2465,-0.0045,0.0135,3.0500001e-05,-0.0044555003,0.0003205,1741884994.5126138
0.24625,-0.00625,0.0135,0.00010675,-0.0036162501,0.00061025,1741884994.528769
0.2475,-0.01,0.012,0.000229,-0.0034637498,0.00090025004,1741884994.541395
0.247,-0.00975,0.0115,0.00029,-0.00325,0.0010375,1741884994.555743
0.244,-0.0105,0.0085,0.00042725,-0.0029145,0.00090025004,1741884994.5700889
0.24275,-0.01075,0.00725,0.00068675,-0.00308225,0.00083925005,1741884994.584502
0.2435,-0.00975,0.00825,0.0016175,-0.00402825,0.00071725,1741884994.598924
0.246,-0.00525,0.01675,0.00201425,-0.004303,0.00054925,1741884994.613343
0.2455,-0.004,0.02,0.0019225,-0.00411975,0.0003205,1741884994.6287801
0.24675,-0.0055,0.02175,0.00175475,-0.00399775,0.000473,1741884994.641998
0.247,-0.00775,0.021,0.00169375,-0.0037079998,0.0009155,1741884994.65796
0.2465,-0.00875,0.0205,0.0016632499,-0.00352475,0.00096125,1741884994.67079
0.24575,-0.00825,0.0205,0.00169375,-0.0033570002,0.000885,1741884994.685214
0.24525,-0.008,0.02025,0.001709,-0.00328075,0.00086975005,1741884994.699593
0.247,-0.00575,0.02225,0.0016632499,-0.003296,0.001007,1741884994.714019
0.2485,-0.004,0.0245,0.00184625,-0.0029755002,0.00071725,1741884994.72868
0.2475,-0.003,0.027,0.00225825,-0.0027465,0.000183,1741884994.742934
0.2465,-0.00325,0.02725,0.0034637498,-0.00267025,-0.000763,1741884994.758682
0.247,-0.00475,0.03,0.0041044997,-0.0027465,-0.001068,1741884994.7720351
0.24725,-0.00625,0.031,0.0046845004,-0.00270075,-0.00131225,1741884994.7865129
0.2485,-0.00825,0.03175,0.0057677496,-0.00238025,-0.001953,1741884994.801097
0.2485,-0.00825,0.0305,0.0062865,-0.0020752498,-0.00239575,1741884994.815628
0.24775,-0.0085,0.0285,0.00712575,-0.00149525,-0.0030975002,1741884994.830123
0.2485,-0.0075,0.0275,0.0072937496,-0.0013275,-0.00328075,1741884994.844631
0.25,-0.00575,0.03,0.00788875,-0.00093075,-0.00396725,1741884994.8591418
0.25125,-0.00675,0.03425,0.008484,-0.000534,-0.004486,1741884994.873634
0.2505,-0.01,0.032,0.009613,-0.0003205,-0.0049590003,1741884994.889533
0.24675,-0.01875,0.032,0.00688175,-0.00054925,-0.0047607496,1741884994.902739
0.24625,-0.0165,0.0165,0.006363,-0.00125125,-0.0045625,1741884994.91835
0.24525,-0.01675,0.02525,0.0093995,-0.001007,-0.0047150003,1741884994.931733
0.2455,-0.017,0.02575,0.010559,-0.00042725,-0.0048979996,1741884994.946211
0.24625,-0.0165,0.023,0.010253999,-0.00024425,-0.00535575,1741884994.960716
0.24675,-0.02175,0.02225,0.009887749,-0.00071725,-0.0054932497,1741884994.975345
0.247,-0.027,0.025,0.0077667497,-0.00099175,-0.00520325,1741884994.990228
0.24375,-0.032,0.0315,0.0065917503,-0.00039675,-0.0049895,1741884995.004121
0.24275,-0.035,0.03075,0.0047150003,0.00137325,-0.0045777503,1741884995.018547
0.24525,-0.033,0.02475,0.0032347501,0.001831,-0.003891,1741884995.03291
0.246,-0.033,0.0215,-0.000946,0.0016632499,-0.001831,1741884995.048994
0.243,-0.0425,0.01975,-0.0029449998,0.0014037499,-0.00042725,1741884995.0619562
0.24175,-0.04075,0.021,-0.0043335,0.0012817499,0.00086975005,1741884995.0763211
0.24125,-0.03525,0.02125,-0.0048217503,0.0015105,0.00146475,1741884995.090702
0.23925,-0.0325,0.02,-0.0045625,0.00154125,0.00105275,1741884995.1051068
0.23925,-0.03225,0.01925,-0.0052947504,0.001419,0.00059500005,1741884995.119526
0.241,-0.0305,0.01975,-0.0061645,0.0012817499,0.00068675,1741884995.13391
0.24075,-0.03125,0.021,-0.00668325,0.00071725,0.001236,1741884995.149003
0.241,-0.02875,0.022,-0.0059967497,0.0004425,0.00148,1741884995.1627252
0.24175,-0.02575,0.02325,-0.0049895,0.000183,0.0013885,1741884995.1788008
0.243,-0.02325,0.02375,-0.0031889998,-7.625e-05,0.00071725,1741884995.191635
0.24725,-0.02075,0.02475,-0.0028229998,7.625e-05,0.0004425,1741884995.206136
0.249,-0.0215,0.0265,-0.00292975,0.00057975,0.0002595,1741884995.2205172
0.24975,-0.024,0.02725,-0.0029755002,0.0007325,0.00029,1741884995.2349498
0.24925,-0.02525,0.027,-0.0026245,0.0008545,0.00013725001,1741884995.249323
0.25075,-0.027,0.02725,-0.0025025,0.00105275,0.00013725001,1741884995.2636921
0.252,-0.0265,0.02775,-0.0023345,0.0016785001,0.000229,1741884995.278924
0.25475,-0.0245,0.0265,-0.0020599999,0.0019685,0.000122000005,1741884995.292532
0.25475,-0.025,0.02525,-0.001709,0.00216675,-0.00013725001,1741884995.308651
0.25375,-0.02675,0.024,-0.00125125,0.0022277501,-0.00051875,1741884995.321514
0.252,-0.02725,0.023,-0.0012665,0.0021972498,-0.0004425,1741884995.336044
0.2515,-0.02425,0.024,-0.00154125,0.0023345,-6.1000002e-05,1741884995.350504
0.25025,-0.0205,0.026,-0.00169375,0.0026245,9.15e-05,1741884995.364952
0.24775,-0.02025,0.02425,-0.00163275,0.003128,0.00019825,1741884995.379317
0.242,-0.01625,0.01875,-0.00149525,0.00314325,3.0500001e-05,1741884995.3936791
0.23975,-0.014,0.01725,-0.0013427499,0.00263975,-0.00068675,1741884995.4088562
0.23475,-0.01225,0.0155,-0.001587,0.0023039998,-0.00074775,1741884995.422622
0.233,-0.01325,0.01375,-0.00216675,0.001953,-0.00039675,1741884995.437114
0.23025,-0.0165,0.012,-0.0028074998,0.00119025,-0.000122000005,1741884995.4516811
0.22625,-0.02125,0.0095,-0.0024872501,0.000763,-0.00042725,1741884995.466187
0.227,-0.02225,0.009,-0.0018005001,-0.00024425,-0.0012665,1741884995.480802
0.234,-0.02725,0.01025,-0.00169375,-0.00068675,-0.001587,1741884995.495462
0.2365,-0.03125,0.012,-0.00119025,-0.00108325,-0.0020599999,1741884995.510017
0.2415,-0.0355,0.0185,-0.001068,-0.00099175,-0.00204475,1741884995.5245178
0.24475,-0.03525,0.02075,-0.0013427499,-0.000412,-0.0014495,1741884995.53949
0.25175,-0.03325,0.02175,-0.00163275,-4.575e-05,-0.001068,1741884995.5536902
0.25425,-0.033,0.02175,-0.0017852499,0.00030525,-0.00086975005,1741884995.5681658
0.25425,-0.0355,0.0205,-0.00119025,0.00067150005,-0.0012665,1741884995.58262
0.254,-0.0375,0.02025,-0.00071725,0.0007325,-0.0015105,1741884995.598824
0.2535,-0.0395,0.02,-0.00036625,0.0007935,-0.001068,1741884995.611609
0.2525,-0.0405,0.01975,-0.0005035,0.000824,-0.0003815,1741884995.626047
0.25125,-0.03875,0.01975,-0.000763,0.000885,0.000885,1741884995.640531
0.2505,-0.03425,0.01925,-0.000946,0.0010375,0.00115975,1741884995.654965
0.25225,-0.03375,0.01975,-0.0009765,0.00146475,0.001068,1741884995.669317
0.251,-0.0355,0.0195,-0.00065625,0.00163275,0.000885,1741884995.683695
0.2485,-0.0375,0.01875,-0.00027475,0.0017395001,0.000763,1741884995.698466
0.2465,-0.03925,0.01825,0.00027475,0.001831,0.00083925005,1741884995.712495
0.242,-0.04,0.01725,0.000473,0.00187675,0.00108325,1741884995.728989
0.239,-0.03925,0.01475,0.000946,0.00169375,0.001953,1741884995.74124
0.23325,-0.033,0.0105,0.0012207499,0.0014037499,0.002411,1741884995.755542
0.2295,-0.02775,0.00875,0.001526,0.00061025,0.0031889998,1741884995.769957
0.225,-0.0205,0.0055,0.00148,0.00013725001,0.0034484998,1741884995.784232
0.22525,-0.01675,0.0045,0.00137325,-0.00029,0.00358575,1741884995.798872
0.2235,-0.00925,0.004,0.001587,-0.00080875,0.0033875,1741884995.81303
0.2235,-0.008,0.00225,0.001175,-0.001007,0.0031889998,1741884995.8283882
0.2255,-0.008,0.001,9.15e-05,-0.0017852499,0.0028687501,1741884995.841752
0.23025,-0.00875,0.00325,1.5250001e-05,-0.002365,0.0025787498,1741884995.8561401
0.233,-0.00925,0.0055,-0.0001525,-0.003662,0.00148,1741884995.8705668
0.24375,-0.01325,0.01075,-0.00062550005,-0.004074,0.00061025,1741884995.885012
0.25325,-0.01675,0.01575,-0.001114,-0.00399775,-0.000946,1741884995.8996348
0.27125,-0.0265,0.0285,-0.0003815,-0.0036315,-0.0012817499,1741884995.914242
0.2745,-0.0295,0.03425,0.00074775,-0.003006,-0.00137325,1741884995.9289238
0.27575,-0.029,0.039,0.0023345,-0.0012970001,-0.00148,1741884995.9432352
0.27775,-0.026,0.0475,0.002243,-0.000183,-0.0014495,1741884995.9588852
0.27725,-0.02725,0.04875,0.000946,0.002411,-0.00071725,1741884995.972194
0.272,-0.03325,0.0425,0.00074775,0.0037537501,-0.00027475,1741884995.986729
0.26625,-0.0315,0.03525,0.00160225,0.0058287503,-0.000122000005,1741884996.0010931
0.253,-0.0205,0.019,0.0018615,0.006302,-0.00042725,1741884996.015525
0.24775,-0.0165,0.013,0.001831,0.006302,-0.00080875,1741884996.030142
0.2365,-0.01225,0.004,0.0017242499,0.0059815003,-0.00070200005,1741884996.0445209
0.23275,-0.01075,0.001,0.0014037499,0.00546275,-0.00045775,1741884996.058908
0.22975,-0.0085,-0.0015,0.00059500005,0.00413525,-0.00027475,1741884996.073418
0.22375,-0.00725,-0.0055,0.00035100002,0.0034790002,-0.00035100002,1741884996.0895638
0.222,-0.009,-0.00675,-0.0003815,0.0022277501,-0.00033575002,1741884996.102407
0.2205,-0.013,-0.0075,-0.00068675,0.0015105,-0.00029,1741884996.118232
0.222,-0.01175,-0.0065,-0.00108325,-0.0002135,-0.00024425,1741884996.13169
0.23025,-0.01075,-0.001,-0.0012817499,-0.00090025004,-0.000412,1741884996.146425
0.23375,-0.015,0.00125,-0.001709,-0.0017395001,-0.0008545,1741884996.161043
0.239,-0.026,0.0055,-0.0017852499,-0.0020752498,-0.0009765,1741884996.175733
0.24175,-0.02875,0.009,-0.00163275,-0.00279225,-0.00108325,1741884996.190186
0.247,-0.034,0.016,-0.001587,-0.0030365,-0.001007,1741884996.204833
0.2495,-0.03575,0.019,-0.00157175,-0.0030365,-0.00080875,1741884996.2193952
0.252,-0.03575,0.02175,-0.0013885,-0.00245675,-0.00030525,1741884996.2339892
0.25425,-0.03575,0.025,-0.0012970001,-0.0020905002,0.0,1741884996.248967
0.255,-0.03575,0.02475,-0.001007,-0.0012055,0.00010675,1741884996.2630231
0.255,-0.03775,0.0215,-0.00062550005,-0.00074775,-7.625e-05,1741884996.278812
0.25375,-0.03825,0.019,0.0003205,-0.0002595,-0.000122000005,1741884996.29213
0.25275,-0.03575,0.01625,0.00062550005,-0.0002595,0.0001525,1741884996.306505
0.2545,-0.033,0.0165,0.0009155,-0.00013725001,0.00061025,1741884996.320907
0.25675,-0.026,0.01625,0.001068,4.575e-05,0.00059500005,1741884996.335196
0.25625,-0.024,0.01575,0.0011445,0.0002595,0.00048825,1741884996.349459
0.25575,-0.023,0.01575,0.000885,0.00070200005,0.00039675,1741884996.3639412
0.253,-0.022,0.0175,0.00074775,0.00099175,0.00033575002,1741884996.378392
0.25,-0.02225,0.017,0.00083925005,0.0015565,-7.625e-05,1741884996.3928928
0.24275,-0.02575,0.01325,0.000946,0.00169375,-0.000229,1741884996.4085498
0.241,-0.02675,0.01175,0.001114,0.001648,-0.0002135,1741884996.421941
0.2385,-0.0245,0.00875,0.00108325,0.00157175,-4.575e-05,1741884996.4362922
0.23725,-0.0225,0.00675,0.000763,0.00131225,0.00035100002,1741884996.45059
0.2375,-0.01775,0.004,0.00061025,0.001114,0.00042725,1741884996.46492
0.23775,-0.015,0.004,0.00048825,0.00090025004,0.0003815,1741884996.47922
0.23825,-0.0135,0.005,6.1000002e-05,0.00054925,0.000183,1741884996.4934988
0.24025,-0.0135,0.008,-0.0001525,0.0004425,9.15e-05,1741884996.5086179
0.24075,-0.0135,0.008,-0.00024425,0.00016775,-9.15e-05,1741884996.522354
0.2425,-0.01625,0.0075,-0.00027475,0.0,-0.0002135,1741884996.5368829
0.24325,-0.02,0.00775,-0.00039675,-0.0002595,-0.000473,1741884996.5515132
0.244,-0.02625,0.00875,-0.00042725,-0.00036625,-0.00051875,1741884996.566102
0.245,-0.02775,0.01075,-0.00051875,-0.00054925,-0.00036625,1741884996.580686
0.2485,-0.028,0.0145,-0.0005035,-0.00057975,-0.000229,1741884996.595219
0.24975,-0.0275,0.01525,-0.0003815,-0.00051875,-0.0001525,1741884996.609674
0.2505,-0.02725,0.0155,-0.00010675,-0.000183,-0.0001525,1741884996.62421
0.25025,-0.02725,0.01425,-3.0500001e-05,3.0500001e-05,-0.00016775,1741884996.63923
0.24925,-0.02675,0.01325,-3.0500001e-05,0.00039675,-9.15e-05,1741884996.653208
0.24775,-0.0235,0.01125,-6.1000002e-05,0.0005035,-3.0500001e-05,1741884996.6679392
0.24675,-0.02275,0.01,0.00010675,0.000473,6.1000002e-05,1741884996.682011
0.24475,-0.024,0.007,0.0001525,0.00036625,0.00019825,1741884996.696505
0.24425,-0.02475,0.006,-1.5250001e-05,0.000122000005,0.00051875,1741884996.710887
0.24575,-0.0245,0.005,1.5250001e-05,-1.5250001e-05,0.00051875,1741884996.725301
0.24675,-0.02475,0.00525,0.00013725001,-0.0001525,0.00039675,1741884996.739617
0.2475,-0.0245,0.00725,0.000229,-0.00027475,0.00030525,1741884996.753997
0.249,-0.02275,0.014,6.1000002e-05,-0.0001525,0.0004425,1741884996.7682712
0.24875,-0.022,0.0155,-0.00016775,0.000412,0.00062550005,1741884996.782652
0.2435,-0.021,0.01275,-0.00010675,0.00062550005,0.000534,1741884996.798618
0.24025,-0.021,0.0105,0.00019825,0.0005035,0.000412,1741884996.811506
0.235,-0.0205,0.0105,0.00059500005,0.000229,0.00048825,1741884996.825821
0.2325,-0.02,0.01175,0.00096125,-6.1000002e-05,0.0005035,1741884996.840292
0.23025,-0.01975,0.0115,0.00029,-0.00057975,0.000183,1741884996.8546329
0.22675,-0.01925,0.00725,3.0500001e-05,-0.00090025004,4.575e-05,1741884996.8689861
0.2265,-0.01875,0.006,0.00016775,-0.0017852499,0.00024425,1741884996.8834891
0.22875,-0.0165,0.00525,7.625e-05,-0.0022277501,0.000473,1741884996.897959
0.232,-0.014,0.0055,-0.00035100002,-0.0028229998,0.00059500005,1741884996.912333
0.2415,-0.013,0.00675,-0.00067150005,-0.0029755002,0.00051875,1741884996.928736
0.24825,-0.01375,0.009,-0.001236,-0.00302125,0.00024425,1741884996.94206
0.25875,-0.01575,0.0165,-0.0012665,-0.0028687501,-0.00010675,1741884996.956278
0.26225,-0.01875,0.01975,-0.0012055,-0.00270075,-0.000534,1741884996.970897
0.26525,-0.0225,0.023,-0.00105275,-0.0021819999,-0.00112925,1741884996.985483
0.26775,-0.03075,0.028,-0.001007,-0.00177,-0.0012970001,1741884997.000063
0.267,-0.03525,0.02925,-0.00096125,-0.00077825,-0.00119025,1741884997.014722
0.2635,-0.04025,0.031,-0.00083925005,-0.0003205,-0.0009765,1741884997.02932
0.2615,-0.04075,0.03,-0.0003205,0.00061025,-0.0004425,1741884997.043998
0.25525,-0.038,0.02475,-1.5250001e-05,0.00105275,-0.0002135,1741884997.058472
0.25225,-0.034,0.021,0.0004425,0.0016785001,0.00024425,1741884997.0728362
0.2465,-0.0265,0.01375,0.000534,0.00187675,0.0003815,1741884997.089078
0.243,-0.02325,0.0095,0.00062550005,0.00198375,0.000412,1741884997.101341
0.24025,-0.0205,0.00625,0.00067150005,0.0017852499,0.00030525,1741884997.115705
0.238,-0.019,0.004,0.00057975,0.00149525,0.0003205,1741884997.1299222
0.238,-0.0185,0.005,0.00054925,0.00086975005,0.00027475,1741884997.144208
0.238,-0.019,0.00875,0.00064075,0.00059500005,0.00019825,1741884997.1588979
0.23775,-0.02075,0.01025,0.000763,0.00016775,9.15e-05,1741884997.172825
0.2395,-0.0215,0.011,0.00071725,3.0500001e-05,0.00013725001,1741884997.1891031
0.2405,-0.02125,0.01075,0.00061025,-4.575e-05,0.00019825,1741884997.2015538
0.24175,-0.023,0.01,0.00061025,-0.0003205,0.0002135,1741884997.216038
0.2445,-0.029,0.01075,0.00068675,-0.000534,0.00016775,1741884997.230423
0.2465,-0.0305,0.01375,0.00080875,-0.00080875,0.0001525,1741884997.244798
0.2515,-0.0295,0.02025,0.000824,-0.00074775,0.00024425,1741884997.259237
0.2535,-0.0285,0.02125,0.00080875,-0.00019825,0.00054925,1741884997.273668
0.25375,-0.02725,0.02,0.000885,0.00013725001,0.00061025,1741884997.2891068
0.253,-0.02625,0.019,0.00109875,0.00061025,0.00059500005,1741884997.302552
0.25275,-0.024,0.01925,0.001114,0.00070200005,0.00062550005,1741884997.317844
0.253,-0.0225,0.02,0.00115975,0.000824,0.00070200005,1741884997.331274
0.25275,-0.0205,0.02025,0.0014037499,0.0012207499,0.000763,1741884997.345684
0.24925,-0.0165,0.01725,0.00137325,0.0014037499,0.00067150005,1741884997.3610618
0.2475,-0.0145,0.01525,0.00105275,0.00169375,0.00070200005,1741884997.374401
0.24325,-0.01025,0.0105,0.0009765,0.00175475,0.00065625,1741884997.389515
0.241,-0.0085,0.0075,0.000763,0.0016632499,0.0002135,1741884997.402889
0.238,-0.00825,0.0045,0.00042725,0.00148,6.1000002e-05,1741884997.417917
0.23825,-0.0105,0.00525,-1.5250001e-05,0.0012207499,4.575e-05,1741884997.4315891
0.23875,-0.013,0.007,-0.0003205,0.00064075,1.5250001e-05,1741884997.4459672
0.23875,-0.01625,0.0115,-0.000122000005,0.00039675,-0.00019825,1741884997.460476
0.239,-0.018,0.01375,-7.625e-05,0.000122000005,-0.00033575002,1741884997.474967
0.2385,-0.01975,0.016,-0.00027475,0.0002135,-0.00013725001,1741884997.489471
0.23725,-0.01925,0.0145,-0.00051875,0.0004425,6.1000002e-05,1741884997.503906
0.23625,-0.0185,0.007,-0.00048825,0.00035100002,-3.0500001e-05,1741884997.518386
0.238,-0.01875,0.00425,-0.00048825,-0.00024425,-0.0002595,1741884997.5329769
0.2435,-0.02125,0.00475,-0.0005645,-0.000534,-0.0002595,1741884997.5484102
0.2465,-0.0225,0.0075,-0.00059500005,-0.00074775,-0.000229,1741884997.562318
0.24925,-0.023,0.01075,-0.00054925,-0.00086975005,-0.00019825,1741884997.578571
0.2565,-0.02525,0.01625,-0.00059500005,-0.00071725,-0.00016775,1741884997.591382
0.26025,-0.02625,0.018,-0.00035100002,-6.1000002e-05,-0.0003205,1741884997.605966
0.26325,-0.02775,0.02225,-0.00010675,0.00036625,-0.0005035,1741884997.620554
0.2635,-0.0295,0.02375,0.0002135,0.0014495,-0.0007935,1741884997.634953
0.262,-0.03275,0.0225,0.00029,0.0020905002,-0.00083925005,1741884997.64936
0.26,-0.0335,0.0195,0.0003815,0.003296,-0.00070200005,1741884997.663811
0.257,-0.03175,0.01375,0.00039675,0.00367725,-0.00051875,1741884997.678762
0.256,-0.0295,0.01225,0.00042725,0.00402825,-0.00036625,1741884997.6927109
0.25525,-0.0265,0.01125,0.00035100002,0.0046845004,-0.00036625,1741884997.7084742
0.2525,-0.022,0.00925,0.00027475,0.0050202496,-0.00042725,1741884997.72145
0.24875,-0.0205,0.00675,0.00039675,0.0055085,-0.0005645,1741884997.7358952
0.237,-0.01725,-0.001,0.00039675,0.0054475004,-0.000473,1741884997.750367
0.2295,-0.0165,-0.00625,0.00013725001,0.0042115003,0.000412,1741884997.764808
0.21375,-0.018,-0.016,1.5250001e-05,0.0031889998,0.00090025004,1741884997.779205
0.207,-0.0185,-0.019,4.575e-05,0.00074775,0.00157175,1741884997.7936058
0.19975,-0.01725,-0.01875,4.575e-05,-0.00068675,0.0020295,1741884997.808794
0.19975,-0.016,-0.0165,3.0500001e-05,-0.0021819999,0.0025787498,1741884997.822551
0.2015,-0.0145,-0.014,0.00016775,-0.0045012496,0.0030669998,1741884997.8390248
0.21075,-0.01125,-0.0105,0.00030525,-0.0051880004,0.00279225,1741884997.851569
0.218,-0.0085,-0.01125,-1.5250001e-05,-0.0060882503,0.0021972498,1741884997.86608
0.24075,-0.007,-0.013,-0.00064075,-0.0065307496,0.0020752498,1741884997.880647
0.255,-0.009,-0.00825,-0.001709,-0.0073242504,0.0014495,1741884997.8952022
0.285,-0.01375,0.019,-0.0016632499,-0.0073547503,0.00062550005,1741884997.9096498
0.299,-0.01775,0.03625,-0.0007935,-0.0058287503,-0.00154125,1741884997.924198
0.32125,-0.031,0.06475,-0.00045775,-0.0041044997,-0.0022125002,1741884997.939104
0.3245,-0.038,0.07275,-0.00029,-0.0017395001,-0.00238025,1741884997.953386
0.31025,-0.046,0.06625,-0.00039675,0.0037537501,-0.00177,1741884997.9679139
