acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
-0.129,0.924,-0.13675,0.01301575,-0.07707225,-0.007187,1741884473.7873762
0.13125,0.916,-0.02275,-0.0038757501,-0.086547755,-0.007431,1741884473.8020658
0.32675,0.86725,0.0985,-0.0196685,-0.0941925,-0.011688249,1741884473.816571
0.5285,0.78525,0.213,-0.045287997,-0.0953065,-0.036193747,1741884473.830973
0.80525,0.44375,0.38325,-0.057541,-0.08187875,-0.04306025,1741884473.845483
0.84975,0.26425,0.40775,-0.075882,-0.039993253,-0.035019003,1741884473.860014
0.8275,0.0245,0.411,-0.080078006,-0.02197275,-0.0263825,1741884473.874551
0.81125,-0.07,0.37925,-0.07598875,-0.01121525,-0.029358,1741884473.889206
0.80825,-0.31475,0.32575,-0.069686994,-0.008545,-0.0381775,1741884473.903757
0.81125,-0.415,0.3245,-0.0577545,0.008026,-0.0386505,1741884473.920005
0.7415,-0.50075,0.33375,-0.05245975,0.0221405,-0.034073003,1741884473.9327931
0.6515,-0.5175,0.31375,-0.039566003,0.04739375,-0.03082275,1741884473.949992
0.40275,-0.55675,0.23925,-0.031128,0.054947,-0.03288275,1741884473.961798
0.273,-0.57475,0.20825,-0.021576,0.0596465,-0.034484748,1741884473.976287
0.161,-0.57325,0.18225,-0.0029145,0.06393425,-0.02772525,1741884473.992799
0.01725,-0.5005,0.13325,0.004776,0.06365975,-0.0219575,1741884474.005167
-0.028,-0.45475,0.11175,0.016693002,0.05805975,-0.014785751,1741884474.020105
-0.0915,-0.3935,0.13025,0.021927001,0.053482,-0.013351499,1741884474.034282
-0.13475,-0.3885,0.14375,0.033966,0.04451,-0.012039251,1741884474.049984
-0.24975,-0.36775,0.16725,0.04068,0.040039003,-0.008606,1741884474.063518
-0.306,-0.31625,0.16475,0.053527746,0.027679501,0.0032347501,1741884474.080002
-0.35925,-0.1425,0.13225,0.05818175,0.018310498,0.00991825,1741884474.093173
