acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
-0.25125,0.01375,-0.01525,-0.00035100002,-0.00027475,0.00039675,1741812238.4155142
-0.251,0.01425,-0.014,-0.0003815,-0.000229,0.00030525,1741812238.4294899
-0.2505,0.0135,-0.01325,-0.000412,1.5250001e-05,7.625e-05,1741812238.4456708
-0.25,0.013,-0.01425,-0.00019825,0.00016775,-1.5250001e-05,1741812238.4588
-0.24975,0.01375,-0.01525,0.0,0.00036625,-1.5250001e-05,1741812238.473335
-0.24875,0.0135,-0.017,0.0001525,0.00039675,-1.5250001e-05,1741812238.487933
-0.24875,0.01375,-0.0185,0.000183,0.00019825,9.15e-05,1741812238.502454
-0.25,0.016,-0.01925,0.0,-3.0500001e-05,9.15e-05,1741812238.517078
-0.25,0.0165,-0.01825,0.0002135,-0.00039675,-0.0003205,1741812238.531724
-0.24925,0.0155,-0.01475,0.0003205,-0.00042725,-0.00051875,1741812238.546477
-0.249,0.014,-0.01325,0.00010675,-0.000183,-0.000534,1741812238.561225
-0.249,0.01125,-0.0135,-6.1000002e-05,6.1000002e-05,-0.00042725,1741812238.5759418
-0.2495,0.011,-0.015,6.1000002e-05,0.000412,-0.0002595,1741812238.590823
-0.25,0.01275,-0.01825,0.00024425,0.0004425,-0.00019825,1741812238.6053839
-0.25025,0.01375,-0.019,0.0005645,0.00029,-0.00030525,1741812238.620123
-0.25,0.0145,-0.019,0.00059500005,0.000183,-0.000412,1741812238.635494
-0.25075,0.01475,-0.019,0.00035100002,4.575e-05,-0.00048825,1741812238.649483
-0.25025,0.01275,-0.018,-0.0002595,-0.00029,-0.000534,1741812238.6654458
-0.24925,0.01075,-0.01725,-0.00035100002,-0.0003815,-0.00048825,1741812238.6790311
-0.2485,0.00675,-0.01425,-1.5250001e-05,-0.00030525,-0.000183,1741812238.693815
-0.249,0.0065,-0.01375,0.00036625,-0.00013725001,4.575e-05,1741812238.708698
-0.2505,0.009,-0.01475,0.001007,0.00024425,0.0004425,1741812238.723198
-0.2545,0.0175,-0.01975,0.001114,0.00027475,0.00045775,1741812238.737798
-0.255,0.0195,-0.02225,0.000534,-0.000122000005,3.0500001e-05,1741812238.7525141
-0.2525,0.01625,-0.0205,6.1000002e-05,-0.00045775,-0.000229,1741812238.767134
-0.2505,0.013,-0.01675,-0.0005035,-0.00080875,-0.00051875,1741812238.781932
-0.2475,0.00925,-0.0105,-0.00057975,-0.00067150005,-0.00045775,1741812238.796696
-0.247,0.0085,-0.00925,-0.00067150005,0.0,-1.5250001e-05,1741812238.811341
-0.2485,0.0095,-0.0105,-0.00051875,0.000412,0.0002135,1741812238.8260748
-0.2505,0.012,-0.01375,0.0002135,0.00086975005,0.00045775,1741812238.840578
-0.25325,0.01875,-0.02125,0.00035100002,0.000763,0.00036625,1741812238.855419
