acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.0055,-0.0005,0.25075,0.0,-0.00013725001,-4.575e-05,1741812282.867764
0.00575,-0.0,0.2505,-0.00029,-6.1000002e-05,-4.575e-05,1741812282.882179
0.00575,0.0005,0.25025,-0.000229,-4.575e-05,-6.1000002e-05,1741812282.896693
0.00525,0.00025,0.25025,-0.00013725001,-1.5250001e-05,-6.1000002e-05,1741812282.9112551
0.00525,0.00025,0.2505,4.575e-05,0.0,-6.1000002e-05,1741812282.925664
0.00575,0.00025,0.25075,0.00019825,-3.0500001e-05,-6.1000002e-05,1741812282.9414332
0.00575,-0.00025,0.2505,0.00030525,-4.575e-05,-4.575e-05,1741812282.955682
0.0055,-0.00025,0.25075,0.000229,-1.5250001e-05,-6.1000002e-05,1741812282.9696698
0.0055,-0.0005,0.2505,-3.0500001e-05,3.0500001e-05,-7.625e-05,1741812282.985646
0.00575,-0.00025,0.2505,-0.000122000005,1.5250001e-05,-9.15e-05,1741812282.9989781
0.00575,-0.0,0.2505,-0.000122000005,1.5250001e-05,-7.625e-05,1741812283.015799
0.00525,-0.00025,0.25025,-6.1000002e-05,1.5250001e-05,-7.625e-05,1741812283.028172
0.0055,-0.0,0.25,0.00033575002,1.5250001e-05,-0.00013725001,1741812283.0426261
0.006,-0.0005,0.25075,0.0004425,4.575e-05,-0.0001525,1741812283.057176
0.006,-0.00075,0.2505,0.00013725001,9.15e-05,-0.00010675,1741812283.0716538
0.00575,-0.0005,0.2505,7.625e-05,7.625e-05,-0.00010675,1741812283.086263
0.00575,-0.00025,0.25075,9.15e-05,4.575e-05,-0.00016775,1741812283.1007512
0.0055,-0.00025,0.2505,0.000183,1.5250001e-05,-0.00029,1741812283.115309
0.00575,-0.001,0.25025,0.0002135,0.0,-0.00042725,1741812283.129662
0.00575,-0.00125,0.25025,-0.000183,4.575e-05,-0.000473,1741812283.1453938
0.00575,-0.00075,0.2505,-0.0002595,1.5250001e-05,-0.000412,1741812283.158792
0.00625,-0.0005,0.25075,-0.000122000005,-4.575e-05,-0.00035100002,1741812283.173507
0.006,-0.0005,0.2505,-4.575e-05,-6.1000002e-05,-0.00029,1741812283.188176
0.006,-0.0005,0.2505,0.00013725001,-7.625e-05,-0.000229,1741812283.202803
0.0055,-0.0005,0.2505,0.0,-4.575e-05,-0.0001525,1741812283.217377
0.00575,-0.0005,0.2505,-0.00016775,-1.5250001e-05,-1.5250001e-05,1741812283.23208
0.00575,-0.00075,0.25025,-0.0001525,-1.5250001e-05,0.0,1741812283.246656
0.00575,-0.0005,0.25025,-0.0001525,1.5250001e-05,-1.5250001e-05,1741812283.261208
0.00575,-0.00025,0.25075,-7.625e-05,3.0500001e-05,-4.575e-05,1741812283.2759721
0.00575,-0.00075,0.251,-1.5250001e-05,0.0,-3.0500001e-05,1741812283.290535
0.0055,-0.00025,0.2505,-0.00010675,-1.5250001e-05,-1.5250001e-05,1741812283.305279
0.0055,-0.00025,0.2505,-0.000122000005,-7.625e-05,1.5250001e-05,1741812283.319675
0.0055,-0.00025,0.2505,-0.00010675,-7.625e-05,0.0,1741812283.3356092
0.00575,-0.0005,0.2505,-0.00010675,-7.625e-05,0.0,1741812283.3488462
0.00575,-0.0005,0.2505,-0.000122000005,-3.0500001e-05,1.5250001e-05,1741812283.365141
0.0055,-0.00025,0.25075,-0.000122000005,-1.5250001e-05,0.0,1741812283.377957
0.0055,-0.0005,0.25075,-0.00024425,1.5250001e-05,-4.575e-05,1741812283.392589
0.00575,-0.0005,0.2505,-0.0003205,1.5250001e-05,-6.1000002e-05,1741812283.4093912
0.006,-0.0,0.25075,-0.00029,0.0,-6.1000002e-05,1741812283.423913
0.00575,0.0,0.25075,-0.00024425,0.0,-3.0500001e-05,1741812283.438331
0.0055,0.0,0.25025,-0.0002135,-1.5250001e-05,-3.0500001e-05,1741812283.453008
0.0055,0.00025,0.25025,-0.000183,-1.5250001e-05,-4.575e-05,1741812283.467641
0.00575,0.0,0.2505,-0.0001525,-1.5250001e-05,-4.575e-05,1741812283.482309
0.0055,-0.0,0.25025,-0.00013725001,-1.5250001e-05,-4.575e-05,1741812283.497045
0.0055,-0.0,0.25025,-0.00013725001,-4.575e-05,-6.1000002e-05,1741812283.511541
0.0055,-0.00025,0.2505,-0.0001525,-3.0500001e-05,-4.575e-05,1741812283.5263429
0.0055,-0.0,0.25075,-0.00019825,0.0,-1.5250001e-05,1741812283.541116
0.0055,0.0,0.2505,-0.00016775,0.0,-1.5250001e-05,1741812283.5555599
0.00575,0.0,0.2505,-9.15e-05,-1.5250001e-05,-1.5250001e-05,1741812283.5702631
0.00575,0.0,0.2505,-6.1000002e-05,-1.5250001e-05,0.0,1741812283.585602
0.00575,0.0,0.2505,0.0,0.0,0.0,1741812283.599211
0.00575,0.0,0.25025,1.5250001e-05,0.0,0.0,1741812283.6133661
0.0055,0.0,0.25025,-1.5250001e-05,0.0,0.0,1741812283.627776
0.0055,0.00025,0.2505,-1.5250001e-05,0.0,0.0,1741812283.642184
0.00575,0.0,0.25025,0.0,-1.5250001e-05,1.5250001e-05,1741812283.656567
0.0055,0.00025,0.25025,7.625e-05,-1.5250001e-05,3.0500001e-05,1741812283.670965
0.00575,-0.0,0.2505,0.00019825,-1.5250001e-05,1.5250001e-05,1741812283.6856918
0.0055,-0.00025,0.2505,9.15e-05,1.5250001e-05,-1.5250001e-05,1741812283.700096
0.0055,-0.00025,0.2505,1.5250001e-05,3.0500001e-05,-1.5250001e-05,1741812283.715722
0.00575,-0.00025,0.25025,-4.575e-05,4.575e-05,-4.575e-05,1741812283.729488
0.0055,0.0,0.25025,-4.575e-05,4.575e-05,-3.0500001e-05,1741812283.743983
0.0055,0.0,0.25025,3.0500001e-05,3.0500001e-05,-3.0500001e-05,1741812283.758414
0.006,-0.0005,0.2505,7.625e-05,4.575e-05,-3.0500001e-05,1741812283.772903
0.006,-0.0005,0.2505,4.575e-05,3.0500001e-05,-4.575e-05,1741812283.787387
0.0055,-0.00025,0.25025,3.0500001e-05,3.0500001e-05,-4.575e-05,1741812283.801991
0.00575,-0.00025,0.2505,-4.575e-05,3.0500001e-05,-6.1000002e-05,1741812283.816691
0.006,-0.00025,0.25075,-0.00024425,1.5250001e-05,-6.1000002e-05,1741812283.831203
0.006,-0.00025,0.25075,-0.00033575002,1.5250001e-05,-6.1000002e-05,1741812283.8458529
0.00575,0.0,0.2505,-0.00036625,-3.0500001e-05,-4.575e-05,1741812283.8604748
0.00575,0.0005,0.2505,-0.0002595,-6.1000002e-05,-3.0500001e-05,1741812283.875633
0.00575,0.0005,0.25075,-3.0500001e-05,-9.15e-05,-1.5250001e-05,1741812283.8896792
0.0055,-0.0,0.25025,3.0500001e-05,-6.1000002e-05,-3.0500001e-05,1741812283.9051452
0.0055,-0.00025,0.25,0.0,3.0500001e-05,-3.0500001e-05,1741812283.9187698
0.00575,-0.00025,0.2505,0.0,7.625e-05,-3.0500001e-05,1741812283.933578
0.006,-0.0,0.25075,-3.0500001e-05,0.00010675,-1.5250001e-05,1741812283.948155
0.0055,0.0,0.25025,-3.0500001e-05,7.625e-05,-1.5250001e-05,1741812283.962529
0.00525,0.0,0.25025,-4.575e-05,4.575e-05,-1.5250001e-05,1741812283.9770591
0.0055,-0.00025,0.2505,-1.5250001e-05,6.1000002e-05,0.0,1741812283.99155
0.0055,-0.00025,0.25025,-1.5250001e-05,6.1000002e-05,0.0001525,1741812284.0062149
0.0045,-0.0005,0.25025,-4.575e-05,4.575e-05,0.00027475,1741812284.020689
0.00525,-0.0005,0.25025,-7.625e-05,1.5250001e-05,0.00042725,1741812284.0352461
0.006,0.00025,0.25075,-0.00010675,-4.575e-05,0.00030525,1741812284.049855
0.0055,0.00025,0.25075,-1.5250001e-05,-6.1000002e-05,0.0001525,1741812284.065265
0.0055,0.0,0.25075,0.00010675,-4.575e-05,9.15e-05,1741812284.078793
0.00575,-0.0,0.2505,4.575e-05,-4.575e-05,0.00010675,1741812284.093367
0.0055,-0.00025,0.25025,9.15e-05,-4.575e-05,0.00019825,1741812284.107892
0.0045,-0.00125,0.2505,0.00016775,-3.0500001e-05,0.0003205,1741812284.122422
0.0045,-0.00125,0.25025,0.000229,-1.5250001e-05,0.00077825,1741812284.136883
0.00575,-0.0,0.2505,0.00029,0.0,0.001007,1741812284.1512918
0.006,0.0,0.2505,0.00027475,-4.575e-05,0.00096125,1741812284.165678
0.00525,0.0005,0.25075,0.0001525,-6.1000002e-05,0.00061025,1741812284.180187
0.0055,0.0,0.25075,-1.5250001e-05,-1.5250001e-05,1.5250001e-05,1741812284.195704
0.006,-0.0,0.25025,-0.00013725001,0.0,-7.625e-05,1741812284.209452
0.00625,-0.0,0.25025,-0.000183,-1.5250001e-05,-0.00010675,1741812284.225352
0.00625,0.0,0.2505,-0.00019825,-3.0500001e-05,-6.1000002e-05,1741812284.238627
0.00475,-0.00025,0.25075,-0.00019825,-1.5250001e-05,3.0500001e-05,1741812284.253242
0.005,-0.00075,0.25075,-7.625e-05,-3.0500001e-05,0.00013725001,1741812284.267862
0.005,-0.0015,0.25075,-4.575e-05,-3.0500001e-05,0.0002135,1741812284.2824771
0.005,-0.0015,0.25075,7.625e-05,-4.575e-05,0.00039675,1741812284.2969768
0.006,-0.00225,0.251,0.00010675,-7.625e-05,0.00042725,1741812284.311629
0.00575,-0.0035,0.25075,-0.00010675,-7.625e-05,0.0005645,1741812284.326236
0.0045,-0.00525,0.25025,-0.00010675,-6.1000002e-05,0.00077825,1741812284.340886
0.0045,-0.0055,0.2505,-7.625e-05,-3.0500001e-05,0.001175,1741812284.3554392
0.005,-0.0065,0.2505,-0.000229,-3.0500001e-05,0.00131225,1741812284.370085
0.00525,-0.00575,0.2505,-0.00036625,-6.1000002e-05,0.0015565,1741812284.38554
0.007,-0.0035,0.2505,-0.00029,-6.1000002e-05,0.001709,1741812284.399272
0.0075,-0.001,0.25025,-0.00029,-6.1000002e-05,0.002121,1741812284.4149811
0.006,0.0045,0.2505,-0.00030525,-6.1000002e-05,0.0021819999,1741812284.428349
0.0055,0.00375,0.2505,-0.00029,-6.1000002e-05,0.002121,1741812284.442837
0.0055,0.00325,0.25025,3.0500001e-05,-7.625e-05,0.00163275,1741812284.4572768
0.00625,0.00825,0.25025,0.0002595,-6.1000002e-05,0.001114,1741812284.4719622
0.00625,0.0085,0.25075,0.0002135,-3.0500001e-05,0.000122000005,1741812284.486447
0.00675,0.00675,0.2505,0.000122000005,-1.5250001e-05,-1.5250001e-05,1741812284.500959
0.0065,0.0065,0.25025,0.0001525,-4.575e-05,-0.0003815,1741812284.515444
0.0055,0.00225,0.2505,0.000229,-4.575e-05,-0.00051875,1741812284.530015
0.00525,0.00125,0.25075,0.00029,-1.5250001e-05,-0.00024425,1741812284.5451572
0.00525,0.00025,0.2505,0.0002135,-1.5250001e-05,-0.000122000005,1741812284.5590432
0.00525,-0.0,0.2505,0.0001525,-1.5250001e-05,-4.575e-05,1741812284.573627
0.00525,-0.0,0.25075,0.000183,0.0,-7.625e-05,1741812284.58828
0.0055,0.0,0.25075,0.00019825,0.0,-6.1000002e-05,1741812284.602895
0.00525,-0.00025,0.25075,0.0002135,-1.5250001e-05,-4.575e-05,1741812284.617412
0.00525,-0.0005,0.25075,0.0002135,-1.5250001e-05,-3.0500001e-05,1741812284.631962
0.00525,-0.0005,0.25075,0.00019825,0.0,-7.625e-05,1741812284.646312
0.0055,-0.00075,0.25075,0.00030525,-1.5250001e-05,-0.00016775,1741812284.661021
0.00575,-0.00125,0.251,0.0005645,-4.575e-05,-0.000412,1741812284.675662
0.0085,-0.0015,0.2505,0.00070200005,-4.575e-05,-0.00045775,1741812284.6902888
0.01025,-0.00225,0.25025,0.00105275,7.625e-05,0.0002595,1741812284.70523
0.0045,0.00075,0.25075,0.00115975,0.00016775,0.00074775,1741812284.719172
0.00025,0.0015,0.25075,0.001236,0.0002595,0.00051875,1741812284.7334049
0.00375,-0.0025,0.25025,0.00119025,0.000229,0.0001525,1741812284.747869
0.00575,-0.003,0.25025,0.00077825,0.000122000005,-4.575e-05,1741812284.762363
0.006,-0.00175,0.25075,0.00068675,9.15e-05,-1.5250001e-05,1741812284.776845
0.00575,-0.00125,0.25075,0.00119025,9.15e-05,0.00016775,1741812284.791287
0.00575,-0.00275,0.25,0.0011445,4.575e-05,0.0003815,1741812284.8056479
0.00575,-0.003,0.25025,0.000824,-3.0500001e-05,0.0005645,1741812284.820207
0.00575,-0.00325,0.2505,0.00054925,-7.625e-05,0.000534,1741812284.8349319
0.00575,-0.0025,0.251,0.0007325,-3.0500001e-05,0.00039675,1741812284.849161
0.006,-0.0025,0.251,0.00108325,3.0500001e-05,0.00035100002,1741812284.8634791
0.0055,-0.00275,0.25075,0.00112925,6.1000002e-05,0.0004425,1741812284.877907
0.008,-0.0,0.2515,0.001587,9.15e-05,0.0007935,1741812284.892241
0.0095,-0.00025,0.2515,0.0020752498,7.625e-05,0.00096125,1741812284.906786
0.00825,-0.00325,0.251,0.0029449998,0.0001525,0.00102225,1741812284.921468
0.00525,-0.007,0.25,0.00289925,0.0001525,0.0009155,1741812284.9364018
0.005,-0.0075,0.25025,0.00228875,6.1000002e-05,0.000824,1741812284.9507551
0.0025,-0.00975,0.25025,0.0020905002,4.575e-05,0.00077825,1741812284.9652119
0.00275,-0.01125,0.24975,0.00193775,4.575e-05,0.0007325,1741812284.979681
0.0045,-0.0115,0.24975,0.0012817499,-1.5250001e-05,0.0005035,1741812284.995122
0.00425,-0.0115,0.25075,0.00083925005,-9.15e-05,0.00035100002,1741812285.008683
0.00675,-0.0105,0.252,-1.5250001e-05,-0.00067150005,0.00027475,1741812285.0232708
0.01025,-0.01125,0.253,-0.0004425,-0.00119025,0.000412,1741812285.037903
0.01,-0.00925,0.25325,-0.000885,-0.002365,0.000885,1741812285.052407
0.00825,-0.0035,0.25075,-0.00042725,-0.0024414998,0.00080875,1741812285.066972
0.007,-0.0045,0.24975,-0.0002135,-0.0020905002,0.00054925,1741812285.081422
0.0035,-0.00525,0.251,-0.000763,-0.0020752498,0.00064075,1741812285.095943
0.005,-0.00275,0.252,-0.00099175,-0.00190725,0.00030525,1741812285.110464
-0.00125,-0.00625,0.2485,-0.001236,-0.00157175,-9.15e-05,1741812285.125411
-0.0015,-0.0095,0.248,-0.0013580001,-0.0009765,-0.000412,1741812285.14023
0.00075,-0.008,0.25325,-0.0012970001,-0.00086975005,-0.00027475,1741812285.155374
0.002,-0.00625,0.257,-0.0022125002,-0.00042725,6.1000002e-05,1741812285.169565
0.00175,-0.0075,0.262,-0.00245675,1.5250001e-05,0.00024425,1741812285.185194
0.00075,-0.007,0.26025,-0.0021819999,0.0005035,0.000412,1741812285.198573
0.00025,-0.00675,0.258,-0.00245675,0.0011445,0.0007325,1741812285.2130518
-0.00025,-0.00675,0.25325,-0.002884,0.0012207499,0.00080875,1741812285.2276428
0.0005,-0.00525,0.2525,-0.00245675,0.00112925,0.00065625,1741812285.242178
