acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.246,0.0185,0.00425,-0.00225825,0.00238025,0.0012817499,1742092365.096517
0.245,0.0175,0.00225,-0.00169375,0.0029907501,0.00039675,1742092365.1101599
0.24325,0.013,-0.00125,-0.0011445,0.00292975,-0.0004425,1742092365.12464
0.2445,0.0125,-0.001,-0.0007325,0.00239575,-0.0010375,1742092365.139101
0.2455,0.01325,0.001,-0.0004425,0.00149525,-0.00096125,1742092365.153544
0.24775,0.01625,0.0035,-0.00067150005,0.0016175,-0.0005645,1742092365.168187
0.2475,0.018,0.00225,-0.00099175,0.00263975,-0.000473,1742092365.1825438
0.24525,0.01725,-0.002,-0.00086975005,0.0028229998,-0.00064075,1742092365.1978528
0.2455,0.01625,-0.0025,-0.00061025,0.00175475,-0.00051875,1742092365.211461
0.24925,0.01425,-0.00125,-0.0005035,0.00112925,-0.00057975,1742092365.227167
0.25025,0.01375,-0.002,-0.00013725001,0.000824,-0.000763,1742092365.2405398
0.24975,0.01375,-0.00425,-4.575e-05,0.00096125,-0.000473,1742092365.2552278
0.2495,0.016,-0.004,-3.0500001e-05,0.001068,-6.1000002e-05,1742092365.2698
0.249,0.0185,-0.00375,-6.1000002e-05,0.0013427499,0.00010675,1742092365.284204
0.24625,0.01925,-0.007,0.0,0.00137325,-0.00019825,1742092365.298679
0.24475,0.0155,-0.00975,0.0001525,0.00093075,-0.00051875,1742092365.313151
0.24325,0.0105,-0.0105,0.00019825,0.00054925,-0.0003815,1742092365.327538
0.24275,0.01275,-0.008,0.00013725001,-9.15e-05,0.00035100002,1742092365.341978
0.242,0.0205,0.002,4.575e-05,-0.0001525,0.00071725,1742092365.357674
0.24,0.0235,0.011,4.575e-05,-0.00027475,0.00112925,1742092365.3706272
0.23075,0.02525,0.07125,0.00024425,-0.00080875,0.0012665,1742092365.38489
0.22625,0.01475,0.1465,0.00090025004,-0.00193775,0.0017852499,1742092365.3991969
0.235,-0.01175,0.26725,0.00440975,-0.00671375,0.0043335,1742092365.41377
0.35025,-0.08925,0.591,0.0042725,-0.0087585,0.0057372497,1742092365.428082
0.3975,-0.112,0.691,-0.0038605002,-0.000534,0.0144805005,1742092365.442587
0.32975,-0.1175,0.6385,-0.00694275,0.009369001,0.01820375,1742092365.457719
0.24325,-0.10075,0.52425,-0.0057677496,0.02507025,0.013321,1742092365.471512
0.1335,-0.03025,0.1625,-0.00585925,0.029693501,0.00747675,1742092365.486217
0.128,-0.03225,-0.06625,-0.0064239996,0.032837003,0.001007,1742092365.500594
0.1185,-0.0385,-0.27725,0.0038299998,0.031356752,-0.0143737495,1742092365.5151942
0.04475,0.0375,-0.49425,0.01148975,0.02563475,-0.0200805,1742092365.5295732
0.04025,0.07875,-0.49925,0.019638,0.007187,-0.02664175,1742092365.5442061
0.156,0.09525,-0.45575,0.020752002,6.1000002e-05,-0.02867125,1742092365.558732
0.21625,0.09625,-0.437,0.018875,-0.0028687501,-0.023407,1742092365.573312
0.2575,0.151,-0.37575,0.015335,-0.00149525,-0.0166015,1742092365.587745
0.26425,0.161,-0.32225,0.009201,-0.00083925005,-0.0069885002,1742092365.602308
0.28375,0.14375,-0.2125,0.008590749,-0.001892,-0.0063477503,1742092365.617344
0.29675,0.1315,-0.1675,0.00585925,-0.0035095,-0.0046234997,1742092365.631404
0.30725,0.08225,-0.096,0.0040435,-0.00302125,-0.0031585,1742092365.645864
0.3025,0.0465,-0.06825,0.00276175,-0.00163275,-0.002655,1742092365.660444
0.296,0.01375,-0.04525,0.0017852499,0.00125125,-0.0026245,1742092365.674869
0.27525,-0.02525,-0.022,0.0016175,0.002365,-0.0022735,1742092365.689385
0.256,-0.028,-0.0255,0.00036625,0.00466925,-0.00090025004,1742092365.70402
0.22625,-0.02525,-0.04075,-0.00048825,0.00494375,-0.00048825,1742092365.718552
0.217,-0.02325,-0.04775,-0.00071725,0.00340275,-0.00119025,1742092365.7331462
0.20875,-0.015,-0.0565,-0.000412,0.0022277501,-0.0015105,1742092365.747921
0.21125,-0.012,-0.05675,0.0003815,0.00030525,-0.0019685,1742092365.762124
0.21825,-0.0015,-0.0605,0.00064075,-0.00039675,-0.00198375,1742092365.777836
0.2225,0.00425,-0.06175,0.000824,-0.0010375,-0.00163275,1742092365.791266
0.23,0.0095,-0.0585,0.00108325,-0.0020599999,-0.000473,1742092365.805884
0.24525,0.0185,-0.04275,0.00074775,-0.00238025,6.1000002e-05,1742092365.820283
0.25175,0.01975,-0.036,-0.00109875,-0.0022125002,0.00071725,1742092365.834763
0.25125,0.014,-0.03425,-0.00148,-0.0016785001,0.00068675,1742092365.8492951
0.2465,0.0105,-0.0375,-0.0013427499,-0.0012207499,0.00035100002,1742092365.863748
0.245,0.00125,-0.04075,-0.0012207499,-0.0012055,0.000183,1742092365.8782861
0.24475,-0.00225,-0.041,-0.00067150005,-0.00149525,-0.00054925,1742092365.8929658
0.24975,-0.0025,-0.03625,-0.0005645,-0.00175475,-0.00062550005,1742092365.907705
0.2535,0.00225,-0.03175,-0.00131225,-0.00143425,0.00016775,1742092365.922194
0.24925,0.00925,-0.0295,-0.001953,-0.00083925005,0.00054925,1742092365.937942
0.24275,0.00425,-0.0325,-0.002365,-0.00024425,0.00054925,1742092365.951305
0.23725,-0.004,-0.0365,-0.00198375,0.000229,-0.00042725,1742092365.967547
0.2315,-0.0165,-0.0435,-0.0013275,0.00013725001,-0.0008545,1742092365.980354
0.22925,-0.01675,-0.04575,-0.0003205,-0.00061025,-0.0008545,1742092365.99529
0.2375,-0.01175,-0.0425,-0.00051875,-0.001068,-7.625e-05,1742092366.009957
0.24225,-0.00875,-0.04025,-0.0016632499,-0.000885,0.00213625,1742092366.0245771
0.2415,-0.006,-0.04475,-0.001953,-0.0003815,0.00270075,1742092366.039291
0.23675,-0.00775,-0.05125,-0.0013580001,0.00029,0.00276175,1742092366.05389
0.231,-0.0075,-0.0625,-0.00064075,0.000122000005,0.00238025,1742092366.068374
0.232,-0.00525,-0.06325,0.0005645,-0.000946,0.0013427499,1742092366.082863
0.241,-0.00675,-0.05675,0.00048825,-0.0014495,0.00149525,1742092366.09802
0.246,-0.00975,-0.0535,0.00010675,-0.00157175,0.002243,1742092366.111966
0.24875,-0.0115,-0.05175,0.0,-0.00068675,0.00384525,1742092366.127209
0.248,-0.00775,-0.055,0.0004425,-4.575e-05,0.0042725,1742092366.141216
0.2455,-0.00575,-0.058,0.00190725,0.00119025,0.0047302498,1742092366.155686
0.233,0.00325,-0.067,0.0028229998,0.001648,0.0045777503,1742092366.1699991
0.22175,0.014,-0.072,0.0021515,0.0005035,0.0042572496,1742092366.184324
