acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.252,0.0285,0.001,-0.00611875,0.0013885,0.0020599999,1742092395.884368
0.253,0.025,0.00075,-0.0068055,0.001648,0.002243,1742092395.898867
0.25275,0.0215,0.0,-0.0055695,0.00267025,0.00029,1742092395.9130828
0.248,0.0155,-0.003,-0.0042115003,0.0031585,-0.00146475,1742092395.9275122
0.244,0.015,-0.005,-0.001892,0.00352475,-0.0043182503,1742092395.942353
0.234,0.0165,-0.00825,-0.001419,0.0032347501,-0.0050355,1742092395.9572291
0.23175,0.01825,-0.00875,-0.0015565,0.0025787498,-0.0051269997,1742092395.9713862
0.24275,0.017,-0.008,-0.00305175,0.00115975,-0.00434875,1742092395.98585
0.244,0.013,-0.008,-0.0035095,0.001007,-0.004486,1742092396.0002491
0.24025,0.00875,-0.00975,-0.00270075,0.00109875,-0.0054780003,1742092396.014763
0.235,0.00775,-0.01375,-0.0019989999,0.00083925005,-0.005783,1742092396.029208
0.236,0.007,-0.015,-0.00090025004,0.000183,-0.0061950004,1742092396.043715
0.2385,0.00425,-0.0135,-0.000824,-0.0001525,-0.0058899997,1742092396.058413
0.24025,0.0045,-0.01225,-0.00067150005,-0.00054925,-0.0052642496,1742092396.073077
0.23975,0.00425,-0.01225,-0.00042725,-0.00059500005,-0.00535575,1742092396.087761
0.24,0.00525,-0.01325,-0.00045775,-0.00083925005,-0.005844,1742092396.102457
0.24175,0.00575,-0.0135,-0.00083925005,-0.00115975,-0.00614925,1742092396.11742
0.24375,0.00425,-0.01275,-0.0013885,-0.00149525,-0.00643925,1742092396.131878
0.25075,-0.00375,-0.0105,-0.00213625,-0.00181575,-0.00662225,1742092396.148096
0.25375,-0.009,-0.0095,-0.0020295,-0.0016785001,-0.0066374997,1742092396.161335
0.255,-0.01225,-0.009,-0.001114,-0.00102225,-0.007309,1742092396.1760352
0.25825,-0.01425,-0.0075,-0.00071725,-0.00071725,-0.00794975,1742092396.190633
0.26125,-0.01475,-0.007,-0.0003205,-0.0004425,-0.009491,1742092396.20771
0.26725,-0.016,-0.01,-0.0001525,-3.0500001e-05,-0.010101249,1742092396.222528
0.27425,-0.01175,-0.01475,-0.0003815,0.000229,-0.009719751,1742092396.237804
0.28225,-0.00775,-0.01375,-0.00086975005,0.00054925,-0.0091705,1742092396.252154
0.298,-0.0055,-0.01475,-0.0020295,0.0019989999,-0.009292499,1742092396.268523
0.30375,-0.0155,-0.019,-0.00251775,0.003006,-0.00982675,1742092396.2816908
0.3075,-0.03375,-0.0175,-0.0039215,0.00491325,-0.00747675,1742092396.296322
0.27025,-0.10625,0.0225,-0.00555425,0.00614925,-0.00190725,1742092396.3108668
0.2235,-0.22675,0.0425,-0.016265752,0.008255,0.042037997,1742092396.325244
0.11025,-0.65925,0.07,-0.027252251,0.0089569995,0.091308504,1742092396.339723
0.07025,-0.88475,0.095,-0.042419497,0.00440975,0.2034455,1742092396.354191
0.099,-1.0,0.16025,-0.03538525,0.00067150005,0.23887625,1742092396.368567
0.05025,-0.93125,0.1995,0.0072785,0.016098,0.26165774,1742092396.3828218
-0.34025,-0.56975,0.28075,0.031433,0.0372925,0.26297,1742092396.398027
-0.56575,-0.33575,0.3115,0.054977503,0.058319,0.25846875,1742092396.4119391
-0.7305,-0.0445,0.35575,0.091781504,0.08624275,0.22552499,1742092396.4276228
-0.9695,0.6045,0.23975,0.09405525,0.09198,0.19450375,1742092396.440655
-1.0,0.859,0.09475,0.0769195,0.06150825,0.10269175,1742092396.455067
-0.83475,0.96075,0.0275,0.0639495,0.03012075,0.06330875,1742092396.469404
-0.6865,0.9115,0.0475,0.03627025,-0.0052185003,0.01504525,1742092396.483954
-0.402,0.8285,0.15725,0.02516175,-0.009369001,-0.00561525,1742092396.498472
-0.26775,0.74975,0.204,0.001709,-0.010803251,-0.03663625,1742092396.513671
-0.03825,0.47475,0.19025,-0.0089569995,-0.009445249,-0.043396,1742092396.528332
0.04275,0.33425,0.1545,-0.01620475,-0.00662225,-0.04524225,1742092396.542838
0.1155,0.12375,0.08625,-0.0187835,-0.0033722501,-0.039184503,1742092396.5580292
0.1265,0.058,0.056,-0.016448999,-0.0024414998,-0.032135,1742092396.571687
0.11725,0.03225,0.0325,-0.010253999,0.000534,-0.01991275,1742092396.586165
0.066,0.0675,0.02075,-0.006302,0.00181575,-0.017852752,1742092396.600547
0.03525,0.09675,0.023,0.000183,0.0030669998,-0.017624,1742092396.6149619
-0.01675,0.16825,0.03825,0.0013427499,0.00331125,-0.0178375,1742092396.6294022
-0.04425,0.21025,0.047,0.0002595,0.0013885,-0.018310498,1742092396.6444428
-0.0655,0.2655,0.057,-0.00108325,-0.00086975005,-0.017883249,1742092396.6590989
-0.05825,0.27175,0.056,-0.003952,-0.0040587503,-0.017044,1742092396.673642
-0.0345,0.25375,0.0505,-0.0046539996,-0.0040587503,-0.0168915,1742092396.688479
-0.0195,0.2425,0.05025,-0.0050812503,-0.00340275,-0.016922,1742092396.703063
-0.0025,0.233,0.05175,-0.0055237496,-0.0031585,-0.018402,1742092396.717584
0.02275,0.226,0.05575,-0.0056304997,-0.003952,-0.01950075,1742092396.732179
