acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.241,0.0385,-0.022,0.00027475,0.00099175,0.00045775,1742092509.69831
0.24225,0.03375,-0.024,-0.00068675,0.0008545,0.001419,1742092509.711537
0.24425,0.02875,-0.02375,-0.0014037499,0.00080875,0.0038299998,1742092509.725929
0.24375,0.02875,-0.02325,-0.0008545,0.00109875,0.00428775,1742092509.740252
0.2415,0.0325,-0.024,-0.00013725001,0.0013885,0.004303,1742092509.7545311
0.24175,0.041,-0.02375,0.0007325,0.001587,0.0043182503,1742092509.768963
0.2395,0.045,-0.024,0.00093075,0.00177,0.0041504996,1742092509.783218
0.23825,0.04625,-0.024,0.000473,0.001709,0.00334175,1742092509.797707
0.242,0.0445,-0.02325,0.00029,0.00131225,0.0029907501,1742092509.8119512
0.24275,0.04325,-0.02375,0.00065625,0.0005645,0.0026245,1742092509.826248
0.243,0.04475,-0.023,0.00090025004,0.00042725,0.0024872501,1742092509.840647
0.24275,0.04775,-0.02225,0.00148,0.000473,0.001892,1742092509.85515
0.23925,0.0545,-0.02325,0.001709,0.00054925,0.0012817499,1742092509.869578
0.2385,0.05625,-0.024,0.00160225,0.00057975,0.00068675,1742092509.883816
0.239,0.05425,-0.025,0.000229,0.000473,0.00074775,1742092509.898203
0.23975,0.04525,-0.0275,-0.00039675,0.000412,0.0014037499,1742092509.912755
0.2395,0.04225,-0.02775,-0.0005645,0.00048825,0.002121,1742092509.927849
0.23975,0.04375,-0.027,-0.0003815,0.0005645,0.00216675,1742092509.941629
0.2395,0.046,-0.02675,-0.0002595,0.00059500005,0.00263975,1742092509.95615
0.24025,0.04375,-0.02625,-0.00030525,0.00067150005,0.0027312501,1742092509.9705758
0.24125,0.0405,-0.0255,-0.00019825,0.00070200005,0.0025787498,1742092509.985049
0.247,0.03325,-0.02175,0.00042725,0.00048825,0.002777,1742092510.001004
0.25125,0.02975,-0.0185,0.00042725,0.0008545,0.003952,1742092510.013739
0.2525,0.0295,-0.01625,7.625e-05,0.003006,0.0081025,1742092510.028249
0.23275,0.05375,-0.00625,0.00062550005,0.0046845004,0.009582501,1742092510.0425532
0.1925,0.104,-0.00225,0.00535575,0.012496999,0.00413525,1742092510.058166
0.008,0.394,-0.07525,0.00720225,0.018448,-0.0072480002,1742092510.0715032
-0.11575,0.6135,-0.14725,-0.00187675,0.018631,-0.059784,1742092510.0861518
-0.34675,0.8465,-0.23125,-0.00738525,0.0081025,-0.1092225,1742092510.100609
-0.451,0.7815,-0.2465,-0.0035095,-0.0078125,-0.176056,1742092510.1153312
-0.63525,0.43825,-0.18325,0.02085875,-0.04449475,-0.30786124,1742092510.130068
