acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.24625,0.004,-0.02225,-0.00036625,0.00070200005,0.00068675,1742092487.9529889
0.245,0.00375,-0.024,-0.00016775,0.00062550005,0.00019825,1742092487.965089
0.244,-0.00025,-0.027,-0.00019825,0.00067150005,0.00030525,1742092487.979402
0.24325,-0.0015,-0.028,-0.0001525,0.00062550005,0.00048825,1742092487.993768
0.24325,-0.00075,-0.02825,0.000229,0.00010675,0.00068675,1742092488.0081139
0.244,0.00175,-0.0275,0.0003815,-7.625e-05,0.00065625,1742092488.022476
0.24425,0.003,-0.02725,0.00048825,-0.00016775,0.00045775,1742092488.0381708
0.24475,0.00525,-0.02625,0.00048825,-0.0001525,0.0003205,1742092488.051337
0.246,0.00525,-0.025,0.00057975,-0.0002135,0.0,1742092488.065724
0.24625,0.006,-0.0235,0.00059500005,-0.00029,-9.15e-05,1742092488.0801659
0.246,0.00575,-0.02325,0.00051875,-0.00035100002,-7.625e-05,1742092488.09472
0.2445,0.004,-0.02525,0.000229,-0.00029,0.000229,1742092488.1091409
0.2425,0.0045,-0.02675,0.00019825,-0.00029,0.00039675,1742092488.123486
0.24025,0.00525,-0.028,7.625e-05,-0.000534,0.00051875,1742092488.138048
0.2395,0.006,-0.0285,-1.5250001e-05,-0.00071725,0.000473,1742092488.1524858
0.2395,0.00575,-0.02875,-3.0500001e-05,-0.00093075,0.000122000005,1742092488.167731
0.239,0.005,-0.03325,-0.00013725001,-0.001114,1.5250001e-05,1742092488.1813781
0.239,0.00525,-0.0395,-0.00030525,-0.0016175,-6.1000002e-05,1742092488.1959949
0.23925,0.015,-0.07975,-0.000534,-0.00181575,0.0,1742092488.2104168
0.24,0.02775,-0.11275,-0.001007,-0.0019989999,0.00024425,1742092488.225096
0.265,0.043,-0.2055,-0.0012055,-0.00175475,0.00109875,1742092488.239718
0.2775,0.036,-0.2635,-0.00054925,-0.00059500005,0.00083925005,1742092488.254324
0.27275,0.007,-0.32075,0.000824,0.0051574996,-4.575e-05,1742092488.268746
0.20225,-0.05925,-0.4225,0.00035100002,0.009079001,0.0027160002,1742092488.283127
0.1525,-0.05325,-0.45775,-0.001709,0.011245751,0.0175935,1742092488.297774
0.08875,0.01975,-0.43925,-0.0013275,0.0063934997,0.02619925,1742092488.3122199
0.12175,0.058,-0.34475,0.0021057501,-0.01127625,0.02661125,1742092488.3277838
0.27975,0.0985,-0.03575,0.00413525,-0.018920999,0.016128499,1742092488.341311
0.3375,0.11225,0.118,-0.00102225,-0.023346001,0.00198375,1742092488.3556778
0.42825,0.104,0.402,-0.00488275,-0.0211335,0.001068,1742092488.370134
0.46675,0.06575,0.4955,-0.006775,-0.01661675,-0.00033575002,1742092488.3846788
0.4725,0.005,0.522,-0.00839225,-0.0020295,-0.00343325,1742092488.399303
0.373,-0.09075,0.41275,-0.0086975,0.0065765,-0.0027312501,1742092488.4139981
0.2865,-0.087,0.3195,-0.0057372497,0.018631,0.0003205,1742092488.428462
0.12175,-0.041,0.1285,-0.0030669998,0.019622749,0.0018005001,1742092488.44289
0.0865,-0.01875,0.07375,0.0013275,0.01295475,0.0011445,1742092488.458137
0.0905,0.00825,0.02575,0.00254825,0.0075682504,0.00024425,1742092488.471694
