acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.21125,0.01725,-0.06,0.00086975005,0.0002135,0.00074775,1742092557.1161332
0.2135,0.01475,-0.064,0.001007,0.0002595,0.0005645,1742092557.130427
0.213,0.012,-0.06525,0.0011445,-3.0500001e-05,0.0007935,1742092557.14485
0.2155,0.0075,-0.064,0.00109875,-0.0002595,0.0011445,1742092557.159403
0.2175,0.0085,-0.06325,0.00108325,-0.00045775,0.00143425,1742092557.1737652
0.2185,0.0125,-0.06375,0.0007325,-0.00061025,0.0017395001,1742092557.188079
0.222,0.0195,-0.067,0.00036625,-0.000534,0.00184625,1742092557.202511
0.22325,0.021,-0.069,-3.0500001e-05,-0.0005035,0.00143425,1742092557.217311
0.222,0.0205,-0.074,3.0500001e-05,-0.00080875,0.001007,1742092557.231314
0.2225,0.0195,-0.0745,0.0003815,-0.00146475,0.0003205,1742092557.246544
0.23,0.017,-0.07125,0.00061025,-0.0017852499,3.0500001e-05,1742092557.260056
0.23425,0.01775,-0.069,0.00071725,-0.0022125002,-0.00039675,1742092557.274389
0.23725,0.01775,-0.0665,0.00059500005,-0.00213625,-0.00035100002,1742092557.288906
0.237,0.01775,-0.06725,0.0003815,-0.0019225,-0.00010675,1742092557.303355
0.23725,0.018,-0.06825,-7.625e-05,-0.00160225,0.00068675,1742092557.317976
0.2385,0.018,-0.06975,-0.000122000005,-0.001526,0.00083925005,1742092557.332363
0.2385,0.01675,-0.07025,0.0002595,-0.00163275,0.0003205,1742092557.346839
0.2365,0.01475,-0.0685,0.00042725,-0.0017852499,0.0,1742092557.361257
0.2355,0.01575,-0.06625,0.000229,-0.0019685,-0.00039675,1742092557.37644
0.23175,0.0125,-0.0585,7.625e-05,-0.00187675,-0.00059500005,1742092557.390143
0.2235,0.01125,-0.04825,0.00019825,-0.0016632499,-0.00090025004,1742092557.404778
0.1565,0.02075,0.00275,0.00093075,-0.0014037499,-0.0018005001,1742092557.419074
0.07525,0.03375,0.047,0.00137325,-0.001526,-0.00204475,1742092557.433473
-0.049,0.0385,0.08175,0.0043182503,-0.003418,0.0013275,1742092557.447947
-0.4175,-0.0955,0.03625,0.00494375,-0.0063934997,0.00672925,1742092557.462351
-0.6005,-0.223,-0.0225,-0.0012207499,-0.02336125,0.024414,1742092557.4771662
-0.7395,-0.34325,-0.07725,-0.00267025,-0.040664747,0.030334499,1742092557.491828
-0.652,-0.26175,-0.04725,0.0071409997,-0.0882415,0.0246735,1742092557.506476
-0.14175,0.07175,0.206,0.01251225,-0.11050425,0.014282251,1742092557.520855
0.2465,0.15425,0.402,0.02503975,-0.140503,-0.00369275,1742092557.536584
0.90875,0.05475,0.68925,0.0266265,-0.128357,-0.018341,1742092557.549551
1.0,0.055,0.694,0.024658252,-0.0946045,-0.042633,1742092557.563825
