acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.24425,-0.02025,-0.0315,-0.00093075,-0.00083925005,0.00163275,1742092577.754484
0.2425,-0.0175,-0.02925,-0.000763,-0.00071725,0.00163275,1742092577.768631
0.242,-0.018,-0.02975,-0.000412,-0.0008545,0.0010375,1742092577.784157
0.241,-0.01925,-0.02975,-0.000122000005,-0.00086975005,0.00057975,1742092577.798713
0.24175,-0.02075,-0.0295,1.5250001e-05,-0.00086975005,-0.00013725001,1742092577.813322
0.24325,-0.02125,-0.029,1.5250001e-05,-0.00090025004,-0.000229,1742092577.827824
0.24375,-0.02275,-0.02825,-0.00016775,-0.000885,0.0002135,1742092577.8422961
0.24775,-0.018,-0.0235,-0.00019825,-0.00083925005,0.0003205,1742092577.8567848
0.248,-0.01975,-0.021,0.0,-0.00068675,-6.1000002e-05,1742092577.8714151
0.248,-0.02275,-0.0195,0.00068675,4.575e-05,-0.00143425,1742092577.886392
0.24525,-0.0175,-0.02,0.00086975005,0.0003815,-0.0012970001,1742092577.900217
0.2445,-0.01425,-0.02125,0.00010675,0.00105275,0.0004425,1742092577.9144902
0.23925,-0.01225,-0.0275,-0.000183,0.0009155,0.000946,1742092577.9289842
0.23575,-0.01275,-0.032,-0.00042725,-0.0001525,0.0011445,1742092577.943594
0.2365,-0.0125,-0.034,-0.000534,-0.00030525,0.00108325,1742092577.958087
0.2385,-0.01075,-0.03225,-0.00064075,-0.00080875,0.00067150005,1742092577.9727051
0.2385,-0.00275,-0.03075,-0.00115975,-0.00115975,0.00010675,1742092577.98723
0.23925,0.00025,-0.02875,-0.0022277501,-0.001419,-0.0007935,1742092578.001764
0.24275,-0.006,-0.02475,-0.0046845004,-0.00238025,-0.0026245,1742092578.0171049
0.24925,-0.0785,0.00725,-0.0058899997,-0.00283825,-0.00308225,1742092578.030872
0.25,-0.16025,0.037,-0.0076599997,-0.0045012496,-0.001709,1742092578.046422
0.26,-0.45225,0.0965,-0.0062407497,-0.0062255003,0.00033575002,1742092578.060031
0.277,-0.62975,0.11275,0.0026245,-0.0088805,0.013564999,1742092578.0744781
0.2885,-0.804,0.16925,0.01367175,-0.0078125,0.0217285,1742092578.088938
0.281,-0.74575,0.21625,0.04141225,-0.002655,0.03480525,1742092578.1033049
0.22025,-0.41525,0.2535,0.051818747,-0.00099175,0.0417785,1742092578.117592
0.1805,-0.1955,0.232,0.05882275,0.0016175,0.046173,1742092578.131885
0.1435,0.04625,0.181,0.07133475,0.009155249,0.03141775,1742092578.1466
0.09175,0.548,0.01775,0.07640075,0.0095672505,0.01667775,1742092578.160316
0.09125,0.75425,-0.063,0.06510925,0.0072785,-0.0032655,1742092578.174601
0.18375,0.863,-0.13725,0.050598253,0.009140001,-0.008850001,1742092578.18893
0.22875,0.775,-0.129,0.030777,0.011169501,-0.0219575,1742092578.203315
0.26875,0.54675,-0.069,0.022949249,0.00590525,-0.0198365,1742092578.217601
0.28375,0.41575,-0.02225,0.012252751,0.000763,-0.011886501,1742092578.2319171
0.28525,0.29875,0.015,-0.0021515,0.00131225,-0.008865249,1742092578.246851
0.2555,0.109,0.04,-0.0056915004,0.0033722501,-0.0078125,1742092578.2606049
0.24425,0.03775,0.04225,-0.01115425,0.0069580004,-0.00302125,1742092578.2749062
0.23,-0.05975,0.0225,-0.0115205,0.0072632497,-0.0016175,1742092578.289411
0.2275,-0.087,0.0065,-0.00798025,0.0057220003,-0.00112925,1742092578.303766
0.2195,-0.0905,-0.031,-0.00640875,0.0048674997,-0.00013725001,1742092578.318309
0.218,-0.071,-0.04375,-0.0055847503,0.0044250004,0.0014495,1742092578.33267
0.22325,-0.017,-0.0565,-0.00384525,0.0033722501,0.0022277501,1742092578.34722
0.22825,0.0115,-0.05825,-0.003296,0.0024414998,0.00137325,1742092578.3616672
0.23275,0.03725,-0.05675,-0.00364675,0.000885,-4.575e-05,1742092578.3764522
0.243,0.06825,-0.04475,-0.003769,0.00030525,-0.000763,1742092578.390534
0.249,0.07425,-0.03575,-0.0043182503,-0.00035100002,-0.00245675,1742092578.40512
0.2555,0.0705,-0.0205,-0.0051269997,-0.000229,-0.0025787498,1742092578.419713
0.25625,0.06375,-0.01675,-0.0076599997,0.00057975,-0.0007325,1742092578.4342132
0.25075,0.051,-0.018,-0.008727999,0.000885,0.000473,1742092578.4484968
0.2475,0.044,-0.02075,-0.009445249,0.00108325,0.0012665,1742092578.462911
0.24425,0.03725,-0.024,-0.0093385,0.000946,0.00102225,1742092578.4772968
0.2375,0.028,-0.02825,-0.009002751,0.00061025,0.000763,1742092578.491603
0.235,0.0265,-0.02625,-0.009430001,-0.00024425,0.0014495,1742092578.5064902
0.235,0.0285,-0.02075,-0.010086001,-0.00054925,0.0020905002,1742092578.5204191
0.234,0.02925,-0.02075,-0.01115425,-0.00083925005,0.002411,1742092578.534849
0.23,0.02575,-0.03125,-0.0114135,-0.001007,0.00187675,1742092578.54923
0.2285,0.01825,-0.03825,-0.010788,-0.0017242499,-0.00070200005,1742092578.563724
0.23275,0.0025,-0.0405,-0.009658749,-0.002655,-0.00228875,1742092578.578274
0.23625,0.00025,-0.0365,-0.008484,-0.00355525,-0.00328075,1742092578.592791
0.23975,0.0015,-0.02975,-0.00794975,-0.0034942501,-0.0019989999,1742092578.607262
0.24425,0.0085,-0.01325,-0.00889575,-0.0028074998,-0.0002135,1742092578.6219158
0.24425,0.01175,-0.00975,-0.01156625,-0.001007,0.0028687501,1742092578.6366851
0.232,0.0045,-0.019,-0.011764499,-0.0003815,0.0031127501,1742092578.6507561
0.2215,0.001,-0.029,-0.009506251,-0.0003815,0.00077825,1742092578.665175
0.208,0.00225,-0.044,-0.007965,-0.001114,-0.00080875,1742092578.679692
0.211,-0.00025,-0.04325,-0.00611875,-0.00364675,-0.0020905002,1742092578.694397
0.2285,-0.00725,-0.02875,-0.0060272496,-0.00428775,-0.001419,1742092578.708981
0.23575,-0.00175,-0.0225,-0.00621025,-0.00428775,-0.0004425,1742092578.7235641
0.24275,0.019,-0.01775,-0.0069885002,-0.00367725,0.00093075,1742092578.7380228
0.24175,0.0285,-0.0195,-0.0073395,-0.00331125,0.00102225,1742092578.7525141
0.23875,0.03675,-0.02275,-0.007599,-0.00302125,-0.0008545,1742092578.767155
0.237,0.04425,-0.0265,-0.0074920002,-0.00328075,-0.00254825,1742092578.78161
0.23925,0.0445,-0.025,-0.00770575,-0.0037385002,-0.0053709997,1742092578.797002
0.24775,0.04175,-0.017,-0.008606,-0.0037385002,-0.0057220003,1742092578.810692
0.25425,0.03775,-0.01125,-0.011535751,-0.00325,-0.0042725,1742092578.8252401
0.25675,0.02725,-0.00775,-0.012771499,-0.00270075,-0.0034484998,1742092578.839799
0.2535,0.0235,-0.011,-0.013641249,-0.00137325,-0.003769,1742092578.854408
0.24525,0.01575,-0.01975,-0.013198749,-0.0007935,-0.0048065,1742092578.86885
0.241,0.01375,-0.02375,-0.01248175,-0.000534,-0.0060272496,1742092578.883414
0.23975,0.0105,-0.02475,-0.011245751,-0.001587,-0.008072,1742092578.89787
0.2465,-0.0065,-0.01675,-0.0106965,-0.002472,-0.008941749,1742092578.91259
0.2485,-0.015,-0.01125,-0.009719751,-0.00276175,-0.010559,1742092578.927253
0.2525,-0.0275,-0.00025,-0.01004025,-0.0020599999,-0.010681249,1742092578.941777
0.25575,-0.0335,0.0005,-0.012634249,-0.00030525,-0.0093995,1742092578.956768
0.26125,-0.05575,-0.00325,-0.0139465,0.00027475,-0.008484,1742092578.970867
