acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.00925,0.00475,0.25,6.1000002e-05,0.0,-6.1000002e-05,1742092537.504221
0.00925,0.00475,0.25325,-6.1000002e-05,-1.5250001e-05,-4.575e-05,1742092537.517573
0.0095,0.005,0.25475,7.625e-05,4.575e-05,-4.575e-05,1742092537.531792
0.00925,0.00325,0.249,0.00024425,7.625e-05,-7.625e-05,1742092537.546463
0.00925,0.004,0.24925,-6.1000002e-05,0.0,-7.625e-05,1742092537.560488
0.00925,0.004,0.25275,-4.575e-05,1.5250001e-05,-6.1000002e-05,1742092537.57586
0.009,0.0045,0.255,-9.15e-05,1.5250001e-05,-4.575e-05,1742092537.589178
0.00925,0.005,0.251,7.625e-05,4.575e-05,-6.1000002e-05,1742092537.60353
0.009,0.0045,0.24775,0.00019825,6.1000002e-05,-7.625e-05,1742092537.617901
0.00925,0.0045,0.24825,-6.1000002e-05,-1.5250001e-05,-6.1000002e-05,1742092537.632389
0.0095,0.0045,0.25325,-0.00010675,-1.5250001e-05,-4.575e-05,1742092537.6468081
0.00975,0.004,0.25325,6.1000002e-05,6.1000002e-05,-6.1000002e-05,1742092537.6609778
0.01025,0.0035,0.251,6.1000002e-05,6.1000002e-05,-7.625e-05,1742092537.675931
0.01,0.00375,0.25125,-3.0500001e-05,0.0,-6.1000002e-05,1742092537.689564
0.00925,0.004,0.25125,-3.0500001e-05,0.0,-4.575e-05,1742092537.7039008
0.009,0.00425,0.25075,0.0,-1.5250001e-05,-6.1000002e-05,1742092537.7183099
0.00875,0.0045,0.251,1.5250001e-05,-1.5250001e-05,-6.1000002e-05,1742092537.7326221
0.009,0.0045,0.2515,0.0,0.0,-6.1000002e-05,1742092537.746794
0.009,0.0045,0.2515,1.5250001e-05,1.5250001e-05,-6.1000002e-05,1742092537.760962
0.0095,0.0045,0.25175,1.5250001e-05,3.0500001e-05,-7.625e-05,1742092537.775198
0.0095,0.0045,0.2515,1.5250001e-05,4.575e-05,-7.625e-05,1742092537.789508
0.009,0.0045,0.25125,1.5250001e-05,3.0500001e-05,-6.1000002e-05,1742092537.8038101
0.009,0.00425,0.25125,1.5250001e-05,1.5250001e-05,-6.1000002e-05,1742092537.817991
0.00925,0.00425,0.2515,0.0,3.0500001e-05,-6.1000002e-05,1742092537.8323252
0.0095,0.004,0.2515,1.5250001e-05,3.0500001e-05,-6.1000002e-05,1742092537.846557
0.0095,0.00375,0.25175,3.0500001e-05,1.5250001e-05,-6.1000002e-05,1742092537.860773
0.00925,0.004,0.2515,1.5250001e-05,1.5250001e-05,-4.575e-05,1742092537.874969
0.009,0.00425,0.25175,0.0,1.5250001e-05,-4.575e-05,1742092537.8893282
0.00925,0.0045,0.25175,0.0,3.0500001e-05,-7.625e-05,1742092537.9035149
0.0095,0.0045,0.2515,1.5250001e-05,3.0500001e-05,-7.625e-05,1742092537.9177752
0.00925,0.0045,0.251,4.575e-05,1.5250001e-05,-6.1000002e-05,1742092537.9320571
0.00925,0.0045,0.251,3.0500001e-05,3.0500001e-05,-6.1000002e-05,1742092537.946372
0.00925,0.0045,0.2515,3.0500001e-05,3.0500001e-05,-6.1000002e-05,1742092537.960588
0.00925,0.00425,0.2515,3.0500001e-05,3.0500001e-05,-7.625e-05,1742092537.975998
0.0095,0.0045,0.25125,3.0500001e-05,3.0500001e-05,-7.625e-05,1742092537.989009
0.0095,0.0045,0.25125,1.5250001e-05,3.0500001e-05,-6.1000002e-05,1742092538.003314
0.00925,0.0045,0.25175,1.5250001e-05,4.575e-05,-6.1000002e-05,1742092538.017468
0.009,0.0045,0.252,0.0,3.0500001e-05,-6.1000002e-05,1742092538.031817
0.009,0.0045,0.251,1.5250001e-05,1.5250001e-05,-6.1000002e-05,1742092538.046463
0.009,0.0045,0.2505,1.5250001e-05,4.575e-05,-4.575e-05,1742092538.0604858
0.009,0.0045,0.25225,-3.0500001e-05,6.1000002e-05,-4.575e-05,1742092538.074929
0.00925,0.00475,0.2525,-3.0500001e-05,6.1000002e-05,-6.1000002e-05,1742092538.08929
0.00975,0.00475,0.25175,4.575e-05,7.625e-05,-7.625e-05,1742092538.103627
0.01025,0.00375,0.25075,7.625e-05,6.1000002e-05,-6.1000002e-05,1742092538.117909
