acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.0045,-0.243,0.03225,0.00399775,0.0012970001,0.0031889998,1741836108.327134
0.00975,-0.2385,0.02875,0.00369275,0.0011445,0.0025787498,1741836108.341642
0.01125,-0.2385,0.0275,0.00381475,0.00036625,0.00157175,1741836108.355863
0.01225,-0.24425,0.02975,0.0037995,-1.5250001e-05,0.0012970001,1741836108.370531
0.01225,-0.24675,0.029,0.0037385002,0.00016775,0.001175,1741836108.384893
0.0115,-0.24625,0.0225,0.0033264998,0.0002595,0.00105275,1741836108.399544
0.01125,-0.24475,0.021,0.0023345,0.00016775,0.0007325,1741836108.4142091
0.01125,-0.244,0.0215,-0.00019825,-3.0500001e-05,-0.000183,1741836108.428421
0.01275,-0.244,0.02425,-0.0009155,-7.625e-05,-0.0005645,1741836108.4431381
0.013,-0.24475,0.02475,0.00061025,-0.00010675,-0.0012817499,1741836108.45782
0.01275,-0.2485,0.0205,0.00213625,7.625e-05,-0.0015565,1741836108.4723709
0.01175,-0.251,0.01675,0.00393675,0.0001525,-0.001648,1741836108.487036
0.01075,-0.257,0.01325,0.0036010002,-0.00013725001,-0.0016175,1741836108.501587
0.0105,-0.258,0.01375,0.0021819999,-0.00083925005,-0.0013427499,1741836108.516319
0.009,-0.25675,0.01675,0.00163275,-0.001114,-0.00099175,1741836108.531003
0.0085,-0.25525,0.0185,0.00064075,-0.0016175,-0.00035100002,1741836108.5456052
0.008,-0.2475,0.02025,0.00019825,-0.00175475,-0.00027475,1741836108.5602088
0.0075,-0.24375,0.02025,-0.000885,-0.0020905002,-0.0007935,1741836108.574941
0.007,-0.2415,0.01825,-0.001068,-0.002365,-0.0012665,1741836108.589587
0.00675,-0.24125,0.0155,0.00013725001,-0.0032347501,-0.0021515,1741836108.604466
0.00425,-0.24175,0.00825,0.00067150005,-0.00396725,-0.00238025,1741836108.6188211
0.00225,-0.2415,0.0045,-0.00102225,-0.0067597497,-0.00238025,1741836108.6344619
0.0035,-0.241,0.0,-0.0019225,-0.00852975,-0.0026854998,1741836108.648271
0.00275,-0.249,0.00875,-0.001831,-0.01019275,-0.00340275,1741836108.664269
0.00475,-0.3365,0.18925,-0.0021819999,-0.01216125,-0.00251775,1741836108.677734
-0.0115,-0.41575,0.44925,-0.00039675,-0.0085602505,0.00231925,1741836108.6925492
-0.20325,-0.42775,1.0,0.033081003,0.047057997,0.02946475,1741836108.7071428
-0.39125,-0.2325,0.955,0.06150825,0.10701,0.04403675,1741836108.721637
-0.579,-0.122,0.695,0.059951752,0.21057124,0.045166,1741836108.736233
-0.66475,-0.457,0.0585,0.0134735005,0.231079,0.044815,1741836108.750737
-0.61325,-0.4745,-0.19375,-0.03211975,0.22421275,0.06201175,1741836108.765526
-0.39575,-0.11125,-0.46475,-0.0081025,0.20617674,0.06631475,1741836108.780262
-0.26625,-0.0005,-0.57225,0.008026,0.1580505,0.051391497,1741836108.7949839
-0.14225,-0.03925,-0.669,-0.014938249,0.13049325,0.0373535,1741836108.809622
-0.13525,-0.12175,-0.6665,-0.035766497,0.0784455,0.0137635,1741836108.8245602
-0.075,-0.22575,-0.549,-0.0239715,0.0520325,0.00794975,1741836108.839137
-0.04175,-0.21875,-0.402,-0.008484,0.010086001,0.0093385,1741836108.8544981
0.0225,-0.17175,-0.1885,-0.01504525,0.0005035,0.01062,1741836108.8686342
0.06475,-0.1635,-0.16525,-0.02604675,-0.01289375,0.00785825,1741836108.884657
0.11075,-0.1675,-0.11625,-0.019744748,-0.022232,0.0048674997,1741836108.898179
0.09925,-0.185,-0.07925,-0.00596625,-0.03689575,-0.0020599999,1741836108.9141388
0.074,-0.25975,-0.035,-0.003769,-0.04068,-0.0043639997,1741836108.92785
0.06875,-0.29625,-0.026,0.006302,-0.0432435,-0.0031585,1741836108.944003
0.05925,-0.3165,-0.04875,0.01445,-0.0434875,-0.0004425,1741836108.957459
0.0565,-0.31075,-0.05275,0.0219115,-0.045654252,0.0047912505,1741836108.9720662
0.05625,-0.28125,-0.0345,0.018432502,-0.04550175,0.00691225,1741836108.986625
0.05925,-0.2645,-0.04525,0.008255,-0.04441825,0.009674,1741836109.001256
0.06325,-0.2345,-0.09825,0.0045625,-0.045898497,0.010147001,1741836109.0161018
0.06225,-0.221,-0.126,0.00149525,-0.049514752,0.009933501,1741836109.030457
0.05625,-0.21,-0.1415,-0.002243,-0.06358325,0.006836,1741836109.045253
0.034,-0.19975,-0.12125,-0.00163275,-0.071685754,0.0045625,1741836109.059948
0.02475,-0.19775,-0.101,0.004547,-0.08256525,0.00024425,1741836109.075098
0.0065,-0.1945,-0.06,0.0077515002,-0.08503725,-0.0019225,1741836109.08946
-0.0025,-0.19425,-0.03625,0.010498,-0.08668525,-0.0063934997,1741836109.1047869
-0.00775,-0.20625,0.01275,0.009002751,-0.085617,-0.0080872495,1741836109.118677
-0.00325,-0.2135,0.0245,0.0026245,-0.080657996,-0.009521499,1741836109.1347342
-0.0015,-0.2205,0.0345,0.00010675,-0.07872,-0.009292499,1741836109.1481469
-0.00475,-0.2165,0.04025,-0.00119025,-0.075805746,-0.0075835,1741836109.164397
-0.007,-0.20425,0.05575,-0.0007325,-0.073166,-0.00646975,1741836109.1780548
-0.0065,-0.20175,0.0625,0.00033575002,-0.064086996,-0.0048674997,1741836109.192754
-0.003,-0.21125,0.08525,0.00024425,-0.05947875,-0.0048217503,1741836109.207513
-0.0055,-0.21425,0.09975,-0.0019989999,-0.05432125,-0.00708,1741836109.222257
-0.0085,-0.22675,0.128,-0.0043182503,-0.051422,-0.008377,1741836109.237132
-0.0,-0.2405,0.1395,-0.00868225,-0.040924,-0.0091095,1741836109.2521229
0.0185,-0.2505,0.1565,-0.00976575,-0.034606997,-0.00842275,1741836109.267052
0.02125,-0.2455,0.159,-0.00697325,-0.02522275,-0.00555425,1741836109.2817001
0.0245,-0.243,0.15375,-0.00340275,-0.022186251,-0.004593,1741836109.2963278
0.02025,-0.24025,0.15175,0.0045012496,-0.0167695,-0.0047150003,1741836109.3109078
0.016,-0.2185,0.1565,0.0085755,-0.015213001,-0.0053709997,1741836109.325654
