acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
-0.02425,-0.00875,0.247,0.00013725001,-0.00065625,0.0003815,1741836204.402207
-0.023,-0.00875,0.25075,-0.00030525,-0.000885,0.0003205,1741836204.415921
-0.02275,-0.01075,0.25125,-0.00099175,-0.000946,0.00036625,1741836204.430675
-0.0235,-0.0125,0.249,-0.0012817499,-0.00096125,0.00051875,1741836204.445389
-0.02425,-0.01075,0.2475,-0.001587,-0.001175,0.000824,1741836204.4600918
-0.02525,-0.006,0.24625,-0.0018005001,-0.00137325,0.00080875,1741836204.4747362
-0.0255,-0.0055,0.24675,-0.002121,-0.00160225,0.00068675,1741836204.489621
-0.02475,-0.00725,0.249,-0.001953,-0.001953,0.0002595,1741836204.504448
-0.0245,-0.00775,0.25025,-0.0012207499,-0.0019685,3.0500001e-05,1741836204.519137
-0.0255,-0.0075,0.24925,0.00024425,-0.0017395001,-0.00019825,1741836204.5346508
-0.026,-0.00625,0.24775,7.625e-05,-0.001648,-0.000122000005,1741836204.548713
-0.0265,-0.00425,0.24575,-0.001526,-0.0016175,-4.575e-05,1741836204.564586
-0.02675,-0.00625,0.243,-0.00204475,-0.0018005001,-0.0001525,1741836204.578309
-0.02625,-0.0085,0.24325,-0.00184625,-0.00225825,-0.00029,1741836204.594193
-0.0275,-0.007,0.24425,-0.0013580001,-0.002365,-0.00029,1741836204.607816
-0.0285,-0.00525,0.24425,-0.001236,-0.002533,-0.00042725,1741836204.622643
-0.03075,-0.00525,0.244,-0.0017242499,-0.00270075,-0.000473,1741836204.6373708
-0.032,-0.0055,0.2435,-0.0023345,-0.00328075,-0.000534,1741836204.6521752
-0.0335,-0.00225,0.243,-0.0023345,-0.00369275,-0.00062550005,1741836204.667188
-0.0335,-0.001,0.24325,-0.00267025,-0.0045625,-0.00090025004,1741836204.6822112
-0.03375,-0.00125,0.243,-0.003006,-0.00494375,-0.00099175,1741836204.697203
-0.034,-0.0005,0.24275,-0.0033875,-0.00564575,-0.00112925,1741836204.71202
-0.03575,0.00125,0.2465,-0.0031585,-0.0059205,-0.0012665,1741836204.726711
-0.03725,0.001,0.24775,-0.0021972498,-0.006363,-0.001648,1741836204.741567
-0.03725,-0.002,0.255,-0.0019989999,-0.00637825,-0.0016632499,1741836204.7569652
-0.03625,-0.00275,0.259,-0.00187675,-0.0054015,-0.0014037499,1741836204.7711182
-0.03725,-0.00375,0.2605,-0.00146475,-0.0045012496,-0.0013275,1741836204.785891
-0.038,-0.003,0.261,-0.00105275,-0.002411,-0.0010375,1741836204.8006232
-0.03975,0.0005,0.256,-0.0012665,-0.001419,-0.00093075,1741836204.81541
-0.0425,0.0015,0.24875,-0.00187675,-0.00042725,-0.00099175,1741836204.830221
-0.04425,0.00075,0.23625,-0.00184625,-0.00071725,-0.00109875,1741836204.845131
-0.045,0.0005,0.233,-0.00131225,-0.00216675,-0.00109875,1741836204.859926
-0.043,0.0055,0.23575,-0.001068,-0.00292975,-0.001114,1741836204.8747141
-0.04275,0.00875,0.238,-3.0500001e-05,-0.0042115003,-0.0014037499,1741836204.8894908
-0.04925,0.01425,0.24,0.00059500005,-0.0050812503,-0.00181575,1741836204.904105
-0.05075,0.0015,0.283,0.0018005001,-0.0047150003,-0.001587,1741836204.918821
0.00775,-0.06825,0.714,0.0065612504,0.0043335,0.00109875,1741836204.9341471
-0.00425,-0.0295,0.963,0.0398255,0.0680085,0.00390625,1741836204.947833
-0.3075,0.0995,1.0,0.050903253,0.116333,-0.0019225,1741836204.962283
-0.47125,0.01575,0.924,0.04122925,0.16439825,-0.009842,1741836204.9768279
-0.44275,-0.10625,0.42925,-0.00148,0.2220765,-0.01245125,1741836204.991513
-0.327,-0.03425,0.17975,-0.00035100002,0.220932,-0.0077210004,1741836205.007062
