acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.24925,-0.006,-0.00975,-0.00029,-0.00062550005,-0.00045775,1742093390.371073
0.24875,-0.00775,-0.0095,-0.00013725001,-0.00054925,-0.0003815,1742093390.3848078
0.25,-0.007,-0.009,-0.00019825,-0.000473,-3.0500001e-05,1742093390.3994381
0.2515,-0.004,-0.00925,-0.000183,-0.00019825,0.0001525,1742093390.4139369
0.25275,-0.0005,-0.0115,-7.625e-05,-9.15e-05,-0.0001525,1742093390.4286458
0.2525,-0.0035,-0.0125,0.00010675,-0.000122000005,-0.0005035,1742093390.444034
0.25275,-0.00725,-0.01225,0.0001525,-0.00019825,-0.0004425,1742093390.457929
0.25375,-0.0065,-0.0115,0.00013725001,-0.000183,-0.000229,1742093390.4722931
0.254,-0.00375,-0.0105,0.0001525,-0.00010675,-0.0003205,1742093390.4868412
0.25425,-0.0035,-0.011,0.0,3.0500001e-05,-0.0003815,1742093390.50122
0.25725,-0.006,-0.00975,-0.00016775,4.575e-05,-0.000122000005,1742093390.5157251
0.2585,-0.00675,-0.0085,-0.00024425,0.0001525,9.15e-05,1742093390.530129
0.258,-0.00725,-0.009,0.000183,0.00065625,-0.00045775,1742093390.544571
0.2525,-0.00875,-0.01325,0.000473,0.000824,-0.00074775,1742093390.5590122
0.25125,-0.009,-0.01425,0.0005645,0.00074775,-0.0003205,1742093390.574464
0.25175,-0.00725,-0.01125,0.00042725,0.00067150005,0.00013725001,1742093390.5878022
0.25325,-0.0055,-0.00925,0.00024425,0.00086975005,0.00030525,1742093390.602131
0.2535,-0.0055,-0.007,0.00033575002,0.00119025,1.5250001e-05,1742093390.6165981
0.25075,-0.00725,-0.004,0.00054925,0.001831,-0.00024425,1742093390.631115
0.25375,-0.01,0.02625,0.00067150005,0.0016785001,-0.0001525,1742093390.645532
0.25875,-0.00925,0.0645,0.001114,0.000946,-0.000122000005,1742093390.6598132
0.27625,-0.01175,0.13125,0.0030365,-0.0020752498,0.0007935,1742093390.674349
0.375,-0.051,0.38125,0.00390625,-0.00334175,0.0012055,1742093390.688504
0.42575,-0.07275,0.52525,0.00201425,-0.0026245,0.0040435,1742093390.703968
0.46075,-0.1105,0.72,0.00054925,0.000763,0.00924675,1742093390.717247
0.426,-0.08625,0.73025,0.00029,0.016235251,0.018097,1742093390.731516
0.25675,0.0405,0.528,-0.00016775,0.02433775,0.01519775,1742093390.745909
0.18575,0.0535,0.34025,-0.00024425,0.030731251,0.00570675,1742093390.760248
0.13325,0.01375,0.10325,-0.002884,0.0398255,-0.020202748,1742093390.774694
0.025,-0.0605,-0.3705,9.15e-05,0.040969748,-0.027237,1742093390.7891169
-0.0345,-0.038,-0.52225,0.012741,0.03392025,-0.02648925,1742093390.804229
-0.08875,0.09,-0.6775,0.014495751,0.0265045,-0.024353001,1742093390.818243
-0.074,0.1345,-0.719,0.013153,0.0089569995,-0.02456675,1742093390.833853
0.01425,0.13925,-0.707,0.0106355,0.0012817499,-0.02487175,1742093390.847266
0.0615,0.113,-0.641,0.00585925,-0.01091,-0.017517,1742093390.861662
0.154,0.0285,-0.423,0.00463875,-0.01560975,-0.010009751,1742093390.876307
0.21175,-0.003,-0.28575,0.00408925,-0.018692,-0.00242625,1742093390.890809
0.2725,-0.0295,-0.1525,0.0041810004,-0.01652525,0.006073,1742093390.905439
0.31875,-0.0795,-0.00175,0.003662,-0.01115425,0.007782,1742093390.919942
0.3055,-0.09875,0.01875,0.0037079998,-0.00190725,0.009674,1742093390.934318
0.28975,-0.0805,0.0195,0.0054780003,-0.00112925,0.00862125,1742093390.948859
0.28025,-0.0515,0.00425,0.008788999,-0.00181575,0.001709,1742093390.9642
0.251,-0.0125,-0.0315,0.0084379995,-0.001419,-0.00062550005,1742093390.977814
0.23725,0.00325,-0.04725,0.0056,0.000122000005,-0.000824,1742093390.992329
0.21975,0.0285,-0.076,0.00434875,0.00045775,-0.00067150005,1742093391.006772
0.2145,0.0275,-0.08825,0.003769,0.0001525,-0.00131225,1742093391.02119
0.2145,0.019,-0.09525,0.00396725,-0.0017242499,-0.0042115003,1742093391.035695
0.22275,0.00175,-0.09625,0.004074,-0.00267025,-0.0050202496,1742093391.0502279
0.22725,0.004,-0.095,0.0024414998,-0.004013,-0.00367725,1742093391.070785
0.23625,0.0045,-0.08725,0.0010375,-0.00434875,-0.00239575,1742093391.079277
0.24025,-0.00325,-0.081,6.1000002e-05,-0.004593,-0.00080875,1742093391.094503
0.24425,-0.02625,-0.07225,-3.0500001e-05,-0.0044555003,0.00039675,1742093391.108469
0.24375,-0.03625,-0.067,-0.00099175,-0.0031585,0.004547,1742093391.122976
0.24725,-0.0325,-0.056,-0.00125125,-0.0027160002,0.00587475,1742093391.137571
0.2505,-0.02125,-0.054,-4.575e-05,-0.003128,0.00505075,1742093391.152301
0.24825,-0.002,-0.0545,0.00048825,-0.00367725,0.00396725,1742093391.1668952
0.2455,-0.0,-0.05625,0.00035100002,-0.0043335,0.00283825,1742093391.181422
0.24175,-0.00475,-0.05775,0.00149525,-0.0060882503,0.00112925,1742093391.1958761
0.22675,-0.00575,-0.06625,0.00115975,-0.005783,0.00070200005,1742093391.210442
0.22325,0.00225,-0.07025,-0.00201425,-0.00419625,0.002121,1742093391.225021
0.228,0.00625,-0.05975,-0.00334175,-0.0042725,0.0034637498,1742093391.239421
0.22925,0.00125,-0.055,-0.0050965,-0.004242,0.0049895,1742093391.254396
0.224,-0.00675,-0.054,-0.0054780003,-0.00390625,0.0048217503,1742093391.268468
0.22125,-0.014,-0.0555,-0.0040587503,-0.0036010002,0.0030975002,1742093391.284752
0.21975,-0.01775,-0.05675,-0.0022735,-0.0041504996,0.001648,1742093391.297598
0.223,-0.01125,-0.05075,-0.00061025,-0.00546275,-4.575e-05,1742093391.312248
