acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.01075,0.2435,0.0025,0.000412,0.000229,-0.00077825,1742093358.4949582
0.01025,0.242,0.00175,0.00039675,0.00027475,-0.00067150005,1742093358.50938
0.01125,0.24775,0.00225,0.0004425,0.00029,-0.00070200005,1742093358.524283
0.01075,0.24825,0.002,0.00036625,0.0002595,-0.00083925005,1742093358.537842
0.01325,0.2385,0.00025,0.00024425,0.00013725001,-0.00054925,1742093358.552267
0.01325,0.239,0.0005,0.00062550005,0.00016775,-0.00039675,1742093358.567136
0.00975,0.249,0.0035,0.00077825,0.00016775,-0.00057975,1742093358.580983
0.01,0.248,0.00425,0.00065625,0.00010675,-0.00068675,1742093358.595268
0.01125,0.24375,0.00375,0.00013725001,-1.5250001e-05,-0.0004425,1742093358.609785
0.01175,0.24325,0.00325,7.625e-05,1.5250001e-05,-0.00039675,1742093358.6249769
0.01125,0.246,0.0035,6.1000002e-05,3.0500001e-05,-0.00064075,1742093358.638378
0.0135,0.244,0.00275,-7.625e-05,-4.575e-05,-0.00062550005,1742093358.654138
0.01475,0.24175,0.0025,-0.000183,4.575e-05,-0.00048825,1742093358.667169
0.01325,0.24425,0.00225,-0.00010675,0.00019825,-0.000534,1742093358.681648
0.0125,0.24625,0.00175,-6.1000002e-05,0.00029,-0.00062550005,1742093358.69594
0.01225,0.24575,0.00125,-7.625e-05,0.000229,-0.00057975,1742093358.710371
0.01325,0.24225,0.00075,-4.575e-05,0.0002135,-0.000534,1742093358.725078
0.013,0.24275,0.00075,0.00024425,0.000229,-0.00057975,1742093358.738973
0.0125,0.245,0.00225,0.00035100002,0.0002135,-0.00061025,1742093358.754208
0.013,0.24425,0.003,0.00035100002,0.0002135,-0.00051875,1742093358.767811
0.01375,0.244,0.00375,0.00029,0.00024425,-0.00045775,1742093358.782079
0.0135,0.2445,0.00375,0.000229,0.0002595,-0.00042725,1742093358.796373
0.0135,0.2445,0.003,0.00013725001,0.0003205,-0.00039675,1742093358.8106859
0.0135,0.243,0.00175,0.00016775,0.0003205,-0.00036625,1742093358.8249412
0.01325,0.24375,0.0025,0.00033575002,0.00029,-0.00036625,1742093358.839277
0.01375,0.24475,0.0035,0.00029,0.00029,-0.0003815,1742093358.854201
0.0145,0.24375,0.003,3.0500001e-05,0.00024425,-0.0002595,1742093358.867852
0.0145,0.24325,0.00225,0.0,0.0002135,-0.00024425,1742093358.882159
0.01375,0.24425,0.00225,3.0500001e-05,0.0002135,-0.00030525,1742093358.8964648
0.0135,0.2445,0.002,0.00010675,0.00016775,-0.00042725,1742093358.910757
0.014,0.243,0.00175,0.00016775,9.15e-05,-0.0003815,1742093358.925199
0.01425,0.24325,0.0025,0.00030525,1.5250001e-05,-0.00027475,1742093358.939341
0.01425,0.24525,0.004,0.00024425,4.575e-05,-0.00029,1742093358.9540339
