acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.24625,-0.01675,-0.015,-0.0002135,9.15e-05,-0.00035100002,1742092891.427587
0.24625,-0.016,-0.0145,-4.575e-05,0.00016775,-0.00045775,1742092891.4404092
0.24575,-0.01625,-0.0145,0.000122000005,0.0002135,-0.00059500005,1742092891.454758
0.245,-0.0165,-0.0155,4.575e-05,0.000122000005,-0.00048825,1742092891.4692328
0.2455,-0.017,-0.016,-3.0500001e-05,7.625e-05,-0.00030525,1742092891.484274
0.2455,-0.01725,-0.01625,0.0001525,0.00010675,-0.00024425,1742092891.498255
0.24425,-0.018,-0.01725,0.00024425,7.625e-05,-0.00027475,1742092891.5126662
0.2445,-0.018,-0.01675,0.0004425,0.0,-0.0004425,1742092891.5271838
0.244,-0.018,-0.017,0.00061025,-0.00010675,-0.00059500005,1742092891.541814
0.24375,-0.01825,-0.01725,0.0007325,-0.00035100002,-0.00059500005,1742092891.556371
0.24275,-0.019,-0.01825,0.00074775,-0.00042725,-0.00048825,1742092891.57173
0.24175,-0.019,-0.01925,0.00074775,-0.0005035,-0.00033575002,1742092891.585377
0.241,-0.01975,-0.01975,0.00067150005,-0.00086975005,9.15e-05,1742092891.599778
0.242,-0.0225,-0.0195,0.00070200005,-0.00105275,0.00030525,1742092891.614223
0.243,-0.0235,-0.019,0.00105275,-0.0012055,0.00074775,1742092891.6286552
0.2425,-0.02025,-0.01875,0.00108325,-0.00119025,0.0010375,1742092891.643132
0.24125,-0.01625,-0.02075,0.0001525,-0.00149525,0.00169375,1742092891.657673
0.243,-0.01675,-0.0265,-0.000473,-0.0017242499,0.0020295,1742092891.672287
0.246,-0.01975,-0.03325,-0.00067150005,-0.001831,0.0021972498,1742092891.68679
0.25075,-0.00825,-0.0715,-0.00054925,-0.00175475,0.00231925,1742092891.701385
0.25225,0.005,-0.11325,-0.00077825,-0.00163275,0.002655,1742092891.7157729
0.2575,0.01475,-0.16525,-0.00411975,0.00013725001,0.00184625,1742092891.730158
0.27925,0.015,-0.273,-0.006012,0.0022735,-0.00074775,1742092891.744658
0.2655,0.01125,-0.3365,-0.0075072497,0.0086975,-0.0053405,1742092891.7591639
0.18325,-0.0065,-0.4505,-0.009674,0.011306751,-0.001526,1742092891.7737658
0.1385,-0.0175,-0.471,-0.014938249,0.00991825,0.0160675,1742092891.788268
0.067,-0.067,-0.42425,-0.01469425,0.0052337497,0.024536248,1742092891.8028858
0.03575,-0.07775,-0.37625,-0.0084379995,-0.0059815003,0.034729,1742092891.8173828
0.002,0.01425,-0.20375,-0.00393675,-0.0133667495,0.035324,1742092891.831789
0.043,0.07825,-0.04675,0.00239575,-0.023254499,0.03190625,1742092891.849036
0.13275,0.117,0.1545,0.0124665005,-0.043640252,0.0160675,1742092891.860369
0.4215,0.07975,0.587,0.007904,-0.04704275,0.012115501,1742092891.8746629
0.554,0.07325,0.73425,-0.0018005001,-0.030777,0.0087585,1742092891.889066
0.59075,0.06975,0.726,-0.0019685,-0.015335,0.0021057501,1742092891.903424
0.53025,0.02525,0.6385,0.00036625,0.00947575,-0.01251225,1742092891.917769
0.37075,-0.04775,0.4425,0.00254825,0.01690675,-0.018463248,1742092891.932116
0.2835,-0.054,0.322,0.0050965,0.02262875,-0.02244575,1742092891.946514
0.20225,-0.041,0.1975,0.0057220003,0.02857975,-0.02009575,1742092891.962143
0.0955,0.0045,0.0175,0.00416575,0.027481,-0.016159,1742092891.975051
0.081,0.01425,-0.01925,0.004013,0.01864625,-0.01330575,1742092891.989571
0.1105,0.00875,-0.03325,0.0053405,0.01351925,-0.0135955,1742092892.0040672
0.13675,0.005,-0.03525,0.00511175,0.0068055,-0.0091095,1742092892.018476
0.1775,0.013,-0.04675,0.00331125,0.00469975,-0.0046539996,1742092892.032887
0.196,0.02375,-0.04425,0.00064075,-9.15e-05,0.0012970001,1742092892.047198
0.2345,0.0395,-0.01875,0.000534,-0.00231925,0.0012817499,1742092892.061863
0.2455,0.03725,-0.005,0.00071725,-0.00367725,-1.5250001e-05,1742092892.075948
0.252,0.027,0.0085,0.00013725001,-0.00399775,-0.0020295,1742092892.091533
0.26525,-0.00875,0.03075,-0.000183,-0.00343325,-0.0020295,1742092892.104872
0.256,-0.02575,0.036,0.001587,-0.0012207499,-0.00061025,1742092892.1192892
0.263,-0.041,0.02525,0.00413525,-0.00033575002,0.00146475,1742092892.133667
0.273,-0.037,0.0155,0.004547,0.00070200005,0.00042725,1742092892.148134
0.25025,-0.00875,0.01325,0.0030975002,0.0013580001,-0.0013275,1742092892.162449
0.241,0.0035,0.01,0.0022125002,0.0014037499,-0.00160225,1742092892.176758
0.2365,0.00775,0.00575,0.00112925,0.00013725001,-0.00062550005,1742092892.191514
0.23675,-0.00275,-0.00125,0.00086975005,-0.00051875,-0.000763,1742092892.205798
0.23775,-0.0095,-0.005,0.0013427499,-0.0013580001,-0.0023039998,1742092892.2216058
0.23825,-0.023,-0.011,0.00184625,-0.00154125,-0.0025940002,1742092892.2348852
