acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.0055,0.00725,0.25025,1.5250001e-05,1.5250001e-05,-6.1000002e-05,1742092784.928873
0.00575,0.00725,0.24975,3.0500001e-05,1.5250001e-05,-7.625e-05,1742092784.942423
0.00525,0.007,0.25375,-1.5250001e-05,0.0,-7.625e-05,1742092784.956613
0.005,0.007,0.25175,0.0,4.575e-05,-7.625e-05,1742092784.971126
0.00525,0.008,0.25,-3.0500001e-05,3.0500001e-05,-6.1000002e-05,1742092784.985489
0.00575,0.008,0.25175,0.0,1.5250001e-05,-6.1000002e-05,1742092784.999636
0.00575,0.0075,0.25125,0.0,1.5250001e-05,-7.625e-05,1742092785.01406
0.00525,0.00725,0.25,1.5250001e-05,1.5250001e-05,-7.625e-05,1742092785.028417
0.00525,0.00725,0.2505,0.0,1.5250001e-05,-7.625e-05,1742092785.042611
0.0055,0.007,0.25225,0.0,3.0500001e-05,-6.1000002e-05,1742092785.0572329
0.00575,0.007,0.25175,3.0500001e-05,1.5250001e-05,-6.1000002e-05,1742092785.071455
0.0055,0.00775,0.251,1.5250001e-05,1.5250001e-05,-6.1000002e-05,1742092785.0857532
0.00525,0.00775,0.2515,0.0,1.5250001e-05,-6.1000002e-05,1742092785.101224
0.005,0.0075,0.25125,1.5250001e-05,1.5250001e-05,-6.1000002e-05,1742092785.114282
0.00525,0.00775,0.25075,1.5250001e-05,1.5250001e-05,-7.625e-05,1742092785.1285388
0.00525,0.00775,0.251,3.0500001e-05,1.5250001e-05,-6.1000002e-05,1742092785.142831
0.0055,0.00775,0.25225,1.5250001e-05,1.5250001e-05,-4.575e-05,1742092785.157069
0.00575,0.0075,0.252,0.0,1.5250001e-05,-4.575e-05,1742092785.171236
0.00575,0.00725,0.251,0.0,1.5250001e-05,-6.1000002e-05,1742092785.185456
0.0055,0.0075,0.2515,0.0,1.5250001e-05,-6.1000002e-05,1742092785.199761
0.0055,0.0075,0.25225,0.0,1.5250001e-05,-6.1000002e-05,1742092785.213995
0.0055,0.0075,0.2515,1.5250001e-05,1.5250001e-05,-4.575e-05,1742092785.228448
0.00525,0.00725,0.251,1.5250001e-05,3.0500001e-05,-4.575e-05,1742092785.242754
0.00525,0.0075,0.25175,1.5250001e-05,3.0500001e-05,-6.1000002e-05,1742092785.256923
0.00525,0.0075,0.252,0.0,1.5250001e-05,-7.625e-05,1742092785.2711658
0.00525,0.00725,0.25125,0.0,1.5250001e-05,-6.1000002e-05,1742092785.285462
0.00525,0.0075,0.25125,0.0,1.5250001e-05,-6.1000002e-05,1742092785.30094
0.00525,0.0075,0.2515,0.0,3.0500001e-05,-4.575e-05,1742092785.3139148
