acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.23025,0.0155,-0.024,0.00204475,0.00119025,0.00270075,1742093626.008468
0.2305,0.014,-0.02475,0.00201425,0.0010375,0.0021515,1742093626.022739
0.23025,0.0135,-0.026,0.0025025,0.0005645,0.000763,1742093626.048584
0.23275,0.017,-0.02625,0.0025634998,0.000183,0.00030525,1742093626.05132
0.2365,0.017,-0.0245,0.00190725,-0.000412,0.00030525,1742093626.065747
0.24125,0.02025,-0.023,0.00160225,-0.0005035,0.00013725001,1742093626.0850601
0.2415,0.01975,-0.02375,0.0008545,-0.0002135,-0.0003815,1742093626.105118
0.24125,0.01,-0.02225,0.00057975,-6.1000002e-05,-0.0005035,1742093626.117753
0.24275,0.00525,-0.02025,0.000473,-3.0500001e-05,-0.00051875,1742093626.1271942
0.2465,0.0045,-0.01775,0.0005645,-0.00027475,-0.000412,1742093626.138172
0.247,0.00625,-0.0175,0.00062550005,-0.0004425,-0.0003815,1742093626.152271
0.24825,0.007,-0.017,0.00051875,-0.00070200005,-0.00051875,1742093626.167925
0.2495,0.00425,-0.016,0.00051875,-0.00064075,-0.0007935,1742093626.189599
0.2495,0.0025,-0.016,0.000412,-1.5250001e-05,-0.00093075,1742093626.1984158
0.2465,0.00025,-0.01825,0.000229,0.00024425,-0.00074775,1742093626.2100391
0.244,-0.00075,-0.0205,-6.1000002e-05,0.00013725001,-0.00039675,1742093626.224546
0.24325,-0.0025,-0.0215,-0.00016775,-0.00016775,-0.000229,1742093626.239834
0.24575,-0.0035,-0.01925,-0.00035100002,-0.0004425,-3.0500001e-05,1742093626.25712
0.2495,-0.005,-0.01575,-0.000534,-0.00051875,3.0500001e-05,1742093626.268685
0.2495,-0.00675,-0.015,-0.0004425,-0.00045775,-1.5250001e-05,1742093626.283267
0.24925,-0.009,-0.01375,-0.00016775,-0.00070200005,0.0004425,1742093626.298738
0.24925,-0.00675,-0.0105,0.000229,-0.001007,0.00070200005,1742093626.3130722
0.2465,0.0055,-0.01,0.0012970001,-0.001648,0.0009765,1742093626.3279538
0.2365,0.081,-0.015,0.001526,-0.00190725,0.00105275,1742093626.3449442
0.24025,0.18775,-0.025,-0.001526,-0.0026854998,0.001068,1742093626.355525
0.23775,0.602,-0.059,-0.010589501,-0.0032195,0.001175,1742093626.37344
0.21975,0.78525,-0.07725,-0.033798248,-0.0044707498,-0.0054780003,1742093626.384535
0.19725,0.72725,-0.02625,-0.038452253,-0.00367725,-0.0149535,1742093626.3991208
0.19675,0.5555,0.03325,-0.041808996,-0.0031127501,-0.027984502,1742093626.4136362
0.19375,0.31325,0.10775,-0.04609675,-0.0048217503,-0.05021675,1742093626.428149
0.1985,-0.272,0.2115,-0.04600525,-0.004242,-0.051651,1742093626.442709
0.19,-0.52425,0.20475,-0.0420685,0.00390625,-0.02946475,1742093626.457243
0.17875,-0.73475,0.15375,-0.0379945,0.007843,-0.01454175,1742093626.4717922
0.208,-0.69775,0.1245,-0.0248565,0.00764475,-0.00064075,1742093626.486211
0.22425,-0.47275,0.0495,-0.017455999,0.0070647504,0.00027475,1742093626.500934
0.214,-0.343,0.026,-0.0078125,0.0076295,0.00048825,1742093626.51513
0.20475,-0.19525,-0.00825,-0.0050812503,0.00688175,-0.00054925,1742093626.52961
0.20425,-0.1665,-0.027,-0.00228875,0.0050812503,-0.0026854998,1742093626.544116
0.2045,-0.144,-0.04425,0.0026092501,-0.001953,-0.0044250004,1742093626.558722
0.2125,-0.1065,-0.05675,0.00328075,-0.0050812503,-0.00355525,1742093626.5732741
0.22075,-0.08225,-0.05425,0.00587475,-0.0065612504,-0.0047455,1742093626.587842
0.238,-0.05625,-0.038,0.0068969997,-0.0051574996,-0.0050355,1742093626.602422
0.243,-0.0605,-0.027,0.0049590003,-0.00242625,-0.00238025,1742093626.61695
0.24025,-0.07375,-0.0165,0.0040435,-0.00108325,-0.00090025004,1742093626.631551
