acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.2485,-0.05125,-0.00325,-0.004776,-0.00109875,-0.0044250004,1742093630.37741
0.24525,-0.067,-0.0035,-0.00463875,-0.0007325,-0.0047912505,1742093630.391722
0.24375,-0.076,-0.00275,-0.0043182503,-0.00024425,-0.00402825,1742093630.4064481
0.2465,-0.083,-0.00175,-0.00396725,-3.0500001e-05,-0.00317375,1742093630.421265
0.24625,-0.081,-0.00075,-0.0032195,0.00057975,-0.00157175,1742093630.435827
0.244,-0.07575,-0.0005,-0.003128,0.000885,-0.00115975,1742093630.45035
0.243,-0.0755,-0.00075,-0.00292975,0.001175,-0.00090025004,1742093630.464916
0.239,-0.0795,-0.0045,-0.002655,0.001236,-0.00071725,1742093630.479507
0.2365,-0.0785,-0.00725,-0.00193775,0.0012055,0.0,1742093630.493958
0.23475,-0.06775,-0.00925,-0.0015565,0.001068,0.00019825,1742093630.5083961
0.23725,-0.06425,-0.008,-0.0013580001,0.000885,0.00039675,1742093630.5228438
0.23825,-0.061,-0.00825,-0.0014037499,0.00068675,0.00102225,1742093630.5372832
0.2355,-0.06225,-0.01125,-0.0014037499,0.0008545,0.001114,1742093630.551838
0.2335,-0.06525,-0.013,-0.00108325,0.00119025,0.001068,1742093630.566373
0.23225,-0.065,-0.01475,-0.00077825,0.00102225,0.0010375,1742093630.5810728
0.2335,-0.06125,-0.01425,-0.0002595,0.00016775,0.00105275,1742093630.5953019
0.237,-0.05275,-0.01225,-0.00016775,-0.00029,0.00090025004,1742093630.609849
0.238,-0.052,-0.01175,-0.00035100002,-0.0005035,0.000534,1742093630.624405
0.2395,-0.0585,-0.01125,-0.000534,-0.0003205,0.00048825,1742093630.638995
0.2395,-0.06,-0.012,-0.00057975,-0.0002595,0.00045775,1742093630.6535602
0.23875,-0.05925,-0.01225,-0.00065625,-0.00042725,0.0007325,1742093630.66815
0.2405,-0.05775,-0.0115,-0.00083925005,-0.00051875,0.00096125,1742093630.682734
0.24325,-0.05975,-0.01175,-0.00099175,-0.00035100002,0.00083925005,1742093630.6973472
0.247,-0.1,0.00375,-0.0005035,0.00010675,0.00071725,1742093630.711977
0.23525,-0.1525,0.02475,-0.00090025004,0.0017395001,-3.0500001e-05,1742093630.726311
0.1975,-0.38875,0.0765,-0.00146475,0.00201425,-0.00181575,1742093630.741424
0.203,-0.57425,0.09775,0.00541675,0.0003815,-0.0017852499,1742093630.755278
0.2235,-0.86575,0.15525,0.01628125,-0.00030525,0.00494375,1742093630.769682
0.223,-0.84675,0.19575,0.03044125,-0.00102225,0.013321,1742093630.784071
0.236,-0.5815,0.22875,0.05441275,-0.0023039998,0.027984502,1742093630.798465
0.22725,-0.356,0.209,0.06233225,-0.00093075,0.03591925,1742093630.812992
0.2095,-0.05025,0.17475,0.067504995,0.0028687501,0.04408275,1742093630.827296
0.215,0.59175,0.09075,0.063446,0.0031585,0.040954497,1742093630.8420548
0.23175,0.788,0.029,0.042297248,0.0050965,0.0233155,1742093630.855766
0.23925,0.78275,-0.09175,0.0356445,0.0063325,0.008377,1742093630.8701491
0.23,0.65925,-0.10775,0.03155525,0.0038757501,-0.01573175,1742093630.884387
0.221,0.4365,-0.07075,0.0254975,0.00024425,-0.015457249,1742093630.898706
