acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
-0.246,-0.00975,-0.00625,-0.00064075,-0.00157175,-0.0005645,1742093647.98717
-0.24125,-0.00825,0.00225,-0.00074775,-0.00146475,-0.000885,1742093648.00101
-0.24125,-0.009,0.0045,-0.000473,-0.001114,-0.00105275,1742093648.015705
-0.2445,-0.01625,-0.003,-0.00057975,-0.0013427499,-0.00070200005,1742093648.030522
-0.24675,-0.0205,-0.006,-0.00119025,-0.0012207499,6.1000002e-05,1742093648.0452511
-0.24925,-0.02275,-0.0035,-0.00102225,-0.0012207499,0.00013725001,1742093648.059972
-0.24925,-0.0195,-0.0035,0.0002595,-0.0021819999,0.00016775,1742093648.0744152
-0.25025,-0.01725,-0.00375,0.00033575002,-0.0025940002,0.00016775,1742093648.089086
-0.25075,-0.0165,0.0005,0.00030525,-0.0024414998,-0.00019825,1742093648.103604
-0.2505,-0.01375,0.00575,0.00086975005,-0.00115975,-0.0011445,1742093648.1186628
-0.25175,-0.00825,0.00575,0.00096125,-0.00080875,-0.00090025004,1742093648.13259
-0.2525,-0.0085,0.0035,0.00048825,-0.00039675,0.00029,1742093648.147079
-0.254,-0.016,0.0025,7.625e-05,-0.000122000005,0.00064075,1742093648.161762
-0.2545,-0.0185,0.00075,-0.000412,0.00010675,0.00086975005,1742093648.176235
-0.253,-0.02025,-0.00275,-0.0005645,0.0002595,0.001068,1742093648.190754
-0.2525,-0.02075,-0.00175,-0.00051875,0.000534,0.00137325,1742093648.205311
-0.25125,-0.01825,-0.0015,-0.0001525,0.000229,0.00115975,1742093648.219859
-0.24975,-0.01625,-0.003,0.0003205,-0.000229,0.00070200005,1742093648.23438
-0.2475,-0.01425,-0.0015,0.00054925,-0.00059500005,-0.000183,1742093648.249048
-0.2465,-0.0145,-0.001,0.00036625,-0.00027475,-0.00019825,1742093648.263699
-0.24625,-0.0155,-0.0015,-7.625e-05,0.00033575002,0.00036625,1742093648.2788951
-0.2485,-0.01625,-0.00225,-0.0001525,0.00035100002,0.000534,1742093648.2928379
-0.25075,-0.0145,-0.00425,-0.0002595,-0.000122000005,0.0004425,1742093648.309005
-0.2525,-0.0135,-0.006,-0.00039675,-0.00035100002,9.15e-05,1742093648.322121
-0.25075,-0.01625,-0.00225,-0.00074775,-0.00029,-0.00065625,1742093648.336832
-0.24875,-0.02075,0.00225,-0.00083925005,-0.00013725001,-0.00065625,1742093648.352278
-0.2495,-0.0205,0.00075,-0.00045775,-0.000229,-0.0001525,1742093648.366105
-0.249,-0.01925,0.0005,-0.0001525,-0.0002595,-9.15e-05,1742093648.3806741
-0.24825,-0.01725,0.002,0.00042725,-9.15e-05,-0.00016775,1742093648.3952699
-0.24825,-0.013,-0.00225,0.00039675,-0.00016775,-9.15e-05,1742093648.4099252
-0.24775,-0.01425,-0.00425,6.1000002e-05,-0.000229,7.625e-05,1742093648.424503
-0.24725,-0.01725,-0.00425,-0.00064075,-0.00030525,0.00019825,1742093648.4391081
-0.24675,-0.01925,-0.0055,-0.00045775,-0.0005035,7.625e-05,1742093648.453696
-0.24625,-0.0175,-0.006,0.000122000005,-0.000885,0.00013725001,1742093648.469167
-0.246,-0.014,-0.006,0.000183,-0.00102225,0.00027475,1742093648.4828422
-0.24675,-0.01325,-0.00575,0.00024425,-0.00112925,0.00054925,1742093648.498535
-0.2475,-0.01625,-0.00325,0.00013725001,-0.0012207499,0.00057975,1742093648.512028
-0.24725,-0.017,-0.0015,0.000229,-0.00096125,0.00013725001,1742093648.526608
-0.2475,-0.0125,-0.003,0.00030525,-0.0007325,-4.575e-05,1742093648.5412369
-0.24825,-0.013,-0.00525,-6.1000002e-05,-0.00070200005,0.000122000005,1742093648.555937
-0.2485,-0.0185,-0.00425,-0.00024425,-0.00067150005,6.1000002e-05,1742093648.5704792
-0.24775,-0.02025,-0.00175,-0.00016775,-0.0005645,-0.00010675,1742093648.585622
-0.2495,-0.019,-0.0005,3.0500001e-05,-0.00027475,-0.0002595,1742093648.599962
-0.2515,-0.015,-0.0025,0.00029,-4.575e-05,-0.0002595,1742093648.6144881
-0.252,-0.0105,-0.00425,0.000824,-0.000122000005,-0.000412,1742093648.629142
-0.251,-0.01175,-0.00375,0.00068675,-0.00027475,-0.00045775,1742093648.6437309
-0.251,-0.0145,-0.0025,0.000885,-0.00019825,-0.0010375,1742093648.6585338
-0.251,-0.01375,-0.003,0.0011445,-9.15e-05,-0.0013580001,1742093648.672991
-0.25125,-0.01425,-0.00425,0.00083925005,1.5250001e-05,-0.0013885,1742093648.688631
-0.2525,-0.018,-0.00475,0.00062550005,-4.575e-05,-0.0011445,1742093648.7021272
-0.2525,-0.01825,-0.005,0.000824,-0.0003815,-0.00033575002,1742093648.716693
-0.2525,-0.0165,-0.0045,0.00105275,-0.00065625,-7.625e-05,1742093648.731318
-0.2515,-0.014,-0.00275,0.00184625,-0.00108325,-0.000473,1742093648.745974
-0.249,-0.0115,-0.00175,0.002121,-0.001236,-0.00064075,1742093648.7606258
-0.248,-0.01325,-0.004,0.0020599999,-0.001419,-0.00045775,1742093648.775218
-0.24825,-0.01525,-0.006,0.0013885,-0.00184625,0.0002135,1742093648.789875
-0.24875,-0.0155,-0.00525,0.001236,-0.0019989999,0.00033575002,1742093648.8044522
-0.248,-0.01675,-0.004,0.00112925,-0.00254825,0.00054925,1742093648.8189921
-0.24825,-0.0175,-0.0045,0.001175,-0.002884,0.0005645,1742093648.83358
-0.2475,-0.01625,-0.0055,0.001419,-0.0038757501,0.0012665,1742093648.848769
-0.2475,-0.015,-0.00725,0.0012207499,-0.0044250004,0.0018005001,1742093648.8626401
-0.24775,-0.016,-0.00925,0.000763,-0.0050812503,0.00242625,1742093648.8771799
-0.248,-0.024,-0.0155,0.00074775,-0.0051269997,0.0022735,1742093648.891637
-0.2485,-0.02625,-0.01725,0.0008545,-0.0045777503,0.001648,1742093648.906275
-0.24775,-0.02175,-0.018,0.00062550005,-0.0021057501,0.000412,1742093648.920794
-0.24775,-0.01975,-0.0205,1.5250001e-05,-0.0012665,0.00042725,1742093648.935364
-0.24925,-0.018,-0.02375,-0.00071725,-0.0003205,0.00036625,1742093648.9499662
-0.2505,-0.01425,-0.02325,-0.00054925,-0.000229,0.0002135,1742093648.9645948
-0.2505,-0.016,-0.0215,-0.00024425,-0.000763,0.0,1742093648.979244
-0.24925,-0.021,-0.017,0.0,-0.00064075,-0.00036625,1742093648.993802
-0.2475,-0.02075,-0.01475,9.15e-05,-6.1000002e-05,-0.00051875,1742093649.0091572
-0.24875,-0.01825,-0.01475,-0.00024425,0.00013725001,-0.0002135,1742093649.023019
-0.2495,-0.017,-0.01525,-0.00068675,0.00029,-0.00013725001,1742093649.03762
