acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.0325,-0.24875,0.05575,0.0018615,1.5250001e-05,0.00148,1742093652.7223501
0.03425,-0.24825,0.0565,0.0015105,0.00068675,0.0010375,1742093652.736394
0.029,-0.24925,0.05275,0.0015105,0.00093075,0.000946,1742093652.749712
0.02325,-0.24825,0.05,0.0015565,0.0009155,0.000885,1742093652.76401
0.01975,-0.24675,0.048,0.00149525,-4.575e-05,0.00090025004,1742093652.77908
0.02175,-0.2465,0.04625,0.00146475,-0.00065625,0.00096125,1742093652.792941
0.02475,-0.24625,0.0465,0.00157175,-0.00109875,0.000412,1742093652.808746
0.02825,-0.24625,0.04775,0.00177,-0.0009155,6.1000002e-05,1742093652.821614
0.02775,-0.2465,0.04825,0.00213625,-0.00039675,-0.0004425,1742093652.8359838
0.027,-0.24525,0.04875,0.00216675,-0.0002595,-0.00062550005,1742093652.850483
0.02575,-0.24575,0.04825,0.00216675,-0.00029,-0.00061025,1742093652.864901
0.02475,-0.2455,0.047,0.0021819999,-0.00065625,0.00042725,1742093652.8792572
0.02475,-0.24525,0.04475,0.0020599999,-0.00067150005,0.00105275,1742093652.893559
0.02475,-0.24625,0.0435,0.0014495,-0.00061025,0.001419,1742093652.9081962
0.02875,-0.2465,0.0435,0.001236,-0.00062550005,0.00115975,1742093652.9221802
0.03175,-0.24525,0.045,0.0016175,-0.00033575002,-3.0500001e-05,1742093652.936626
0.03125,-0.243,0.045,0.001953,-0.00010675,-0.00048825,1742093652.951104
0.03025,-0.246,0.04325,0.00201425,0.000183,-0.00010675,1742093652.965455
0.027,-0.24975,0.0415,0.001831,0.00030525,0.00016775,1742093652.979808
0.0235,-0.24775,0.04075,0.0017242499,0.00035100002,0.00019825,1742093652.993973
0.021,-0.246,0.0395,0.00148,4.575e-05,0.00030525,1742093653.008607
0.0225,-0.24575,0.0395,0.00131225,-7.625e-05,0.00059500005,1742093653.022599
0.02475,-0.24725,0.04025,0.0012970001,-0.00024425,0.000946,1742093653.036879
0.02725,-0.25,0.04075,0.0012055,-0.00027475,0.00070200005,1742093653.051129
0.029,-0.24975,0.0415,0.00083925005,-0.00030525,-0.0001525,1742093653.0656571
0.02925,-0.247,0.04125,0.0008545,-0.0003205,-0.000473,1742093653.080387
0.028,-0.246,0.04025,0.0009765,-0.00033575002,-0.0007325,1742093653.0948842
0.02675,-0.24375,0.0395,0.00096125,-0.0003815,-0.00086975005,1742093653.109233
0.02575,-0.2415,0.03775,0.0007935,-0.00048825,-0.00059500005,1742093653.123664
0.02625,-0.24375,0.03775,0.00062550005,-0.00054925,0.00016775,1742093653.138786
0.0255,-0.246,0.039,0.00051875,-0.00045775,0.0002135,1742093653.1525419
0.02625,-0.2465,0.03925,0.000183,-0.00024425,4.575e-05,1742093653.1669078
0.028,-0.24875,0.0395,0.00016775,-0.000122000005,3.0500001e-05,1742093653.181076
0.0275,-0.2505,0.03925,0.00036625,0.0,-0.000122000005,1742093653.195476
0.02625,-0.25175,0.0385,0.00137325,-9.15e-05,-0.00115975,1742093653.2098858
0.0235,-0.25125,0.03575,0.0019225,-0.0003205,-0.0017395001,1742093653.224371
0.024,-0.24975,0.03525,0.002655,-0.000763,-0.0023497501,1742093653.2390358
0.024,-0.24275,0.03625,0.00270075,-0.00090025004,-0.00242625,1742093653.253373
0.0235,-0.2395,0.03625,0.00184625,-0.00102225,-0.00190725,1742093653.2691588
0.025,-0.242,0.03725,0.0012817499,-0.001007,-0.0012970001,1742093653.282179
0.02575,-0.2425,0.03775,0.00039675,-0.000824,-6.1000002e-05,1742093653.296681
0.02775,-0.247,0.03725,0.00013725001,-0.00064075,0.00051875,1742093653.311201
0.0265,-0.24975,0.0365,6.1000002e-05,-0.00042725,0.00093075,1742093653.32555
0.025,-0.25,0.036,0.00013725001,-1.5250001e-05,0.000763,1742093653.3399072
0.02175,-0.24725,0.03475,0.00019825,4.575e-05,0.00048825,1742093653.3541791
0.01925,-0.24725,0.03375,0.00024425,-0.00013725001,0.0,1742093653.369193
0.01975,-0.2485,0.0345,0.00013725001,-0.00033575002,-0.00035100002,1742093653.3829849
0.02275,-0.25,0.0355,6.1000002e-05,-0.00062550005,-0.00099175,1742093653.398752
0.026,-0.2515,0.03625,0.0002135,-0.0005035,-0.0012055,1742093653.4118981
0.025,-0.24975,0.03575,0.000412,-0.00030525,-0.0012970001,1742093653.426388
0.02275,-0.24725,0.03325,0.00054925,-4.575e-05,-0.00086975005,1742093653.440783
