acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
-0.2485,-0.0085,-0.0095,9.15e-05,0.00029,-0.00013725001,1742093789.592309
-0.25,-0.01025,-0.009,0.000122000005,0.0001525,-0.00010675,1742093789.6063712
-0.25,-0.0095,-0.0085,0.000183,-6.1000002e-05,0.00016775,1742093789.620853
-0.2495,-0.00875,-0.00875,0.00024425,-9.15e-05,0.000183,1742093789.635403
-0.2495,-0.00975,-0.00975,0.00029,-7.625e-05,0.00016775,1742093789.649899
-0.25,-0.01075,-0.0105,0.0002595,-6.1000002e-05,0.00030525,1742093789.664479
-0.24875,-0.011,-0.0115,0.00024425,-7.625e-05,0.00042725,1742093789.67906
-0.2475,-0.01025,-0.011,0.000122000005,-6.1000002e-05,0.000534,1742093789.693612
-0.2485,-0.01,-0.01025,0.00016775,-1.5250001e-05,0.00051875,1742093789.708451
-0.24975,-0.01,-0.01025,0.00029,0.00010675,0.00054925,1742093789.722545
-0.24975,-0.01,-0.011,0.00029,0.00016775,0.00059500005,1742093789.737204
-0.2495,-0.0095,-0.01125,0.00030525,0.00024425,0.00068675,1742093789.751484
-0.24925,-0.01125,-0.0095,0.0003815,0.00029,0.00065625,1742093789.766325
-0.2495,-0.0115,-0.01,0.000534,0.000412,0.00061025,1742093789.7805061
-0.24975,-0.011,-0.01225,0.0007325,0.00065625,0.0005645,1742093789.7950022
-0.24975,-0.0115,-0.01175,0.00059500005,0.000763,0.00062550005,1742093789.809498
-0.2495,-0.01125,-0.01125,0.000412,0.000885,0.00077825,1742093789.8239849
-0.24875,-0.01325,-0.009,0.00035100002,0.00090025004,0.000763,1742093789.838478
-0.2485,-0.01325,-0.009,0.00045775,0.00090025004,0.00064075,1742093789.852988
-0.249,-0.0125,-0.00875,0.00045775,0.00086975005,0.00054925,1742093789.867486
-0.2495,-0.0125,-0.0085,0.0004425,0.00074775,0.000412,1742093789.882006
-0.2495,-0.01275,-0.00775,0.00051875,0.00071725,0.00036625,1742093789.897045
-0.2495,-0.01275,-0.00825,0.00071725,0.00068675,0.0002595,1742093789.9110022
-0.249,-0.013,-0.00975,0.00065625,0.00065625,0.00019825,1742093789.9265459
-0.249,-0.01325,-0.00925,0.00048825,0.00064075,0.00013725001,1742093789.939966
-0.24925,-0.0135,-0.0085,0.00019825,0.00065625,-1.5250001e-05,1742093789.954547
-0.249,-0.01275,-0.009,0.00013725001,0.00070200005,-4.575e-05,1742093789.969056
-0.24925,-0.01275,-0.00875,1.5250001e-05,0.00074775,-4.575e-05,1742093789.9835892
-0.25025,-0.0125,-0.00825,4.575e-05,0.00074775,-6.1000002e-05,1742093789.9981701
-0.2525,-0.01775,-0.00475,7.625e-05,0.000885,0.0001525,1742093790.0128262
-0.25825,-0.0375,0.00225,0.00010675,0.0012665,0.00093075,1742093790.027176
-0.259,-0.0385,-0.0115,0.00068675,0.00175475,0.00367725,1742093790.041745
-0.254,-0.02775,-0.013,0.00010675,0.0013427499,0.0050355,1742093790.0579782
-0.2505,-0.02525,-0.00925,-0.00045775,0.00093075,0.0060272496,1742093790.070667
-0.24775,-0.01975,-0.007,-0.0005035,0.0005035,0.0063934997,1742093790.085172
-0.243,-0.01025,-0.007,-0.00068675,0.00036625,0.0056915004,1742093790.099848
-0.24075,-0.0085,-0.00625,-0.00108325,0.00030525,0.00314325,1742093790.114367
-0.23875,-0.00925,-0.0025,-0.0012817499,0.000473,0.00169375,1742093790.128902
-0.2395,-0.01025,-0.00125,-0.0012970001,0.0010375,-0.00090025004,1742093790.143559
-0.2435,-0.01625,-0.001,-0.001175,0.00125125,-0.00184625,1742093790.158263
-0.24725,-0.01725,-0.00275,-0.00071725,0.00115975,-0.00279225,1742093790.173005
-0.25,-0.016,-0.00275,-0.00077825,0.0008545,-0.0028687501,1742093790.187669
-0.24975,-0.0165,-0.00175,-0.00115975,0.0003815,-0.002655,1742093790.202304
-0.25125,-0.021,-0.002,-0.001175,0.00033575002,-0.00239575,1742093790.217142
-0.25225,-0.02275,-0.005,-0.00105275,0.000229,-0.0019685,1742093790.2316968
-0.251,-0.02,-0.00425,-0.00048825,-0.000229,-0.000824,1742093790.246482
-0.25,-0.01725,-0.00025,-0.00035100002,-0.00035100002,-0.0003205,1742093790.261107
-0.24975,-0.015,0.0025,-0.000183,3.0500001e-05,0.0001525,1742093790.276413
-0.25175,-0.00975,-0.00125,-0.0001525,0.00035100002,0.00013725001,1742093790.290266
-0.251,-0.0085,-0.003,-0.00042725,0.00054925,-0.00030525,1742093790.304838
-0.2495,-0.0095,-0.00025,-0.0007325,0.00064075,-0.00051875,1742093790.3194182
-0.25025,-0.01,-0.002,-0.000763,0.000885,-0.0012055,1742093790.334198
-0.25,-0.01225,-0.004,-0.00064075,0.00086975005,-0.00149525,1742093790.349029
-0.2495,-0.01425,-0.004,-0.000534,0.0007935,-0.0015565,1742093790.363722
-0.24925,-0.0165,-0.0045,-0.000534,0.000763,-0.0013275,1742093790.3784509
-0.2495,-0.01475,-0.00575,-0.000183,0.00051875,-0.00093075,1742093790.3931892
-0.25,-0.01125,-0.0075,-7.625e-05,0.00030525,-0.00093075,1742093790.408211
-0.25,-0.01075,-0.0055,-3.0500001e-05,7.625e-05,-0.00109875,1742093790.422587
-0.25,-0.01075,-0.00325,0.0,0.000122000005,-0.0011445,1742093790.437338
-0.25,-0.01125,-0.00325,-9.15e-05,0.00016775,-0.00119025,1742093790.451892
-0.24975,-0.0125,-0.00325,-0.00019825,0.0002595,-0.00119025,1742093790.466969
-0.2495,-0.01525,-0.00125,-0.00013725001,0.00030525,-0.001068,1742093790.481256
-0.249,-0.015,-0.00025,0.00019825,0.00051875,-0.00057975,1742093790.4968479
-0.2495,-0.0115,-0.0015,0.0003815,0.00068675,-0.00042725,1742093790.51056
-0.25025,-0.01,-0.004,0.00061025,0.00070200005,-0.00068675,1742093790.525077
-0.24875,-0.01225,-0.005,0.0005645,0.00054925,-0.000885,1742093790.539567
-0.2475,-0.0145,-0.00225,0.00029,0.000412,-0.00090025004,1742093790.554198
-0.246,-0.01325,0.0,0.0002595,0.00048825,-0.000763,1742093790.568898
-0.2465,-0.0115,-0.0005,-1.5250001e-05,0.0007325,-0.00061025,1742093790.5834858
-0.24775,-0.01175,-0.00225,-0.0001525,0.0007325,-0.00067150005,1742093790.598111
-0.2475,-0.01425,-0.00075,-0.0002595,0.00068675,-0.00074775,1742093790.61264
-0.24775,-0.01575,-0.0015,-0.00016775,0.00071725,-0.0005035,1742093790.6272728
-0.24775,-0.0145,-0.00375,-1.5250001e-05,0.00068675,-0.00029,1742093790.6419818
-0.248,-0.01325,-0.00425,-3.0500001e-05,0.00029,-0.00013725001,1742093790.656708
-0.24875,-0.0115,-0.003,0.00010675,6.1000002e-05,-0.00024425,1742093790.67118
-0.2485,-0.01125,-0.00175,0.00010675,-0.00030525,-0.00057975,1742093790.687037
-0.24775,-0.013,0.00225,-4.575e-05,-0.0002595,-0.00067150005,1742093790.70045
-0.2475,-0.014,0.003,-0.00013725001,0.000122000005,-0.00062550005,1742093790.716256
-0.24875,-0.01425,0.001,-0.00016775,0.00027475,-0.00048825,1742093790.72972
-0.249,-0.0135,-0.00075,-0.00010675,0.00016775,-0.0002595,1742093790.744266
-0.24875,-0.01275,-0.00225,-6.1000002e-05,-3.0500001e-05,-0.00013725001,1742093790.75908
-0.24875,-0.01225,-0.00175,4.575e-05,-0.00042725,0.000122000005,1742093790.7736
-0.248,-0.0105,0.00075,9.15e-05,-0.0005035,0.0001525,1742093790.787969
-0.24725,-0.01,0.00225,0.0001525,-0.00045775,7.625e-05,1742093790.802461
-0.2475,-0.00975,0.003,0.00013725001,0.0,-0.000183,1742093790.817132
-0.25125,-0.00925,0.0005,0.0001525,0.00016775,-0.00033575002,1742093790.831768
-0.2525,-0.01025,-0.001,0.000183,3.0500001e-05,-0.000473,1742093790.8469179
-0.252,-0.0135,0.00075,0.00024425,-0.000122000005,-0.00033575002,1742093790.861012
-0.25125,-0.0125,0.00225,0.00057975,-0.000122000005,0.0001525,1742093790.876588
-0.2505,-0.00675,0.003,0.00074775,0.0,0.000183,1742093790.889909
-0.2495,-0.00625,0.003,0.00062550005,0.00036625,-0.00024425,1742093790.9043012
-0.2485,-0.01025,0.00125,0.000534,0.0005645,-0.0004425,1742093790.9188921
-0.2485,-0.0115,-0.001,0.00070200005,0.00064075,-0.00054925,1742093790.9335501
-0.24875,-0.01125,-0.006,0.0007935,0.000412,-0.000534,1742093790.948085
-0.24875,-0.011,-0.005,0.0007935,9.15e-05,-0.00048825,1742093790.962582
-0.2485,-0.01075,-0.002,0.00070200005,-0.00027475,-0.000473,1742093790.9773178
-0.249,-0.01075,0.00125,0.00062550005,-0.00019825,-0.0005035,1742093790.991918
-0.2495,-0.011,0.00025,0.0005645,0.000122000005,-0.00061025,1742093791.00639
-0.251,-0.01,-0.003,0.00054925,0.00013725001,-0.00070200005,1742093791.0208561
-0.25175,-0.00975,-0.00325,0.00051875,-6.1000002e-05,-0.00096125,1742093791.035507
-0.2505,-0.01275,0.00125,0.00042725,-0.00013725001,-0.0009765,1742093791.0500731
-0.2495,-0.0145,0.003,0.00035100002,0.00010675,-0.00051875,1742093791.0644732
-0.24925,-0.01325,0.00025,0.0005035,0.00029,-0.0002135,1742093791.078988
-0.2495,-0.01075,-0.0025,0.00062550005,0.00033575002,-1.5250001e-05,1742093791.093529
-0.24975,-0.0085,-0.00475,0.0007325,9.15e-05,-0.00010675,1742093791.108175
-0.2495,-0.00875,-0.00275,0.00067150005,-9.15e-05,-0.000229,1742093791.122889
-0.24875,-0.009,-0.0,0.0005035,-0.00013725001,-0.0004425,1742093791.137422
-0.248,-0.0095,0.00325,0.0003815,3.0500001e-05,-0.00048825,1742093791.151998
-0.24825,-0.00975,0.00275,0.00019825,0.000412,-0.00048825,1742093791.166645
-0.24825,-0.0105,-0.0,0.00019825,0.0004425,-0.00045775,1742093791.181086
-0.248,-0.011,-0.00025,0.00035100002,0.0002595,-0.00035100002,1742093791.196177
-0.24725,-0.01075,-0.00025,0.0003815,0.00016775,-0.000229,1742093791.2100842
-0.24675,-0.01,-0.001,0.000534,7.625e-05,-0.0001525,1742093791.2244961
-0.2475,-0.0065,-0.003,0.00061025,0.0,-0.00029,1742093791.2391539
-0.248,-0.0065,-0.00275,0.00051875,-0.00013725001,-0.000534,1742093791.253883
-0.248,-0.01,0.00125,0.00024425,-0.00033575002,-0.000885,1742093791.268536
-0.24825,-0.01075,0.00225,0.00024425,-0.00027475,-0.00086975005,1742093791.2829561
-0.2495,-0.01025,0.00125,0.00039675,-6.1000002e-05,-0.00062550005,1742093791.297528
-0.25025,-0.009,-0.0015,0.00039675,-3.0500001e-05,-0.00057975,1742093791.312133
-0.25075,-0.0095,-0.002,0.00036625,-0.00013725001,-0.000473,1742093791.3269749
-0.2515,-0.00875,-0.00275,0.00048825,-0.00027475,-0.00045775,1742093791.3414028
-0.2505,-0.009,-0.00075,0.000534,-0.00042725,-0.00048825,1742093791.355943
-0.25,-0.0095,0.00375,0.000534,-0.000229,-0.000473,1742093791.370454
