acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.01525,0.25,0.03625,-0.000534,0.00030525,0.00077825,1742093798.915166
0.01175,0.24625,0.033,-0.00065625,0.00035100002,0.000824,1742093798.9287412
0.012,0.24475,0.03175,-0.00027475,0.00027475,0.0013885,1742093798.942993
0.0155,0.245,0.0325,-0.00010675,0.00035100002,0.00143425,1742093798.958487
0.017,0.2445,0.03225,-3.0500001e-05,0.00048825,0.0010375,1742093798.9714592
0.017,0.24475,0.0325,-9.15e-05,0.00067150005,-0.00029,1742093798.9875891
0.014,0.2495,0.03375,-0.000473,0.00057975,-0.00065625,1742093799.00026
0.01225,0.25125,0.03475,-0.0015105,0.00039675,-0.00093075,1742093799.014763
0.01375,0.2445,0.0345,-0.001526,0.00029,-0.000824,1742093799.029063
0.016,0.241,0.0335,-0.000885,0.00024425,-0.000534,1742093799.043493
0.01725,0.2425,0.0335,-0.00051875,0.00042725,-0.00068675,1742093799.058756
0.016,0.244,0.0335,-0.00042725,0.00064075,-0.00125125,1742093799.072524
0.0155,0.24325,0.03275,-0.00064075,0.00067150005,-0.0014495,1742093799.088114
0.01525,0.2435,0.0315,-0.00096125,0.00074775,-0.001648,1742093799.101005
0.014,0.243,0.02925,-0.0016632499,0.000763,-0.00187675,1742093799.116375
0.01325,0.24,0.0265,-0.00177,0.00059500005,-0.001831,1742093799.129775
0.01525,0.23825,0.0265,-0.001068,0.00033575002,-0.001648,1742093799.14413
0.0185,0.236,0.0265,-0.00064075,0.00029,-0.00154125,1742093799.158767
0.01975,0.23775,0.027,-0.000229,0.00035100002,-0.00119025,1742093799.1731231
0.02025,0.2425,0.0275,-0.00029,0.0004425,-0.0010375,1742093799.187464
0.01975,0.2425,0.02725,-0.0005035,0.000473,-0.000946,1742093799.2018812
0.02,0.24175,0.02675,-0.00071725,0.00033575002,-0.00109875,1742093799.216717
0.02,0.2405,0.027,-0.00067150005,0.00029,-0.00131225,1742093799.2306728
0.02,0.24025,0.028,-0.0003205,0.0002595,-0.0012817499,1742093799.245057
0.022,0.239,0.0285,1.5250001e-05,0.00030525,-0.00099175,1742093799.2593799
0.02225,0.24025,0.029,0.00029,0.00039675,-0.00070200005,1742093799.2737012
0.02175,0.24475,0.03,0.0001525,0.00033575002,-0.00064075,1742093799.28797
0.02175,0.245,0.03,-0.00019825,0.0002135,-0.0005035,1742093799.302355
0.0225,0.24225,0.03,-0.00064075,0.0002595,-0.000534,1742093799.317169
0.0215,0.2415,0.02925,-0.000412,0.00035100002,-0.000763,1742093799.33114
0.0205,0.241,0.028,-9.15e-05,0.00016775,-0.00067150005,1742093799.346915
0.02225,0.2395,0.02775,1.5250001e-05,0.000122000005,-0.00065625,1742093799.3598661
0.02225,0.24025,0.02875,0.000183,0.0001525,-0.00062550005,1742093799.374183
0.021,0.242,0.02875,-0.00010675,6.1000002e-05,-7.625e-05,1742093799.3886678
0.0215,0.2435,0.02925,-0.00045775,0.0002595,0.0003815,1742093799.4029608
0.02025,0.246,0.02925,-0.00042725,0.0003205,-4.575e-05,1742093799.41738
0.01925,0.245,0.0285,-0.0004425,0.0001525,-0.00051875,1742093799.43177
0.02,0.243,0.02825,-0.0005035,-1.5250001e-05,-0.0007325,1742093799.446576
0.02175,0.2405,0.02875,-0.00036625,0.0001525,-0.00059500005,1742093799.460622
0.021,0.24125,0.02825,1.5250001e-05,0.0002135,-0.000534,1742093799.474881
0.02,0.24275,0.02675,4.575e-05,0.00010675,-0.0005035,1742093799.489168
0.021,0.243,0.0265,-0.0001525,0.000122000005,-0.00039675,1742093799.503743
0.02125,0.24225,0.02625,-0.00024425,7.625e-05,-0.00051875,1742093799.518085
0.02175,0.2405,0.02675,-0.00029,-1.5250001e-05,-0.00070200005,1742093799.532501
0.023,0.23875,0.027,-0.000183,-9.15e-05,-0.0008545,1742093799.547254
0.0245,0.23975,0.028,-0.0001525,0.0,-0.00077825,1742093799.561301
0.02475,0.24225,0.0285,-0.00048825,0.000183,-0.00062550005,1742093799.5768151
0.02375,0.247,0.029,-0.0007935,0.0002595,-0.00071725,1742093799.590092
0.02275,0.24675,0.0285,-0.0011445,0.0002595,-0.0010375,1742093799.604502
0.02275,0.24125,0.026,-0.001114,0.00019825,-0.0010375,1742093799.618871
0.02425,0.24,0.02575,-0.000763,9.15e-05,-0.00086975005,1742093799.633282
0.0275,0.241,0.027,-0.00064075,4.575e-05,-0.000824,1742093799.647617
0.02775,0.2405,0.02675,-0.00065625,7.625e-05,-0.00077825,1742093799.662009
0.0275,0.23925,0.026,-0.00074775,0.00036625,-0.000229,1742093799.6764119
0.02675,0.24125,0.025,-0.00074775,0.000473,0.00019825,1742093799.690677
0.0265,0.243,0.02525,-0.00093075,0.00054925,0.00061025,1742093799.705076
0.0255,0.24225,0.025,-0.00099175,0.00054925,0.00045775,1742093799.719351
0.02475,0.24075,0.024,-0.0007935,0.0004425,7.625e-05,1742093799.7337039
0.0245,0.24025,0.0235,-0.00067150005,0.00036625,4.575e-05,1742093799.7480772
0.0245,0.241,0.024,-0.00068675,0.00035100002,0.00010675,1742093799.7624042
0.02425,0.24075,0.02425,-0.00080875,0.0003815,0.00039675,1742093799.776937
0.02375,0.2415,0.0235,-0.00068675,0.00042725,0.00059500005,1742093799.791109
0.02275,0.24225,0.023,-0.0002135,0.000473,0.0007325,1742093799.805495
0.02275,0.24375,0.023,-0.00013725001,0.000412,0.00074775,1742093799.819756
0.023,0.2445,0.0235,-0.00024425,0.00027475,0.000534,1742093799.834101
0.022,0.2435,0.02375,-0.00027475,0.00024425,0.0002595,1742093799.848366
0.02175,0.242,0.0235,-0.00030525,0.000229,0.00010675,1742093799.8627641
0.02225,0.24075,0.02325,-0.0001525,0.0002135,0.000412,1742093799.8770869
0.023,0.24125,0.02325,0.0,0.00027475,0.0005645,1742093799.891402
0.0225,0.244,0.02375,0.00016775,0.00027475,0.0003205,1742093799.9057071
