acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.02175,0.004,0.2495,3.0500001e-05,1.5250001e-05,-7.625e-05,1742093777.60422
0.0225,0.0035,0.252,4.575e-05,1.5250001e-05,-6.1000002e-05,1742093777.617002
0.0225,0.00425,0.2525,3.0500001e-05,0.0,-6.1000002e-05,1742093777.631142
0.022,0.00475,0.251,0.0,0.0,-4.575e-05,1742093777.645372
0.021,0.005,0.25,-1.5250001e-05,1.5250001e-05,-4.575e-05,1742093777.6597178
0.0215,0.00525,0.2505,3.0500001e-05,3.0500001e-05,-6.1000002e-05,1742093777.674219
0.02225,0.00475,0.25075,3.0500001e-05,1.5250001e-05,-7.625e-05,1742093777.688334
0.02225,0.00425,0.25075,0.0,4.575e-05,-6.1000002e-05,1742093777.702572
0.02225,0.004,0.251,1.5250001e-05,4.575e-05,-6.1000002e-05,1742093777.716888
0.0225,0.004,0.25125,3.0500001e-05,3.0500001e-05,-6.1000002e-05,1742093777.731141
0.0225,0.00425,0.251,1.5250001e-05,1.5250001e-05,-4.575e-05,1742093777.745443
0.0225,0.00425,0.251,0.0,1.5250001e-05,-4.575e-05,1742093777.759735
0.02225,0.0045,0.251,1.5250001e-05,1.5250001e-05,-4.575e-05,1742093777.773897
0.02175,0.00475,0.2505,1.5250001e-05,1.5250001e-05,-6.1000002e-05,1742093777.788137
0.02175,0.005,0.2505,1.5250001e-05,0.0,-6.1000002e-05,1742093777.802387
0.0215,0.005,0.25025,1.5250001e-05,0.0,-7.625e-05,1742093777.816708
0.02125,0.00475,0.2505,1.5250001e-05,1.5250001e-05,-7.625e-05,1742093777.830977
0.0215,0.0045,0.2505,1.5250001e-05,3.0500001e-05,-6.1000002e-05,1742093777.846076
0.0215,0.004,0.2505,1.5250001e-05,3.0500001e-05,-6.1000002e-05,1742093777.859383
0.02175,0.004,0.2505,1.5250001e-05,1.5250001e-05,-6.1000002e-05,1742093777.8737102
0.022,0.00425,0.25075,1.5250001e-05,1.5250001e-05,-6.1000002e-05,1742093777.88786
0.022,0.00425,0.25075,1.5250001e-05,1.5250001e-05,-4.575e-05,1742093777.9020889
0.02225,0.0045,0.25075,1.5250001e-05,3.0500001e-05,-6.1000002e-05,1742093777.9163918
0.0225,0.00475,0.25075,0.0,1.5250001e-05,-6.1000002e-05,1742093777.9306839
0.0225,0.00475,0.2505,-1.5250001e-05,1.5250001e-05,-7.625e-05,1742093777.944936
0.022,0.0045,0.25025,0.0,3.0500001e-05,-7.625e-05,1742093777.959169
0.02225,0.0045,0.2505,1.5250001e-05,1.5250001e-05,-7.625e-05,1742093777.9734468
0.02225,0.0045,0.25075,1.5250001e-05,3.0500001e-05,-7.625e-05,1742093777.987678
0.022,0.0045,0.25075,1.5250001e-05,3.0500001e-05,-7.625e-05,1742093778.001889
0.022,0.00425,0.25075,1.5250001e-05,0.0,-6.1000002e-05,1742093778.016882
0.022,0.004,0.25075,1.5250001e-05,0.0,-6.1000002e-05,1742093778.0303879
0.022,0.00425,0.25075,0.0,3.0500001e-05,-6.1000002e-05,1742093778.0446668
0.02175,0.0045,0.25025,0.0,3.0500001e-05,-6.1000002e-05,1742093778.058864
0.02125,0.00475,0.25,1.5250001e-05,3.0500001e-05,-6.1000002e-05,1742093778.073195
0.02125,0.00425,0.25075,3.0500001e-05,1.5250001e-05,-6.1000002e-05,1742093778.0873759
0.02225,0.00425,0.252,1.5250001e-05,1.5250001e-05,-6.1000002e-05,1742093778.101696
0.02225,0.004,0.2505,0.0,3.0500001e-05,-6.1000002e-05,1742093778.1167932
0.022,0.00425,0.24975,1.5250001e-05,3.0500001e-05,-7.625e-05,1742093778.130122
0.022,0.00425,0.251,1.5250001e-05,1.5250001e-05,-6.1000002e-05,1742093778.1444108
0.02225,0.004,0.25075,0.0,3.0500001e-05,-6.1000002e-05,1742093778.158628
0.02225,0.004,0.24975,0.0,3.0500001e-05,-6.1000002e-05,1742093778.17292
0.022,0.00425,0.25,4.575e-05,0.0,-6.1000002e-05,1742093778.187127
0.02175,0.0045,0.25125,4.575e-05,0.0,-6.1000002e-05,1742093778.216047
0.02175,0.00425,0.25125,3.0500001e-05,0.0,-7.625e-05,1742093778.2173288
0.02175,0.0045,0.25,4.575e-05,0.0,-6.1000002e-05,1742093778.233726
0.022,0.0045,0.251,3.0500001e-05,1.5250001e-05,-4.575e-05,1742093778.244155
0.02175,0.0045,0.2505,1.5250001e-05,1.5250001e-05,-3.0500001e-05,1742093778.266774
0.02175,0.00475,0.24975,1.5250001e-05,1.5250001e-05,-3.0500001e-05,1742093778.273824
0.02175,0.00425,0.25,1.5250001e-05,1.5250001e-05,-6.1000002e-05,1742093778.287499
0.02225,0.00425,0.2515,1.5250001e-05,1.5250001e-05,-6.1000002e-05,1742093778.3017821
0.02225,0.0045,0.2505,1.5250001e-05,4.575e-05,-6.1000002e-05,1742093778.316423
0.022,0.00425,0.25025,1.5250001e-05,3.0500001e-05,-6.1000002e-05,1742093778.3301032
0.022,0.0045,0.251,1.5250001e-05,1.5250001e-05,-7.625e-05,1742093778.345284
0.022,0.0045,0.25075,1.5250001e-05,1.5250001e-05,-7.625e-05,1742093778.3590689
0.022,0.00425,0.25025,0.0,1.5250001e-05,-7.625e-05,1742093778.373178
0.02225,0.0045,0.25025,1.5250001e-05,0.0,-6.1000002e-05,1742093778.38756
0.022,0.00475,0.25125,1.5250001e-05,1.5250001e-05,-6.1000002e-05,1742093778.40173
0.02175,0.0045,0.25075,1.5250001e-05,1.5250001e-05,-6.1000002e-05,1742093778.4166248
0.02175,0.00475,0.25025,1.5250001e-05,1.5250001e-05,-6.1000002e-05,1742093778.43018
0.02175,0.00475,0.2505,1.5250001e-05,0.0,-6.1000002e-05,1742093778.444415
0.022,0.00475,0.251,1.5250001e-05,0.0,-6.1000002e-05,1742093778.458791
0.02175,0.0045,0.2505,1.5250001e-05,0.0,-4.575e-05,1742093778.473396
0.02175,0.00425,0.25025,1.5250001e-05,1.5250001e-05,-6.1000002e-05,1742093778.487713
0.022,0.00425,0.251,1.5250001e-05,1.5250001e-05,-6.1000002e-05,1742093778.501884
0.022,0.004,0.251,1.5250001e-05,3.0500001e-05,-7.625e-05,1742093778.5161102
0.02225,0.00425,0.2505,1.5250001e-05,3.0500001e-05,-7.625e-05,1742093778.530407
0.0225,0.0045,0.2505,1.5250001e-05,4.575e-05,-6.1000002e-05,1742093778.544808
0.022,0.00475,0.2505,3.0500001e-05,3.0500001e-05,-4.575e-05,1742093778.5590138
0.022,0.0045,0.2505,3.0500001e-05,1.5250001e-05,-4.575e-05,1742093778.5732229
0.02175,0.00425,0.2505,3.0500001e-05,3.0500001e-05,-6.1000002e-05,1742093778.5873868
0.02175,0.0045,0.25075,3.0500001e-05,3.0500001e-05,-7.625e-05,1742093778.601805
0.0215,0.0045,0.251,3.0500001e-05,1.5250001e-05,-6.1000002e-05,1742093778.616786
0.02175,0.004,0.2505,3.0500001e-05,1.5250001e-05,-6.1000002e-05,1742093778.630573
0.02225,0.004,0.2505,3.0500001e-05,3.0500001e-05,-6.1000002e-05,1742093778.644887
0.022,0.00425,0.2505,3.0500001e-05,1.5250001e-05,-6.1000002e-05,1742093778.659193
0.022,0.00475,0.25025,3.0500001e-05,1.5250001e-05,-6.1000002e-05,1742093778.6734238
0.022,0.00475,0.25,3.0500001e-05,3.0500001e-05,-4.575e-05,1742093778.687806
0.02175,0.00475,0.2505,1.5250001e-05,4.575e-05,-6.1000002e-05,1742093778.702098
0.022,0.00475,0.25075,1.5250001e-05,4.575e-05,-6.1000002e-05,1742093778.716347
0.0225,0.0045,0.251,3.0500001e-05,4.575e-05,-6.1000002e-05,1742093778.730814
0.0225,0.00425,0.25075,3.0500001e-05,3.0500001e-05,-4.575e-05,1742093778.7452512
0.02225,0.004,0.2505,3.0500001e-05,3.0500001e-05,-6.1000002e-05,1742093778.759478
0.02225,0.004,0.25025,3.0500001e-05,3.0500001e-05,-7.625e-05,1742093778.7737112
0.022,0.00425,0.25025,3.0500001e-05,1.5250001e-05,-7.625e-05,1742093778.7879128
0.022,0.00425,0.2505,1.5250001e-05,0.0,-6.1000002e-05,1742093778.8021178
0.02175,0.00425,0.2505,0.0,3.0500001e-05,-6.1000002e-05,1742093778.81691
0.022,0.00475,0.2505,1.5250001e-05,3.0500001e-05,-6.1000002e-05,1742093778.8305979
0.02225,0.00475,0.2505,3.0500001e-05,3.0500001e-05,-6.1000002e-05,1742093778.844906
0.02225,0.00475,0.25075,3.0500001e-05,3.0500001e-05,-6.1000002e-05,1742093778.859079
0.02225,0.0045,0.25075,1.5250001e-05,4.575e-05,-6.1000002e-05,1742093778.87343
0.02225,0.00425,0.251,0.0,4.575e-05,-7.625e-05,1742093778.887815
0.0225,0.004,0.2505,3.0500001e-05,3.0500001e-05,-7.625e-05,1742093778.90221
0.0225,0.004,0.2505,4.575e-05,1.5250001e-05,-7.625e-05,1742093778.9169621
0.022,0.0045,0.25075,4.575e-05,3.0500001e-05,-6.1000002e-05,1742093778.930791
0.02225,0.00425,0.25075,3.0500001e-05,3.0500001e-05,-6.1000002e-05,1742093778.9453042
0.02225,0.004,0.2505,3.0500001e-05,1.5250001e-05,-6.1000002e-05,1742093778.959733
0.02175,0.0045,0.2505,3.0500001e-05,1.5250001e-05,-6.1000002e-05,1742093778.973888
0.0215,0.0045,0.25075,1.5250001e-05,1.5250001e-05,-6.1000002e-05,1742093778.988239
0.02225,0.0045,0.251,1.5250001e-05,1.5250001e-05,-6.1000002e-05,1742093779.002599
0.02225,0.00425,0.25125,1.5250001e-05,3.0500001e-05,-4.575e-05,1742093779.016855
0.022,0.0045,0.25075,1.5250001e-05,3.0500001e-05,-4.575e-05,1742093779.0310771
0.02175,0.00425,0.2505,3.0500001e-05,1.5250001e-05,-4.575e-05,1742093779.045385
0.02175,0.00425,0.25075,3.0500001e-05,0.0,-4.575e-05,1742093779.059734
0.022,0.0045,0.2505,1.5250001e-05,1.5250001e-05,-4.575e-05,1742093779.074024
0.022,0.0045,0.2505,0.0,1.5250001e-05,-4.575e-05,1742093779.088293
0.02225,0.0045,0.2505,0.0,1.5250001e-05,-4.575e-05,1742093779.102619
0.022,0.0045,0.25075,1.5250001e-05,1.5250001e-05,-4.575e-05,1742093779.116874
0.022,0.0045,0.25075,1.5250001e-05,1.5250001e-05,-6.1000002e-05,1742093779.131152
0.0225,0.00425,0.25075,0.0,0.0,-6.1000002e-05,1742093779.145359
0.0225,0.004,0.25075,1.5250001e-05,-1.5250001e-05,-4.575e-05,1742093779.159641
0.02225,0.00425,0.251,1.5250001e-05,0.0,-3.0500001e-05,1742093779.17404
0.02225,0.00425,0.251,3.0500001e-05,0.0,-4.575e-05,1742093779.1883678
0.02225,0.00425,0.2505,3.0500001e-05,0.0,-6.1000002e-05,1742093779.2027972
