acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.01775,-0.24975,0.0435,0.00051875,0.00099175,0.00071725,1742093794.605143
0.018,-0.25025,0.043,0.00096125,0.000412,0.0008545,1742093794.6187332
0.0195,-0.251,0.044,0.00102225,-0.0003205,0.0010375,1742093794.633116
0.022,-0.2525,0.046,0.000824,-0.00035100002,0.00108325,1742093794.647511
0.023,-0.2525,0.04625,0.0003815,-7.625e-05,0.0007325,1742093794.661831
0.0205,-0.24875,0.043,0.00036625,-7.625e-05,0.00036625,1742093794.676817
0.02,-0.2465,0.0425,0.00036625,-0.0002595,0.00010675,1742093794.6908312
0.02,-0.2455,0.043,0.000183,-0.00061025,-4.575e-05,1742093794.70541
0.0175,-0.24525,0.0425,3.0500001e-05,-0.00067150005,-3.0500001e-05,1742093794.719923
0.0165,-0.24525,0.04225,-7.625e-05,-0.0008545,-0.0001525,1742093794.73453
0.0145,-0.24475,0.04075,-4.575e-05,-0.0010375,-0.00019825,1742093794.749037
0.0165,-0.24425,0.0405,-0.00024425,-0.0013580001,0.000412,1742093794.76351
0.024,-0.24425,0.043,-0.0003815,-0.00125125,0.00090025004,1742093794.77812
0.02775,-0.24575,0.045,-0.00033575002,-0.000473,0.00115975,1742093794.79265
0.0255,-0.24775,0.04425,-0.00019825,-0.00010675,0.00083925005,1742093794.807832
0.02275,-0.248,0.04275,-7.625e-05,0.000122000005,0.00061025,1742093794.821544
0.02125,-0.24825,0.04175,-4.575e-05,1.5250001e-05,0.0005035,1742093794.8369422
0.021,-0.247,0.042,-3.0500001e-05,-0.000122000005,0.0005035,1742093794.850406
0.022,-0.247,0.04375,-0.0002135,-0.00019825,0.00036625,1742093794.864925
0.02375,-0.2495,0.0455,-0.000229,-9.15e-05,0.00016775,1742093794.879393
0.02325,-0.24975,0.0455,6.1000002e-05,0.00027475,-0.00039675,1742093794.893844
0.01725,-0.25125,0.04325,0.0001525,0.00042725,-0.000473,1742093794.9082408
0.01475,-0.25225,0.0425,0.000229,0.00010675,-4.575e-05,1742093794.922839
0.01625,-0.2515,0.04325,0.000229,-0.00024425,0.00016775,1742093794.937191
0.01775,-0.25125,0.04375,0.00027475,-0.00048825,0.0002135,1742093794.9515672
0.01875,-0.25125,0.04425,0.000534,-0.00054925,9.15e-05,1742093794.966357
0.01925,-0.25175,0.0445,0.00070200005,-0.00048825,9.15e-05,1742093794.9803252
0.018,-0.25125,0.0425,0.000885,-0.000473,0.000412,1742093794.994721
0.0175,-0.24875,0.04,0.000885,-0.000534,0.00062550005,1742093795.0091891
0.019,-0.2475,0.04025,0.000824,-0.00090025004,0.00061025,1742093795.023527
0.026,-0.249,0.04375,0.00074775,-0.000946,0.00042725,1742093795.038015
0.0265,-0.25,0.04425,0.0007325,-0.00074775,0.00013725001,1742093795.052342
0.024,-0.25,0.04325,0.0008545,-0.000183,1.5250001e-05,1742093795.067105
0.02,-0.24925,0.042,0.000824,-3.0500001e-05,0.00030525,1742093795.081028
0.0195,-0.24875,0.0415,0.00067150005,0.0002595,0.000412,1742093795.0953221
0.0165,-0.24825,0.039,0.00067150005,0.00024425,0.000412,1742093795.109705
0.0165,-0.24725,0.0385,0.00064075,-0.00013725001,0.000885,1742093795.124032
0.0185,-0.24575,0.0385,0.00059500005,-0.00027475,0.0009155,1742093795.1384141
0.01775,-0.246,0.038,0.00057975,-0.00036625,0.00068675,1742093795.15285
0.01875,-0.24425,0.039,0.0005645,-0.0007935,0.00051875,1742093795.16879
0.02225,-0.2435,0.04025,0.00042725,-0.00093075,0.00065625,1742093795.1817532
0.02375,-0.245,0.04075,0.00029,-0.0004425,0.000473,1742093795.197044
0.021,-0.246,0.0385,0.0003815,-0.000229,0.00035100002,1742093795.210528
0.021,-0.24525,0.038,0.000412,-0.0001525,0.00062550005,1742093795.224961
0.0215,-0.24575,0.039,0.00042725,-0.00013725001,0.00068675,1742093795.239313
0.02125,-0.24575,0.03925,0.0004425,-0.0002595,0.00048825,1742093795.253716
0.02125,-0.24475,0.03825,0.00042725,-0.00039675,0.000412,1742093795.268105
0.02175,-0.24375,0.03825,0.00042725,-0.000473,0.00036625,1742093795.282516
0.022,-0.24375,0.03825,0.000412,-0.000412,0.00013725001,1742093795.297111
0.0225,-0.245,0.03825,0.000412,-0.00042725,4.575e-05,1742093795.31134
0.02375,-0.245,0.039,0.000183,-0.0003815,0.000183,1742093795.3268821
0.02525,-0.24675,0.04025,6.1000002e-05,-0.00027475,0.00030525,1742093795.3401742
0.0245,-0.248,0.04025,-4.575e-05,-0.000122000005,0.00042725,1742093795.3546271
0.02275,-0.24775,0.03975,-1.5250001e-05,-0.0001525,0.000534,1742093795.369107
0.02325,-0.24675,0.04025,1.5250001e-05,-0.000229,0.00051875,1742093795.3835032
0.0255,-0.24675,0.04125,1.5250001e-05,-0.0001525,0.00039675,1742093795.3978372
0.02575,-0.24775,0.041,4.575e-05,0.0,0.0002595,1742093795.4121358
0.025,-0.2485,0.04025,9.15e-05,0.0002135,0.000122000005,1742093795.4269881
0.0245,-0.2485,0.04,7.625e-05,0.00024425,0.00013725001,1742093795.440734
0.02475,-0.24875,0.04025,3.0500001e-05,0.0002595,0.000122000005,1742093795.454966
0.025,-0.24975,0.04,6.1000002e-05,0.00036625,0.00013725001,1742093795.469232
0.024,-0.24925,0.0395,0.000122000005,0.00045775,0.0001525,1742093795.483454
0.0235,-0.248,0.03875,0.00024425,0.000412,4.575e-05,1742093795.4978921
0.02475,-0.24825,0.03875,0.00024425,0.00035100002,-1.5250001e-05,1742093795.512343
0.025,-0.249,0.039,0.00035100002,0.00033575002,-0.00016775,1742093795.527035
0.0255,-0.2505,0.04,0.00036625,0.0003205,-0.0002135,1742093795.541046
0.0255,-0.25125,0.04,0.00036625,0.00039675,-0.000183,1742093795.5554
0.02325,-0.2495,0.03775,0.000412,0.0004425,-0.00010675,1742093795.56981
0.0235,-0.2485,0.0375,0.00045775,0.0003815,0.00010675,1742093795.584162
0.0245,-0.2485,0.038,0.000473,0.00035100002,1.5250001e-05,1742093795.598398
0.02375,-0.249,0.03775,0.000473,0.00033575002,-0.00010675,1742093795.6128361
0.0235,-0.24925,0.03775,0.00045775,0.0003205,6.1000002e-05,1742093795.627148
0.02375,-0.24875,0.038,0.00048825,0.00036625,9.15e-05,1742093795.6415029
0.02275,-0.24825,0.0375,0.00059500005,0.0003815,-6.1000002e-05,1742093795.6558452
0.02125,-0.2475,0.03625,0.00062550005,0.00029,-9.15e-05,1742093795.670239
0.02075,-0.2465,0.03575,0.00067150005,1.5250001e-05,-0.00019825,1742093795.684861
0.02125,-0.2465,0.03575,0.0007325,-7.625e-05,-0.00029,1742093795.699511
0.02125,-0.247,0.036,0.000824,-0.0001525,-0.00036625,1742093795.7139452
0.021,-0.24675,0.036,0.000885,-0.00024425,-0.00045775,1742093795.728443
0.0215,-0.24575,0.03675,0.00077825,-0.00027475,-0.00045775,1742093795.742935
0.02225,-0.2455,0.037,0.0003815,-0.00027475,-0.00024425,1742093795.758286
0.0225,-0.24725,0.038,0.00027475,-0.00016775,-0.00013725001,1742093795.771876
0.02225,-0.248,0.038,0.00036625,4.575e-05,-0.0002595,1742093795.787018
0.0225,-0.24825,0.03825,0.000412,0.00010675,-0.000229,1742093795.8006852
0.02275,-0.2485,0.038,0.00048825,0.00024425,-3.0500001e-05,1742093795.814991
0.02225,-0.248,0.03675,0.00051875,0.00019825,-4.575e-05,1742093795.829406
0.02225,-0.247,0.036,0.00054925,7.625e-05,-9.15e-05,1742093795.843862
0.02225,-0.24625,0.0355,0.00057975,-1.5250001e-05,-0.00010675,1742093795.8584142
0.02225,-0.24575,0.03575,0.000534,-3.0500001e-05,-9.15e-05,1742093795.873009
0.02325,-0.24575,0.03575,0.00030525,-0.00013725001,-3.0500001e-05,1742093795.887498
0.025,-0.24625,0.0355,0.00027475,-0.000122000005,-7.625e-05,1742093795.901956
0.02525,-0.247,0.036,0.00033575002,0.000122000005,-0.000183,1742093795.916404
0.02375,-0.2485,0.036,0.00035100002,0.0002135,-0.00027475,1742093795.93076
0.0235,-0.2485,0.0355,0.00029,0.0002135,-0.00019825,1742093795.945112
0.02475,-0.2485,0.036,0.00033575002,0.00019825,-0.00027475,1742093795.9594948
0.02375,-0.24775,0.0355,0.00042725,0.00019825,-0.0005035,1742093795.973805
0.02275,-0.248,0.035,0.00030525,0.000229,-0.000534,1742093795.988426
0.02125,-0.2505,0.035,0.0002595,0.00024425,-0.00036625,1742093796.002818
0.02075,-0.25075,0.03525,0.00029,7.625e-05,-0.00035100002,1742093796.017388
0.02125,-0.25025,0.0355,0.00033575002,-3.0500001e-05,-0.00035100002,1742093796.0318358
0.02175,-0.25025,0.0355,0.00045775,1.5250001e-05,-0.000229,1742093796.0470579
0.0205,-0.249,0.03425,0.000534,6.1000002e-05,-0.00019825,1742093796.060788
0.02025,-0.2485,0.034,0.00061025,-7.625e-05,-0.00013725001,1742093796.0763361
0.02,-0.24775,0.034,0.00062550005,-0.00016775,-0.00019825,1742093796.089793
0.0205,-0.2475,0.03375,0.00064075,-0.00029,-0.00029,1742093796.104291
0.02125,-0.24775,0.034,0.00057975,-0.00039675,-0.00036625,1742093796.1187918
0.02175,-0.2485,0.03425,0.00054925,-0.00036625,-0.00042725,1742093796.133288
0.02125,-0.2485,0.03425,0.00045775,-0.00024425,-0.000473,1742093796.1477718
0.0205,-0.24875,0.03425,0.000412,-0.000229,-0.00039675,1742093796.162295
0.021,-0.2485,0.03425,0.0003815,-0.00024425,-0.00029,1742093796.176809
0.02125,-0.2475,0.0335,0.00036625,-0.00027475,-0.00029,1742093796.191297
0.0215,-0.24725,0.033,0.00029,-0.00030525,-0.0003205,1742093796.2057989
0.02125,-0.2475,0.03325,0.00024425,-0.00029,-0.0003205,1742093796.220294
0.021,-0.248,0.033,0.0002595,-0.0003205,-0.00035100002,1742093796.234784
0.021,-0.24775,0.03275,0.0002595,-0.00048825,-0.000473,1742093796.2492878
0.0225,-0.2475,0.033,0.00024425,-0.000534,-0.0005035,1742093796.263668
0.02275,-0.24825,0.03325,0.0002135,-0.000412,-0.0005645,1742093796.278112
0.022,-0.25,0.033,0.000183,-0.00036625,-0.0005035,1742093796.2927291
0.0225,-0.249,0.03325,0.00019825,-0.00027475,-0.0003205,1742093796.307192
0.022,-0.248,0.03375,0.0002135,-0.00016775,-0.00035100002,1742093796.3216052
0.021,-0.2485,0.03325,0.00033575002,-1.5250001e-05,-0.00054925,1742093796.33675
0.0185,-0.25,0.03225,0.00042725,-3.0500001e-05,-0.00070200005,1742093796.350633
0.01775,-0.25025,0.03225,0.00048825,-0.000122000005,-0.000763,1742093796.365095
0.01825,-0.2495,0.0325,0.000473,-0.00042725,-0.00062550005,1742093796.379654
0.01975,-0.24825,0.0325,0.0004425,-0.00051875,-0.00051875,1742093796.3940768
0.0195,-0.24825,0.03275,0.00035100002,-0.00045775,-0.00033575002,1742093796.40885
0.01875,-0.2475,0.03325,0.0002595,-0.00036625,-0.00027475,1742093796.42331
0.01925,-0.24825,0.03325,0.00019825,-0.00019825,-0.0002595,1742093796.4377952
0.02,-0.249,0.0335,0.00029,-0.00016775,-0.0003815,1742093796.452224
0.02025,-0.249,0.0335,0.0004425,-0.00016775,-0.0005645,1742093796.466784
0.0195,-0.24875,0.034,0.000473,-0.00013725001,-0.00057975,1742093796.481298
0.0195,-0.2475,0.03375,0.00048825,-0.00013725001,-0.0005645,1742093796.496625
0.02025,-0.247,0.03325,0.0003815,-0.000122000005,-0.00030525,1742093796.510394
0.022,-0.248,0.0325,0.00033575002,-6.1000002e-05,-0.00016775,1742093796.525017
0.02225,-0.2475,0.032,0.0003815,4.575e-05,-0.0001525,1742093796.539393
0.022,-0.246,0.03225,0.0003815,0.00010675,-0.0002595,1742093796.553911
0.021,-0.2465,0.032,0.00035100002,0.00030525,-0.00045775,1742093796.568306
0.0185,-0.2465,0.0305,0.00029,0.0003205,-0.000473,1742093796.582613
0.01825,-0.2465,0.03025,9.15e-05,0.0001525,-0.0003205,1742093796.5969841
0.01875,-0.2475,0.0305,3.0500001e-05,7.625e-05,-0.00033575002,1742093796.6114151
0.019,-0.24775,0.0305,-1.5250001e-05,4.575e-05,-0.00039675,1742093796.626674
0.019,-0.2485,0.03025,-0.00010675,6.1000002e-05,-0.00045775,1742093796.6403651
0.0175,-0.24975,0.03025,-9.15e-05,7.625e-05,-0.000534,1742093796.654918
0.01625,-0.2505,0.0305,-3.0500001e-05,0.0,-0.00070200005,1742093796.669352
0.016,-0.252,0.0305,3.0500001e-05,-0.000122000005,-0.00070200005,1742093796.683769
0.0165,-0.25125,0.03075,0.00013725001,-0.00029,-0.00061025,1742093796.698139
0.018,-0.25025,0.03125,7.625e-05,-0.0002595,-0.00045775,1742093796.712639
0.018,-0.25025,0.03175,6.1000002e-05,-9.15e-05,-0.00029,1742093796.72705
0.0175,-0.249,0.032,7.625e-05,-3.0500001e-05,-0.0003205,1742093796.7417102
0.01675,-0.24925,0.03175,9.15e-05,3.0500001e-05,-0.00036625,1742093796.757287
0.016,-0.24975,0.03125,0.00016775,-4.575e-05,-0.00054925,1742093796.7705128
0.0165,-0.25,0.031,0.0002135,-0.0001525,-0.00067150005,1742093796.784987
0.01675,-0.25025,0.03125,0.00019825,-0.0002595,-0.00077825,1742093796.799521
0.016,-0.25075,0.03225,0.00013725001,-0.00024425,-0.00070200005,1742093796.813993
0.0155,-0.252,0.0325,4.575e-05,-0.00029,-0.00039675,1742093796.8285692
0.01575,-0.25175,0.03225,6.1000002e-05,-0.00033575002,-0.00029,1742093796.843128
0.01675,-0.25125,0.03225,0.0001525,-0.00019825,-0.000122000005,1742093796.857715
0.01725,-0.25175,0.03225,0.000229,-9.15e-05,-0.00016775,1742093796.872122
0.017,-0.25225,0.032,0.00035100002,-4.575e-05,-0.0002595,1742093796.886871
0.01725,-0.2515,0.03225,0.000473,-0.000122000005,-0.0003205,1742093796.901075
0.01725,-0.2505,0.03325,0.0005035,-7.625e-05,-0.00036625,1742093796.9156559
0.01625,-0.25125,0.033,0.00057975,0.0,-0.000473,1742093796.930017
0.0155,-0.2505,0.032,0.00059500005,-1.5250001e-05,-0.00045775,1742093796.944513
0.01675,-0.2505,0.0315,0.00048825,7.625e-05,-0.00019825,1742093796.958844
0.01725,-0.251,0.03025,0.00048825,0.0001525,-0.00016775,1742093796.973293
0.01675,-0.2505,0.0295,0.00064075,0.00010675,-0.00029,1742093796.9875982
0.0185,-0.249,0.02925,0.00070200005,6.1000002e-05,-0.00029,1742093797.001986
0.01925,-0.24875,0.02975,0.00071725,0.00010675,-0.0002595,1742093797.016865
0.01925,-0.24975,0.02975,0.00065625,0.00024425,-0.00030525,1742093797.030821
0.019,-0.25025,0.029,0.00065625,0.0002135,-0.00036625,1742093797.04668
0.02,-0.2495,0.02925,0.00065625,0.00024425,-0.0003815,1742093797.0595598
0.02075,-0.24975,0.02925,0.00059500005,0.0003815,-0.0003815,1742093797.074019
0.02,-0.2505,0.02875,0.000534,0.00057975,-0.00030525,1742093797.088395
0.01775,-0.25025,0.029,0.000534,0.00061025,-0.00024425,1742093797.102761
0.017,-0.2505,0.029,0.000534,0.00067150005,-0.0002135,1742093797.117198
0.016,-0.25125,0.029,0.00059500005,0.00071725,-0.00016775,1742093797.131705
0.01375,-0.251,0.029,0.00061025,0.00067150005,-0.00010675,1742093797.146945
0.013,-0.25075,0.02925,0.00062550005,0.000473,6.1000002e-05,1742093797.1603599
0.0145,-0.25,0.02975,0.00062550005,0.00035100002,4.575e-05,1742093797.174708
0.016,-0.24975,0.03,0.00061025,0.00027475,-9.15e-05,1742093797.189207
0.016,-0.2495,0.029,0.00059500005,0.00030525,-4.575e-05,1742093797.203531
0.0155,-0.24925,0.0285,0.0005035,0.00036625,0.000229,1742093797.217953
0.01425,-0.2485,0.02825,0.0005035,0.00033575002,0.00019825,1742093797.232193
0.014,-0.2475,0.02775,0.00054925,0.0002595,4.575e-05,1742093797.246987
0.01525,-0.24675,0.0275,0.0005645,0.00016775,-1.5250001e-05,1742093797.261021
0.01675,-0.2475,0.02775,0.0005645,0.0002135,-6.1000002e-05,1742093797.276339
0.016,-0.24825,0.027,0.00057975,0.0002595,-0.0002595,1742093797.290001
0.0145,-0.2485,0.02575,0.00057975,0.00016775,-0.00027475,1742093797.3043299
0.01525,-0.24775,0.0255,0.0005035,-1.5250001e-05,-0.00013725001,1742093797.318721
0.017,-0.248,0.026,0.00045775,-3.0500001e-05,-0.00010675,1742093797.3331861
0.01725,-0.24775,0.026,0.0004425,-3.0500001e-05,-0.00016775,1742093797.347797
0.01775,-0.2475,0.0265,0.00033575002,6.1000002e-05,-9.15e-05,1742093797.362195
0.01725,-0.24725,0.027,0.00030525,0.00013725001,-4.575e-05,1742093797.376794
0.0165,-0.24725,0.02725,0.00024425,0.0002595,-0.00013725001,1742093797.391003
0.01525,-0.249,0.027,0.0002135,0.00027475,-0.00016775,1742093797.4053938
0.015,-0.2495,0.0265,0.000229,0.0001525,-0.00027475,1742093797.419831
0.015,-0.2485,0.0265,0.00019825,7.625e-05,-0.00027475,1742093797.434189
0.01525,-0.248,0.027,9.15e-05,6.1000002e-05,-0.000183,1742093797.448527
0.01425,-0.249,0.027,6.1000002e-05,0.000122000005,-0.000183,1742093797.462852
0.01325,-0.24925,0.02675,3.0500001e-05,0.00013725001,-0.000183,1742093797.477206
0.013,-0.24925,0.02675,0.0,0.0,-0.0001525,1742093797.491533
0.014,-0.2495,0.0265,-1.5250001e-05,-7.625e-05,-0.00016775,1742093797.506127
0.01475,-0.24975,0.02625,-1.5250001e-05,-0.0001525,-9.15e-05,1742093797.520693
0.01575,-0.2495,0.02725,0.0,-0.0001525,0.0,1742093797.535071
0.016,-0.249,0.0275,-1.5250001e-05,-0.00010675,-6.1000002e-05,1742093797.5496068
0.01525,-0.24925,0.0265,-1.5250001e-05,-0.00013725001,-0.00016775,1742093797.564151
0.0155,-0.24925,0.0265,-6.1000002e-05,-0.0002595,-0.000229,1742093797.578808
0.01675,-0.24925,0.0265,-0.00010675,-0.000229,-0.0001525,1742093797.593431
0.01625,-0.24875,0.026,-0.00016775,-0.00016775,-7.625e-05,1742093797.6081421
0.016,-0.24825,0.026,-0.00024425,-9.15e-05,6.1000002e-05,1742093797.6223779
0.01575,-0.2475,0.02575,-0.0002595,-0.00010675,0.0,1742093797.637033
0.01475,-0.24775,0.0255,-0.00027475,-0.00016775,-0.00024425,1742093797.651531
0.013,-0.249,0.026,-0.00029,-0.0002135,-0.0002595,1742093797.6665971
0.01275,-0.25,0.0265,-0.00029,-0.0003205,-0.00024425,1742093797.680691
0.01475,-0.25125,0.02775,-0.00027475,-0.0003815,-0.00024425,1742093797.695311
