acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.23875,0.00125,0.01025,0.003296,-0.00463875,-0.0013580001,1742093899.515923
0.24325,0.002,0.014,0.004013,-0.0044707498,-0.0012207499,1742093899.529761
0.245,-0.0035,0.01475,0.0025940002,-0.0038299998,0.000534,1742093899.544102
0.248,-0.0075,0.0145,0.0018615,-0.0034637498,0.0014495,1742093899.558924
0.249,-0.0085,0.01175,0.001709,-0.0032195,0.0021819999,1742093899.572861
0.25025,-0.0115,0.0095,0.002533,-0.0032195,0.002655,1742093899.5871968
0.25525,-0.018,0.01,0.0032347501,-0.00340275,0.0021819999,1742093899.601677
0.26075,-0.02075,0.013,0.0046845004,-0.004013,0.00112925,1742093899.6160262
0.2785,-0.02575,0.02325,0.0055085,-0.003891,0.001114,1742093899.630342
0.28725,-0.0285,0.02675,0.0071105,-0.0020599999,0.0017395001,1742093899.644673
0.304,-0.0435,0.0185,0.008148249,-0.00086975005,0.00190725,1742093899.659164
0.3165,-0.05325,0.00975,0.012313751,0.0005035,0.0009765,1742093899.6734238
0.35675,-0.0855,-0.002,0.01548775,0.00054925,-0.0005645,1742093899.6878479
0.379,-0.11725,0.0025,0.01940925,0.00051875,-0.00242625,1742093899.7022789
0.40175,-0.1485,0.0125,0.025940001,0.0025025,9.15e-05,1742093899.716487
0.45125,-0.12075,0.044,0.026886,0.0057677496,0.0063325,1742093899.7306938
0.469,-0.0505,0.06125,0.0249175,0.01631175,0.0193635,1742093899.745079
0.47175,0.11575,0.08275,0.02262875,0.0224,0.022369498,1742093899.759304
0.449,0.183,0.07075,0.0197295,0.028594999,0.022796748,1742093899.7735271
0.4125,0.24375,0.03875,0.010238751,0.03923025,0.021225,1742093899.7876759
0.32675,0.3715,-0.03525,0.004074,0.042846747,0.0207215,1742093899.801973
0.276,0.4375,-0.056,-0.0093995,0.0462495,0.01741025,1742093899.816475
0.15575,0.5065,-0.06725,-0.01725775,0.04574575,0.0139770005,1742093899.8307798
0.085,0.483,-0.0615,-0.0335235,0.0401305,0.0045625,1742093899.845193
-0.0915,0.36075,-0.04275,-0.04116825,0.0351105,0.00071725,1742093899.8597078
-0.1825,0.2895,-0.03,-0.05485525,0.019333,0.0014037499,1742093899.8742568
-0.31525,0.1365,0.014,-0.059570253,0.00846875,0.00270075,1742093899.888684
-0.34675,0.051,0.04925,-0.0614165,-0.0041504996,0.00148,1742093899.903198
-0.34725,-0.04675,0.105,-0.053085253,-0.031311,-0.006073,1742093899.917912
-0.24125,-0.21125,0.2595,-0.04635625,-0.043258753,-0.0093995,1742093899.9326808
-0.16825,-0.25125,0.31175,-0.0399475,-0.0592345,-0.008590749,1742093899.94867
-0.04025,-0.2855,0.33375,-0.037979253,-0.06198125,-0.0049742498,1742093899.9627688
0.00825,-0.30575,0.30875,-0.03173825,-0.063446,-0.000885,1742093899.976655
0.09675,-0.33725,0.243,-0.026702998,-0.06381225,-0.00108325,1742093899.991445
0.1515,-0.35125,0.23325,-0.01266475,-0.0659485,-0.0020599999,1742093900.005717
0.25775,-0.414,0.23975,-0.0052185003,-0.0657655,-0.0034942501,1742093900.020242
