acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.23625,-0.0185,-0.061,-0.00109875,0.0031127501,-0.00086975005,1742093890.5190809
0.23575,-0.016,-0.0595,-0.000534,0.00090025004,-0.0005035,1742093890.532953
0.238,-0.009,-0.04925,7.625e-05,0.00033575002,-0.00080875,1742093890.548867
0.23825,-0.01025,-0.04775,0.00057975,0.000122000005,-0.00115975,1742093890.561884
0.2385,-0.01275,-0.047,0.000946,-0.00042725,-0.00119025,1742093890.5763142
0.24125,-0.013,-0.042,0.000885,-0.00054925,-0.000946,1742093890.590864
0.24275,-0.0125,-0.04275,0.00083925005,-0.0005035,-0.00062550005,1742093890.6054149
0.244,-0.0095,-0.04325,0.001114,-0.00061025,-0.00067150005,1742093890.620058
0.24425,-0.00875,-0.0435,0.0014037499,-0.000473,-0.0007935,1742093890.634453
0.2415,-0.00875,-0.0485,0.0012665,-0.00051875,-0.00062550005,1742093890.649787
0.24125,-0.007,-0.048,0.00080875,-0.00096125,-0.00039675,1742093890.663424
0.24325,-0.00625,-0.043,0.00070200005,-0.00105275,-0.00051875,1742093890.678925
0.243,-0.00775,-0.043,0.000763,-0.001068,-0.00068675,1742093890.692459
0.242,-0.01025,-0.0445,0.000885,-0.00112925,-0.00083925005,1742093890.70705
0.241,-0.01225,-0.04725,0.000885,-0.0012970001,-0.000763,1742093890.721597
0.24075,-0.012,-0.046,0.00090025004,-0.00160225,-0.0005035,1742093890.7360818
0.241,-0.01425,-0.0455,0.00090025004,-0.0016175,-0.00042725,1742093890.7506292
0.241,-0.014,-0.047,0.00149525,-0.0021819999,-0.00057975,1742093890.765117
0.241,-0.012,-0.05175,0.0018005001,-0.0026245,-0.00068675,1742093890.7797172
0.24125,-0.01225,-0.05175,0.0025634998,-0.0035095,-0.0009155,1742093890.7942421
0.241,-0.01425,-0.0495,0.0030365,-0.003952,-0.00102225,1742093890.808995
0.24125,-0.013,-0.0475,0.003128,-0.0043944996,-0.0010375,1742093890.823261
0.243,-0.01,-0.04625,0.0025025,-0.00520325,-0.0007935,1742093890.8377159
0.24425,-0.0085,-0.04575,0.00239575,-0.0056609996,-0.00077825,1742093890.852246
0.244,-0.00775,-0.04675,0.002884,-0.0072175004,-0.0012207499,1742093890.866708
0.23625,-0.00725,-0.05525,0.0027312501,-0.008346501,-0.00125125,1742093890.881249
0.233,-0.01,-0.05475,0.00143425,-0.0111085,-0.000763,1742093890.895691
0.238,-0.01625,-0.027,0.00119025,-0.012146,-0.00077825,1742093890.910153
0.24325,-0.01725,-0.00325,0.001419,-0.011627249,-0.00131225,1742093890.924702
0.25075,-0.0225,0.03525,0.00109875,-0.009521499,-0.00115975,1742093890.939253
0.2515,-0.02625,0.03825,0.0010375,-0.00331125,-0.00061025,1742093890.953589
0.2455,-0.02875,0.00875,0.001175,-0.001007,-0.00010675,1742093890.968044
0.24425,-0.01975,-0.0025,0.00080875,1.5250001e-05,0.00077825,1742093890.9824681
0.246,-0.00875,-0.00625,-0.000122000005,0.00042725,0.0023497501,1742093890.9969459
0.244,0.0055,-0.01675,-0.000412,0.00065625,0.002472,1742093891.0112572
0.236,0.00825,-0.02525,-0.000946,0.00051875,0.00187675,1742093891.025782
0.19525,0.023,-0.0765,-0.00071725,-0.00067150005,0.0012817499,1742093891.0414872
0.15525,0.0285,-0.1405,0.0025634998,-0.0148772495,0.0012207499,1742093891.054723
-0.002,-0.0125,-0.354,0.00643925,-0.0341645,0.00213625,1742093891.0693178
-0.111,-0.05825,-0.47125,0.009674,-0.06362925,0.002533,1742093891.083769
-0.35375,-0.10725,-0.64125,0.00054925,-0.14205925,0.0067597497,1742093891.099484
-0.48975,-0.102,-0.64125,-0.0101165,-0.187149,0.01396175,1742093891.1135628
-0.64275,-0.08375,-0.55975,-0.027282748,-0.2737885,0.03663625,1742093891.129132
-0.94,-0.00675,-0.209,-0.023346001,-0.30360425,0.04901125,1742093891.1429062
-1.0,-0.056,-0.01125,0.021789499,-0.33433524,0.057373002,1742093891.1591308
-1.0,-0.215,0.486,0.040451,-0.33551025,0.05508425,1742093891.172087
-0.998,-0.2345,0.8085,0.028564502,-0.2944335,0.0462495,1742093891.186696
-0.7845,-0.0595,1.0,0.00175475,-0.24794,0.049408,1742093891.201097
-0.58925,0.03875,1.0,-0.0010375,-0.14300525,0.054397497,1742093891.215659
-0.39475,0.11975,0.94,0.0157165,-0.092285246,0.046371497,1742093891.230077
-0.38475,0.1295,0.772,0.0072937496,-0.00331125,0.027404752,1742093891.244676
-0.34475,0.09425,0.299,0.000473,0.01794425,0.019042999,1742093891.259315
-0.275,0.05825,0.18475,0.00039675,0.0248565,0.010757499,1742093891.273216
-0.199,0.0245,0.16875,0.00434875,0.024353001,-0.000473,1742093891.2875268
-0.11275,0.0015,0.22025,0.00469975,0.0254365,-0.00317375,1742093891.301989
-0.11575,0.002,0.22275,0.0037995,0.030487,-0.009613,1742093891.316273
-0.18425,-0.00675,0.19575,0.0019225,0.032897998,-0.0135345,1742093891.330765
-0.20975,-0.017,0.17525,-0.000183,0.03120425,-0.014206001,1742093891.345475
-0.20075,-0.0405,0.16575,0.00177,0.0290985,-0.0125885,1742093891.359912
-0.18375,-0.049,0.17875,0.0043944996,0.028122,-0.011673001,1742093891.374395
-0.14875,-0.04825,0.22875,0.00531,0.03053275,-0.0112,1742093891.38898
-0.142,-0.03825,0.258,0.00381475,0.034073003,-0.011764499,1742093891.403376
-0.14675,-0.0255,0.27875,0.0038757501,0.042785753,-0.013778751,1742093891.419449
-0.1705,-0.01675,0.25875,0.00535575,0.046371497,-0.01289375,1742093891.4324899
-0.175,-0.02325,0.24125,-0.002365,0.05081175,-0.0077667497,1742093891.446948
-0.1575,-0.0345,0.22,-0.01345825,0.052474998,-0.0063934997,1742093891.461458
-0.1405,-0.039,0.2335,-0.01216125,0.05593875,-0.006073,1742093891.475976
-0.09975,-0.0325,0.30425,-0.00845325,0.05856325,-0.0064545004,1742093891.491637
-0.0925,-0.018,0.3225,-0.0079955,0.067504995,-0.009597749,1742093891.504978
-0.09625,0.02275,0.306,-0.0063325,0.07203675,-0.0110625,1742093891.519593
