acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.15875,-0.0245,0.022,0.001419,-0.00712575,-0.0016632499,1742093951.219574
0.1525,-0.034,0.01925,0.000122000005,-0.0097045,-0.0021972498,1742093951.234781
0.16525,-0.0535,0.0325,0.00148,-0.01156625,-0.00019825,1742093951.248508
0.17525,-0.05825,0.0515,0.00520325,-0.013839751,0.003769,1742093951.2629619
0.18075,-0.04725,0.08625,0.0064850003,-0.014038,0.003891,1742093951.277405
0.16825,-0.02225,0.0905,0.00691225,-0.014358499,0.00267025,1742093951.291803
0.12625,0.01575,0.083,0.0059510004,-0.0169525,0.0023497501,1742093951.306134
0.1095,0.03425,0.08075,0.0060425,-0.01805125,0.00334175,1742093951.3205068
0.10625,0.07325,0.08125,0.0028229998,-0.0213165,0.00334175,1742093951.334887
0.184,0.1845,0.12425,-0.0034942501,-0.02510075,0.0031127501,1742093951.3494248
0.26025,0.22725,0.16575,-0.017974751,-0.025665252,-0.004074,1742093951.3652291
0.4285,0.24225,0.2085,-0.024047751,-0.01976025,-0.013382,1742093951.378658
0.49275,0.20325,0.202,-0.038971,-0.0059205,-0.037155252,1742093951.3947341
0.63625,0.116,0.20525,-0.045868002,-0.001068,-0.047287,1742093951.407706
0.6815,0.04875,0.21375,-0.0523225,-0.0029145,-0.050766,1742093951.422153
0.72975,-0.17725,0.23975,-0.0631715,0.0015105,-0.043289248,1742093951.436665
0.7425,-0.3175,0.244,-0.06602475,0.01419075,-0.0345155,1742093951.451133
0.74075,-0.4635,0.24125,-0.061950747,0.0464325,-0.017455999,1742093951.4656372
0.6375,-0.711,0.18,-0.05422975,0.05947875,-0.013351499,1742093951.480156
0.569,-0.78775,0.15075,-0.031723,0.075531,-0.006546,1742093951.495618
0.40775,-0.872,0.14,-0.01930225,0.073028505,-0.00029,1742093951.509204
0.30325,-0.83625,0.13,-0.00154125,0.06967175,0.018463248,1742093951.52503
0.10275,-0.65375,0.14225,0.0061339997,0.0717315,0.025665252,1742093951.537874
0.00275,-0.60525,0.16775,0.01622,0.073501505,0.02601625,1742093951.5521998
-0.117,-0.603,0.19725,0.042282,0.0684815,0.01937875,1742093951.5666509
-0.4285,-0.6265,0.22525,0.052368253,0.0604095,0.02275075,1742093951.58114
-0.5735,-0.57975,0.233,0.062255748,0.03663625,0.035431,1742093951.595604
-0.73225,-0.3045,0.265,0.0664215,0.020691,0.035736,1742093951.610186
-0.75775,-0.13925,0.263,0.07681275,-0.0143737495,0.0219115,1742093951.625102
-0.7205,0.18175,0.194,0.077865504,-0.03250125,0.0135345,1742093951.639052
-0.67675,0.32525,0.1545,0.07878125,-0.062912,0.00279225,1742093951.6546078
-0.5455,0.52925,0.14275,0.07572925,-0.07162475,-0.00061025,1742093951.667895
-0.4475,0.605,0.13775,0.066574,-0.07814025,-0.00331125,1742093951.6822689
-0.30275,0.70325,0.171,0.0366515,-0.09768675,-0.00137325,1742093951.696872
0.117,0.8555,0.3965,0.01646425,-0.105728246,-0.0020295,1742093951.7114189
0.37125,0.86175,0.5595,-0.01705925,-0.089126505,-0.030181998,1742093951.727128
0.7505,0.66025,0.7255,-0.026550248,-0.081390254,-0.0451965,1742093951.740507
0.899,0.51025,0.76875,-0.045776248,-0.0574645,-0.05703725,1742093951.754974
1.0,0.17725,0.75075,-0.056762747,-0.04093925,-0.05821225,1742093951.77118
1.0,0.0025,0.66825,-0.0680085,-0.0042572496,-0.0581055,1742093951.7850182
0.98925,-0.423,0.44875,-0.068847746,0.0088805,-0.054123,1742093951.7983842
0.954,-0.62575,0.373,-0.066864,0.02159125,-0.04606625,1742093951.812914
0.8775,-0.7785,0.323,-0.056991503,0.051941004,-0.02265925,1742093951.827917
0.65625,-0.863,0.2305,-0.051056,0.06871025,-0.013503999,1742093951.842328
0.5365,-0.83925,0.1945,-0.031356752,0.087509245,-0.00137325,1742093951.857905
0.218,-0.7775,0.14275,-0.01794425,0.0872955,0.000534,1742093951.8729541
0.06775,-0.71925,0.1135,0.0089875,0.084854,0.0088805,1742093951.8859708
-0.15675,-0.628,0.0945,0.02029425,0.0820465,0.013839751,1742093951.908834
-0.24925,-0.6075,0.11425,0.04090875,0.06871025,0.018615749,1742093951.9393039
-0.42,-0.5785,0.17275,0.048995998,0.057724,0.020934999,1742093951.9395
-0.4975,-0.517,0.20275,0.056045502,0.0456695,0.022934001,1742093951.942778
-0.566,-0.405,0.23275,0.067016505,0.01918025,0.02516175,1742093951.960628
-0.61875,-0.0885,0.26725,0.07070925,0.005249,0.024047751,1742093951.972706
-0.60575,0.07675,0.249,0.07598875,-0.0270385,0.013626001,1742093951.9872708
-0.5125,0.34,0.2115,0.077911496,-0.043518003,0.0081025,1742093952.000404
-0.41325,0.463,0.232,0.06643675,-0.070449755,0.00320425,1742093952.015786
-0.13675,0.706,0.23425,0.055770747,-0.08450325,0.00570675,1742093952.0294101
0.0055,0.79,0.2415,0.014389,-0.07440175,-6.1000002e-05,1742093952.0457048
0.2935,0.81725,0.28975,-0.00119025,-0.06558225,-0.0129700005,1742093952.0582578
0.4725,0.753,0.3795,-0.0068207504,-0.06451425,-0.02955625,1742093952.0726779
0.65975,0.66175,0.4795,-0.021179251,-0.06982425,-0.052948,1742093952.087224
0.9155,0.39975,0.5055,-0.03421025,-0.06378175,-0.05331425,1742093952.10169
0.9815,0.23025,0.47175,-0.060165502,-0.0278015,-0.039199747,1742093952.116189
1.0,-0.0855,0.35525,-0.06773375,-0.01330575,-0.03227225,1742093952.1307762
0.968,-0.26525,0.30725,-0.06764225,0.01115425,-0.029022248,1742093952.145487
0.867,-0.57225,0.267,-0.063705504,0.027587999,-0.02760325,1742093952.159701
0.79775,-0.68775,0.26525,-0.051056,0.054443248,-0.01634225,1742093952.175188
0.56925,-0.7735,0.224,-0.04031375,0.0628205,-0.01148975,1742093952.188813
0.424,-0.7435,0.18975,-0.027282748,0.0688935,-0.00694275,1742093952.203203
0.2785,-0.70025,0.1565,-0.00105275,0.07952875,0.0024872501,1742093952.2176142
0.0215,-0.63225,0.125,0.010009751,0.08218375,0.0076599997,1742093952.231877
-0.095,-0.61425,0.13175,0.026275748,0.07572925,0.017700251,1742093952.246318
-0.28975,-0.5495,0.202,0.03259275,0.06793225,0.019195499,1742093952.2607071
-0.37725,-0.4675,0.26075,0.0472565,0.047287,0.0125275,1742093952.2752771
-0.6065,-0.243,0.30875,0.054565497,0.03781125,0.009369001,1742093952.289406
-0.6995,-0.1025,0.2555,0.06065375,0.027099501,0.00811775,1742093952.305095
-0.72675,0.07425,0.184,0.063034,-0.008606,0.0055085,1742093952.318103
-0.6225,0.43225,0.083,0.05874625,-0.0310975,0.0013580001,1742093952.332577
-0.526,0.539,0.08725,0.052047748,-0.0715485,-0.010727,1742093952.347098
-0.3,0.62575,0.1235,0.04550175,-0.09078975,-0.01339725,1742093952.361706
-0.14,0.6225,0.18075,0.0124665005,-0.094863996,-0.019638,1742093952.376338
0.3215,0.59925,0.4305,0.000824,-0.090469256,-0.02851875,1742093952.3908129
0.574,0.59225,0.54425,-0.0057677496,-0.07389825,-0.05021675,1742093952.40519
0.9515,0.48125,0.61075,-0.0197295,-0.064682,-0.049209498,1742093952.4196548
1.0,0.36775,0.54575,-0.03778075,-0.052673247,-0.044189498,1742093952.4351628
1.0,0.03725,0.39675,-0.05802925,-0.01693725,-0.0471345,1742093952.448881
0.998,-0.15525,0.3205,-0.060714748,-0.006546,-0.049881,1742093952.465652
0.99625,-0.34875,0.28525,-0.0581665,0.0137635,-0.0404815,1742093952.478027
0.9485,-0.67025,0.325,-0.05270375,0.032608002,-0.031158501,1742093952.4924748
0.83925,-0.778,0.33025,-0.03793325,0.074844256,-0.0102235,1742093952.506851
0.4935,-0.79625,0.23425,-0.028839001,0.089508004,-0.00148,1742093952.521408
0.34325,-0.73225,0.18925,-0.0073547503,0.0984345,0.013000499,1742093952.535896
0.0825,-0.604,0.1435,0.00254825,0.0908965,0.01474,1742093952.550206
-0.03425,-0.53025,0.12125,0.01115425,0.0822295,0.012557999,1742093952.565145
-0.14725,-0.496,0.121,0.031066999,0.0658265,0.01019275,1742093952.579089
