acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
-0.08525,-0.02775,0.23525,-0.00083925005,-0.003662,-0.00057975,1741884835.4436119
-0.0895,-0.02475,0.23625,-0.000763,-0.0036315,-0.0003815,1741884835.457485
-0.09075,-0.023,0.23625,-0.001007,-0.00367725,-0.00019825,1741884835.471904
-0.09375,-0.023,0.23375,-0.0011445,-0.00369275,-0.00042725,1741884835.4866052
-0.09425,-0.0245,0.23325,-0.001007,-0.0037079998,-0.001007,1741884835.501257
-0.09525,-0.02575,0.23475,-0.00068675,-0.00372325,-0.0011445,1741884835.515949
-0.09475,-0.02625,0.23625,-0.00033575002,-0.0037537501,-0.001175,1741884835.5305989
-0.09425,-0.027,0.2375,-0.00019825,-0.00358575,-0.0008545,1741884835.5452821
-0.0945,-0.027,0.23675,-0.00036625,-0.00343325,-0.00067150005,1741884835.559922
-0.09425,-0.0265,0.23575,-0.00051875,-0.0030975002,-0.00065625,1741884835.5745852
-0.094,-0.02425,0.232,-0.00051875,-0.0029907501,-0.00068675,1741884835.5897448
-0.09525,-0.02325,0.22925,-0.000473,-0.0031127501,-0.0009765,1741884835.603942
-0.0995,-0.022,0.224,-0.0002595,-0.00334175,-0.001236,1741884835.618839
-0.101,-0.02125,0.22225,0.0002135,-0.0043944996,-0.001709,1741884835.633209
-0.1015,-0.01525,0.22525,0.00030525,-0.00511175,-0.0019989999,1741884835.6487281
-0.10075,-0.0115,0.233,-0.00042725,-0.0063477503,-0.00302125,1741884835.6623812
-0.1045,-0.022,0.277,-0.0012970001,-0.0062407497,-0.0035704998,1741884835.6786811
-0.10425,-0.049,0.346,-0.00364675,-0.0003815,-0.0008545,1741884835.691884
-0.11925,-0.11075,0.58725,-0.004074,0.008133001,0.0042115003,1741884835.7064278
-0.136,-0.11,0.742,-0.00254825,0.02212525,0.0102845,1741884835.720907
-0.17525,-0.048,0.98075,0.0070647504,0.06758125,0.011901749,1741884835.7353458
-0.20475,-0.04875,1.0,0.0111085,0.099716246,0.00520325,1741884835.74977
-0.25525,-0.08825,1.0,0.016723748,0.17907725,-0.0062407497,1741884835.764297
-0.424,-0.11775,0.8755,0.022232,0.21449275,-0.003891,1741884835.779104
-0.52525,-0.0575,0.75225,0.036316004,0.25251776,0.00874325,1741884835.79322
-0.6995,-0.00725,0.349,0.040710498,0.25830075,0.01445,1741884835.809037
-0.70225,-0.02025,0.0905,0.044433497,0.246048,0.028473,1741884835.822027
-0.54825,0.00875,-0.41075,0.045456,0.22521976,0.0382995,1741884835.836402
-0.43575,0.091,-0.61225,0.042801,0.19458,0.047622748,1741884835.850812
-0.33875,0.19,-0.73625,0.016876249,0.1075745,0.0526275,1741884835.865361
-0.21075,0.27775,-0.67875,0.000824,0.06056225,0.043335,1741884835.8798091
-0.11925,0.26725,-0.50175,-0.012741,-0.0037995,0.00767525,1741884835.894322
0.06025,0.168,-0.16175,-0.008727999,-0.01805125,-0.00935375,1741884835.9092932
0.124,0.09125,-0.077,-0.00024425,-0.03044125,-0.026947001,1741884835.92351
0.23175,-0.02825,0.04025,-0.001892,-0.034225497,-0.02690125,1741884835.937985
0.27325,-0.0515,0.08225,-0.00912475,-0.03718575,-0.01747125,1741884835.952586
0.2965,-0.07,0.0775,-0.0114135,-0.03512575,-0.0133667495,1741884835.969068
0.29,-0.072,0.0705,-0.01206975,-0.032013,-0.00891125,1741884835.9818099
0.26225,-0.05875,0.0825,-0.0099639995,-0.03170775,-0.008788999,1741884835.996381
0.24925,-0.06475,0.084,-0.0064239996,-0.03138725,-0.010253999,1741884836.011101
0.24,-0.078,0.082,-0.00148,-0.03408825,-0.01148975,1741884836.025721
0.23425,-0.08975,0.09875,-0.0029449998,-0.03494275,-0.0090637505,1741884836.0405781
0.22775,-0.07975,0.0895,-0.00747675,-0.03028875,-0.00216675,1741884836.054836
0.20025,-0.04175,0.057,-0.00830075,-0.03070075,-0.00045775,1741884836.0695071
0.19575,-0.028,0.06225,-0.00399775,-0.033462502,-0.0003205,1741884836.084
0.18225,-0.012,0.08125,-0.00090025004,-0.0345,-0.0016632499,1741884836.0988002
0.176,-0.01625,0.0955,0.00163275,-0.036438,-0.00514225,1741884836.1130939
0.16875,-0.04475,0.1115,0.0022277501,-0.03668225,-0.0060882503,1741884836.12928
0.1645,-0.05725,0.1195,0.003418,-0.040985,-0.00738525,1741884836.14207
0.162,-0.085,0.15025,0.004074,-0.04420475,-0.0076295,1741884836.156661
0.1645,-0.0865,0.1685,0.004074,-0.046112,-0.007309,1741884836.1711402
0.16575,-0.07475,0.185,-0.00029,-0.043289248,-0.00538625,1741884836.185788
0.1485,-0.0495,0.189,-0.0031585,-0.040649503,-0.0044707498,1741884836.20049
0.13975,-0.04775,0.17375,-0.0052795,-0.04164125,-0.0048217503,1741884836.215064
0.115,-0.05575,0.152,-0.00343325,-0.045456,-0.00546275,1741884836.2296581
0.103,-0.07125,0.15375,-0.00024425,-0.054123,-0.0048979996,1741884836.244271
0.096,-0.09975,0.2065,-0.001709,-0.0563965,-0.0036010002,1741884836.258904
0.09725,-0.09975,0.2395,-0.004074,-0.0540925,-0.001709,1741884836.273515
0.08525,-0.0765,0.255,-0.0030975002,-0.051330503,-0.002411,1741884836.2900732
0.07525,-0.0635,0.2395,0.0018005001,-0.050231997,-0.0062712496,1741884836.302579
0.04175,-0.04575,0.20375,0.0049590003,-0.05284125,-0.0081635,1741884836.319047
0.0205,-0.03975,0.1945,0.0068055,-0.05662525,-0.009674,1741884836.331577
0.005,-0.03725,0.19925,0.0017395001,-0.063568,-0.01127625,1741884836.34608
-0.0165,-0.0445,0.2395,-0.0039215,-0.06425475,-0.010437001,1741884836.360692
-0.029,-0.05175,0.24975,-0.009552,-0.06106575,-0.007782,1741884836.37537
-0.05575,-0.069,0.26075,-0.009262,-0.06172175,-0.00903325,1741884836.390305
-0.07025,-0.07525,0.26825,-0.01013175,-0.07427975,-0.014923001,1741884836.404693
-0.11325,-0.06725,0.29325,-0.011627249,-0.08180226,-0.01690675,1741884836.419362
-0.122,-0.052,0.32325,-0.0149535,-0.08421325,-0.017120251,1741884836.434035
-0.07075,-0.07875,0.529,-0.01548775,-0.0771485,-0.01617425,1741884836.4494112
0.01225,-0.133,0.73675,-0.01708975,-0.044464,-0.0067597497,1741884836.4633129
0.157,-0.14,1.0,-0.015533499,-0.0135345,0.004303,1741884836.4792562
0.097,-0.08425,1.0,-0.0077515002,0.02896125,0.016861,1741884836.492295
-0.0485,-0.0495,1.0,0.01519775,0.12409975,0.028854249,1741884836.506751
-0.325,-0.12025,0.978,0.01867675,0.166275,0.024932751,1741884836.521111
-0.4495,-0.127,0.93725,0.01127625,0.2444,0.01086425,1741884836.535615
-0.6475,-0.05225,0.79275,0.013717749,0.27021798,0.0065002497,1741884836.5500019
-0.73525,-0.05,0.64475,0.024887,0.276764,0.0110015,1741884836.564502
