acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.24675,0.001,0.00475,0.00016775,-0.00016775,-0.00146475,1742091316.830246
0.2465,0.00025,0.00425,-9.15e-05,-0.0002595,-0.0015565,1742091316.8447108
0.246,-0.00175,0.00225,-0.00019825,-0.00036625,-0.001587,1742091316.859593
0.2465,-0.0035,0.00175,-0.0002595,-0.0004425,-0.001587,1742091316.8745081
0.2485,-0.00725,0.00275,7.625e-05,-0.000534,-0.00148,1742091316.888334
0.249,-0.0075,0.0035,0.00048825,-0.0004425,-0.001419,1742091316.902793
0.249,-0.0065,0.0045,0.0010375,-0.0005645,-0.0012207499,1742091316.917226
0.249,-0.0035,0.00775,0.0009765,-0.00061025,-0.0010375,1742091316.931592
0.249,-0.00275,0.0085,0.0003815,-0.00036625,-0.000412,1742091316.946319
0.2485,-0.00275,0.00775,6.1000002e-05,-0.0002595,-6.1000002e-05,1742091316.960927
0.2475,-0.00175,0.0075,-9.15e-05,1.5250001e-05,6.1000002e-05,1742091316.9752178
0.24575,-0.0,0.006,-1.5250001e-05,9.15e-05,-6.1000002e-05,1742091316.9897332
0.24525,-0.0,0.005,7.625e-05,3.0500001e-05,-0.0002135,1742091317.004117
0.245,-0.00025,0.00425,0.00024425,-0.00016775,-0.00039675,1742091317.01851
0.245,0.00025,0.00475,0.00030525,-0.00024425,-0.0004425,1742091317.0328221
0.24525,0.001,0.00575,0.00024425,-0.000229,-0.00057975,1742091317.047194
0.2455,0.001,0.006,0.000122000005,-0.0001525,-0.00064075,1742091317.062358
0.24575,-0.00075,0.00575,-9.15e-05,-0.0001525,-0.00068675,1742091317.07633
0.2465,-0.00325,0.0065,-0.000183,-9.15e-05,-0.00064075,1742091317.0909069
0.24625,-0.004,0.00625,-0.0002595,-1.5250001e-05,-0.0005645,1742091317.105398
0.24625,-0.00475,0.0045,-0.0001525,-7.625e-05,-0.00062550005,1742091317.119978
0.24625,-0.0045,0.0045,3.0500001e-05,-0.000183,-0.00068675,1742091317.134589
0.24725,-0.00525,0.0065,0.00010675,-0.00027475,-0.0007325,1742091317.149258
0.2475,-0.0055,0.0065,3.0500001e-05,-0.0002135,-0.00068675,1742091317.163739
0.24775,-0.006,0.00575,-3.0500001e-05,-3.0500001e-05,-0.00054925,1742091317.1783428
0.24725,-0.00675,0.00375,0.0,-3.0500001e-05,-0.00045775,1742091317.192843
0.24725,-0.007,0.0035,-3.0500001e-05,-0.00013725001,-0.00027475,1742091317.2073972
0.2475,-0.007,0.00375,-9.15e-05,-0.000183,-0.00013725001,1742091317.222881
0.2475,-0.0065,0.004,7.625e-05,-0.00033575002,1.5250001e-05,1742091317.2363899
0.24825,-0.00375,0.006,0.0002595,-0.0003815,-1.5250001e-05,1742091317.250894
0.248,-0.00275,0.00725,0.00048825,-0.00035100002,-0.00016775,1742091317.265339
0.2475,-0.00225,0.00875,0.0003815,-0.00019825,-0.00016775,1742091317.2799108
0.2475,-0.002,0.008,0.000183,-3.0500001e-05,-0.000122000005,1742091317.295088
0.24725,-0.002,0.0075,1.5250001e-05,0.00019825,-0.00013725001,1742091317.308714
0.2465,-0.004,0.006,4.575e-05,0.00019825,-0.0002135,1742091317.323005
0.246,-0.00475,0.00525,0.00016775,0.00013725001,-0.00027475,1742091317.3376179
0.2455,-0.00575,0.00425,0.000122000005,7.625e-05,-0.000183,1742091317.352841
0.24575,-0.006,0.00475,-1.5250001e-05,-1.5250001e-05,1.5250001e-05,1742091317.366551
0.24625,-0.00475,0.0055,6.1000002e-05,-3.0500001e-05,1.5250001e-05,1742091317.3810291
0.24625,-0.0035,0.006,0.00013725001,-9.15e-05,-6.1000002e-05,1742091317.395484
0.24675,-0.0015,0.006,4.575e-05,-0.00010675,-7.625e-05,1742091317.409926
0.24675,-0.00225,0.00575,-7.625e-05,-9.15e-05,-7.625e-05,1742091317.4244092
0.247,-0.0035,0.006,-0.000122000005,-4.575e-05,-0.000183,1742091317.438991
0.24675,-0.005,0.00625,-3.0500001e-05,-3.0500001e-05,-0.0002595,1742091317.4536262
0.2465,-0.0055,0.006,-7.625e-05,-0.00010675,-0.0002135,1742091317.4683158
0.2465,-0.006,0.006,-0.00010675,-0.00010675,-0.0001525,1742091317.4828212
0.24675,-0.00575,0.00625,-0.00016775,0.0,-4.575e-05,1742091317.497312
0.247,-0.0055,0.00675,-0.00013725001,0.0,1.5250001e-05,1742091317.512838
0.2465,-0.00475,0.00675,0.00027475,3.0500001e-05,-0.0001525,1742091317.526219
0.247,-0.00325,0.008,0.00030525,4.575e-05,-0.000229,1742091317.5405388
0.2475,-0.0035,0.00825,0.0002135,7.625e-05,-0.0002135,1742091317.5549939
0.247,-0.0035,0.00725,-0.000122000005,0.000229,-6.1000002e-05,1742091317.569481
0.246,-0.00325,0.00525,-0.0002595,0.00024425,-3.0500001e-05,1742091317.5839942
0.246,-0.0035,0.005,-4.575e-05,0.0002595,-0.0002595,1742091317.59849
0.2465,-0.005,0.00525,0.000122000005,0.000229,-0.00036625,1742091317.612812
0.2465,-0.0055,0.0055,0.00030525,0.0002135,-0.000412,1742091317.627098
0.24625,-0.00625,0.00525,0.00036625,0.000229,-0.000412,1742091317.641381
0.24625,-0.00625,0.005,0.00039675,0.0002135,-0.00035100002,1742091317.655787
0.246,-0.006,0.004,0.00030525,0.000183,-0.0002595,1742091317.670107
0.246,-0.00575,0.00375,0.00016775,0.00013725001,-0.000183,1742091317.6844091
0.24625,-0.00525,0.004,0.0002595,3.0500001e-05,-0.000183,1742091317.698926
0.247,-0.00525,0.00475,0.0003815,-3.0500001e-05,-0.0002135,1742091317.713423
0.247,-0.0055,0.005,0.0003205,-0.000122000005,-0.000183,1742091317.7279181
0.247,-0.00475,0.00675,0.00024425,-9.15e-05,-0.0001525,1742091317.742332
0.247,-0.00425,0.00775,0.00030525,0.00016775,-0.000229,1742091317.756704
0.24725,-0.0045,0.007,0.0004425,0.00029,-0.00033575002,1742091317.7721002
0.247,-0.00475,0.0055,0.00051875,0.00035100002,-0.00042725,1742091317.785428
0.2465,-0.0055,0.00375,0.00029,0.000229,-0.0003815,1742091317.799778
0.24575,-0.00625,0.00325,0.0002135,0.0001525,-0.00030525,1742091317.814244
0.2455,-0.00625,0.0045,0.00036625,9.15e-05,-0.00027475,1742091317.8286002
0.24575,-0.0075,0.00575,0.0003205,1.5250001e-05,-0.00024425,1742091317.843006
0.24575,-0.0075,0.0055,0.0001525,-0.00013725001,-6.1000002e-05,1742091317.8575401
0.245,-0.00525,0.005,0.000183,-7.625e-05,-4.575e-05,1742091317.872909
0.245,-0.0045,0.004,0.0003205,-3.0500001e-05,-0.000183,1742091317.886289
0.24675,-0.0045,0.004,0.00030525,-0.0001525,-0.0002135,1742091317.900873
0.248,-0.00525,0.00575,0.00024425,-0.00030525,-0.0002135,1742091317.915345
0.2485,-0.00575,0.00775,6.1000002e-05,-0.0002595,-6.1000002e-05,1742091317.929815
0.24825,-0.00475,0.00875,1.5250001e-05,-9.15e-05,-1.5250001e-05,1742091317.944296
0.24825,-0.00375,0.00875,4.575e-05,0.00013725001,-0.0002135,1742091317.958484
0.24775,-0.00325,0.0085,3.0500001e-05,0.000229,-0.0003205,1742091317.972895
0.24675,-0.00425,0.00725,-0.00010675,0.0003815,-0.00036625,1742091317.98733
0.2445,-0.00625,0.0025,-0.00013725001,0.00035100002,-0.0003205,1742091318.002547
0.24375,-0.007,0.00125,-9.15e-05,0.0002135,-0.00030525,1742091318.016204
0.24375,-0.00775,0.0015,0.00010675,-0.00019825,-0.00035100002,1742091318.0306392
