acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.014,0.24075,0.00625,-0.00160225,0.0001525,-0.00109875,1742092025.407873
0.016,0.24075,0.00975,-0.00149525,0.00016775,-0.00102225,1742092025.422772
0.01725,0.241,0.011,-0.00143425,0.00016775,-0.00074775,1742092025.436382
0.0165,0.243,0.01125,-0.0013580001,0.00013725001,-0.00059500005,1742092025.4508119
0.0155,0.2445,0.01025,-0.0012817499,0.00029,-0.0004425,1742092025.4664168
0.0145,0.24425,0.008,-0.001114,0.00039675,-0.00051875,1742092025.4796789
0.01475,0.24225,0.007,-0.000763,0.00035100002,-0.00059500005,1742092025.494018
0.015,0.24025,0.0065,1.5250001e-05,1.5250001e-05,-0.0004425,1742092025.5081532
0.0175,0.23825,0.00825,0.000229,-0.00010675,-0.00016775,1742092025.5225012
0.018,0.24075,0.0095,0.00064075,4.575e-05,1.5250001e-05,1742092025.536628
0.0165,0.24825,0.0115,0.00059500005,0.00029,0.00013725001,1742092025.5508192
0.01575,0.2515,0.01175,0.000229,0.00057975,0.00019825,1742092025.566134
0.01525,0.25275,0.01125,-0.00074775,0.00071725,-4.575e-05,1742092025.579369
0.015,0.24925,0.01,-0.0009765,0.0005645,-0.00033575002,1742092025.593672
0.01575,0.247,0.01,-0.00065625,0.00045775,-0.000824,1742092025.608049
0.01625,0.246,0.01075,-0.0004425,0.0005035,-0.000946,1742092025.6223528
0.0155,0.246,0.0105,-0.00064075,0.00042725,-0.00109875,1742092025.636671
0.0155,0.24325,0.0075,-0.00067150005,0.00039675,-0.0012665,1742092025.6510668
0.0155,0.24225,0.007,-0.00057975,0.0003815,-0.00143425,1742092025.666238
0.01575,0.24225,0.007,-0.000534,0.0005035,-0.0015105,1742092025.6796741
0.01625,0.24475,0.00625,-0.00070200005,0.00067150005,-0.00148,1742092025.694079
0.016,0.245,0.0045,-0.001175,0.0007325,-0.00148,1742092025.70838
0.01675,0.2435,0.00375,-0.0012970001,0.0005645,-0.00146475,1742092025.722786
0.018,0.24275,0.005,-0.00119025,0.00019825,-0.00143425,1742092025.737327
0.02125,0.2415,0.00875,-0.00102225,0.00016775,-0.001526,1742092025.751677
0.02225,0.24175,0.0095,-0.0007935,0.00054925,-0.001892,1742092025.7661061
0.022,0.243,0.0085,-0.00080875,0.0007325,-0.00187675,1742092025.7803469
0.02225,0.2435,0.00825,-0.0008545,0.00070200005,-0.0015565,1742092025.795986
0.02275,0.24375,0.00825,-0.001114,0.00036625,-0.00068675,1742092025.809173
0.023,0.24325,0.00775,-0.0013580001,0.000412,-0.000534,1742092025.823444
0.02275,0.24175,0.00575,-0.0015565,0.00077825,-0.00074775,1742092025.837892
0.0235,0.23925,0.003,-0.0013885,0.000763,-0.000824,1742092025.852261
0.02425,0.2405,0.00375,-0.00083925005,0.000473,-0.0007935,1742092025.8665679
0.0235,0.2455,0.00625,-0.0007325,0.0004425,-0.000824,1742092025.8808699
0.02275,0.247,0.00625,-0.000885,0.00051875,-0.00090025004,1742092025.8957682
0.0225,0.2465,0.00525,-0.00181575,0.00070200005,-0.00065625,1742092025.9095738
