acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
-0.24725,0.0015,0.00325,-0.00024425,0.00039675,-0.00027475,1742092102.192447
-0.2485,-0.00125,0.0035,-0.0004425,0.00059500005,-0.0003815,1742092102.209297
-0.24925,-0.0035,-0.00025,-0.000412,0.000885,-0.00027475,1742092102.220665
-0.2495,-0.0035,-0.0025,-0.00033575002,0.0008545,-9.15e-05,1742092102.234963
-0.2495,-0.003,-0.00375,-0.000122000005,0.000473,0.0001525,1742092102.249425
-0.24825,-0.001,-0.00375,-3.0500001e-05,0.00024425,7.625e-05,1742092102.263967
-0.248,0.0,-0.0025,3.0500001e-05,-3.0500001e-05,-0.00036625,1742092102.2784472
-0.2485,-0.00225,0.00125,-7.625e-05,-7.625e-05,-0.00057975,1742092102.293056
-0.249,-0.0045,0.003,-0.0002595,0.00019825,-0.00059500005,1742092102.307662
-0.251,-0.00475,0.0005,-0.0002595,0.00039675,-0.0004425,1742092102.3221672
-0.2515,-0.00425,-0.00225,-0.0002135,0.00039675,-0.000229,1742092102.33674
-0.2495,-0.005,-0.00175,-0.0002135,0.00024425,-9.15e-05,1742092102.351255
-0.2485,-0.004,-0.0,-0.00016775,0.00013725001,0.00010675,1742092102.3659031
-0.248,-0.002,0.001,-0.000122000005,7.625e-05,0.00024425,1742092102.380317
-0.2485,0.002,0.00125,-0.000229,0.00013725001,0.0001525,1742092102.394687
-0.249,0.0025,0.001,-0.00039675,0.00030525,-0.000183,1742092102.409158
-0.25,-0.00225,0.00075,-0.00045775,0.00033575002,-0.00029,1742092102.42364
-0.25075,-0.00475,0.00125,-0.000534,0.00019825,-0.0001525,1742092102.4381561
-0.25,-0.00525,0.00375,-0.00036625,0.00013725001,0.0,1742092102.452597
-0.249,-0.00325,0.005,0.00010675,0.0003205,0.00024425,1742092102.466961
-0.249,0.001,0.0025,0.00013725001,0.00045775,0.00024425,1742092102.482754
-0.24925,0.00175,0.00025,7.625e-05,0.00051875,0.0001525,1742092102.495595
-0.249,0.00175,-0.00125,-6.1000002e-05,0.00036625,-0.000183,1742092102.510499
-0.2475,0.00025,-0.00075,-7.625e-05,0.0002135,-0.00035100002,1742092102.524671
-0.24675,-0.002,0.00075,-4.575e-05,7.625e-05,-0.00045775,1742092102.539376
-0.247,-0.00325,0.002,-7.625e-05,7.625e-05,-0.00035100002,1742092102.5539699
-0.2475,-0.00275,0.003,-0.0003205,0.0002595,-0.00016775,1742092102.568483
-0.24975,-0.00075,0.001,-0.00033575002,0.00039675,-0.00010675,1742092102.583136
-0.2505,0.001,-0.001,-0.00019825,0.00036625,-7.625e-05,1742092102.597431
-0.2505,0.0005,-0.00075,-0.0002595,0.0002135,-0.000122000005,1742092102.6119199
-0.25025,-0.00025,-0.00075,-0.00027475,4.575e-05,-0.0001525,1742092102.6265569
-0.2495,-0.0,-0.00025,3.0500001e-05,-0.00035100002,-0.000183,1742092102.64117
-0.24725,-0.00075,0.0035,6.1000002e-05,-0.00042725,-0.00019825,1742092102.655757
-0.247,0.00075,0.004,4.575e-05,-0.00024425,-0.00019825,1742092102.670536
-0.248,0.00175,0.003,-6.1000002e-05,-0.0001525,-0.00024425,1742092102.684851
-0.24825,-0.0005,0.004,-0.0002595,-3.0500001e-05,-0.00033575002,1742092102.7008672
-0.2485,-0.005,0.0055,-0.00019825,6.1000002e-05,-0.00024425,1742092102.7142441
-0.24875,-0.005,0.00475,0.0,0.00029,0.000183,1742092102.728471
-0.24975,0.00075,-0.00025,0.000229,0.00033575002,0.0002595,1742092102.743297
-0.24975,0.0035,-0.0025,0.0003815,7.625e-05,-9.15e-05,1742092102.757227
-0.24925,0.00225,-0.0015,0.00016775,-0.00013725001,-0.00039675,1742092102.7719371
-0.2485,-0.0015,0.001,-9.15e-05,-0.0003205,-0.00059500005,1742092102.786401
-0.248,-0.00475,0.003,-0.00030525,-0.00033575002,-0.00042725,1742092102.801068
-0.24825,-0.0065,0.005,-0.0003205,-0.00016775,-0.00016775,1742092102.815725
-0.24875,-0.00575,0.00475,-0.000229,0.00019825,0.000412,1742092102.830382
-0.24875,-0.0,0.00125,3.0500001e-05,0.00030525,0.0005645,1742092102.844898
-0.24875,0.0015,-0.00025,0.0001525,0.0001525,0.0004425,1742092102.860192
-0.248,-0.002,0.0005,-1.5250001e-05,1.5250001e-05,0.00036625,1742092102.873884
-0.24725,-0.00375,0.001,0.000122000005,-0.0002135,0.00048825,1742092102.888494
-0.24625,-0.006,0.00025,0.00024425,-0.0003205,0.00067150005,1742092102.902884
-0.2455,-0.0065,0.0005,0.00027475,-0.000412,0.000946,1742092102.9174101
