acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
0.0005,-0.01075,0.252,-0.000229,-4.575e-05,3.0500001e-05,1742092132.11504
0.0005,-0.01075,0.2515,-0.0002135,-9.15e-05,3.0500001e-05,1742092132.128818
0.00075,-0.01075,0.2515,-0.00019825,-9.15e-05,6.1000002e-05,1742092132.143214
0.00075,-0.011,0.25175,-0.00013725001,-6.1000002e-05,0.000183,1742092132.157692
0.001,-0.01125,0.252,-0.00013725001,-9.15e-05,0.00029,1742092132.172162
0.0,-0.01075,0.25175,-9.15e-05,-7.625e-05,0.00027475,1742092132.186707
-0.0005,-0.01,0.25025,-7.625e-05,-6.1000002e-05,0.00013725001,1742092132.201689
0.00025,-0.01025,0.25025,-9.15e-05,-4.575e-05,7.625e-05,1742092132.215683
0.0,-0.01025,0.2515,-0.0002595,-4.575e-05,0.0002595,1742092132.230227
-0.0005,-0.01,0.25225,-0.0002595,-4.575e-05,0.0002595,1742092132.244687
-0.0,-0.01025,0.2515,-3.0500001e-05,1.5250001e-05,0.000122000005,1742092132.259082
0.00075,-0.01075,0.25175,-1.5250001e-05,3.0500001e-05,0.00013725001,1742092132.273537
0.001,-0.01075,0.252,-3.0500001e-05,1.5250001e-05,0.00010675,1742092132.287915
0.0005,-0.0105,0.25125,-1.5250001e-05,-1.5250001e-05,7.625e-05,1742092132.302291
0.0005,-0.01025,0.25175,-6.1000002e-05,-7.625e-05,4.575e-05,1742092132.316698
0.00025,-0.01,0.252,-9.15e-05,-7.625e-05,6.1000002e-05,1742092132.3311849
0.00025,-0.0105,0.25175,-0.000122000005,-6.1000002e-05,7.625e-05,1742092132.3456728
-0.0,-0.01075,0.2515,-7.625e-05,-4.575e-05,0.0,1742092132.36131
-0.00025,-0.01025,0.25175,0.0,-1.5250001e-05,-4.575e-05,1742092132.374916
-0.0,-0.01025,0.25175,1.5250001e-05,3.0500001e-05,-3.0500001e-05,1742092132.3892941
0.0005,-0.01,0.2515,-1.5250001e-05,1.5250001e-05,0.0,1742092132.403605
0.00075,-0.01,0.2515,-4.575e-05,3.0500001e-05,1.5250001e-05,1742092132.417939
0.0005,-0.00975,0.25175,-4.575e-05,4.575e-05,1.5250001e-05,1742092132.433656
0.0005,-0.01,0.25175,-3.0500001e-05,7.625e-05,3.0500001e-05,1742092132.4467
0.0005,-0.0105,0.2515,7.625e-05,6.1000002e-05,-1.5250001e-05,1742092132.461735
0.00075,-0.0105,0.2515,0.00010675,6.1000002e-05,-6.1000002e-05,1742092132.475451
0.00075,-0.01025,0.25175,6.1000002e-05,3.0500001e-05,-9.15e-05,1742092132.490963
0.00025,-0.01025,0.2515,0.0,3.0500001e-05,-7.625e-05,1742092132.504163
0.00025,-0.01025,0.25175,-1.5250001e-05,6.1000002e-05,-9.15e-05,1742092132.51862
0.0005,-0.01025,0.25175,0.0,6.1000002e-05,-9.15e-05,1742092132.533452
0.0005,-0.01025,0.25175,3.0500001e-05,3.0500001e-05,-9.15e-05,1742092132.5472052
0.0005,-0.0105,0.2515,3.0500001e-05,-1.5250001e-05,-7.625e-05,1742092132.561685
0.0005,-0.01025,0.252,1.5250001e-05,-6.1000002e-05,-9.15e-05,1742092132.576038
0.00025,-0.01,0.252,6.1000002e-05,1.5250001e-05,-0.00016775,1742092132.590555
0.00025,-0.01025,0.25125,6.1000002e-05,3.0500001e-05,-0.0001525,1742092132.604697
0.00025,-0.01025,0.2515,3.0500001e-05,4.575e-05,-0.00010675,1742092132.619066
0.00075,-0.01025,0.252,1.5250001e-05,4.575e-05,-0.00010675,1742092132.633613
0.00075,-0.01025,0.25175,6.1000002e-05,7.625e-05,-0.00013725001,1742092132.64814
0.0005,-0.0105,0.2515,7.625e-05,9.15e-05,-0.0001525,1742092132.6625988
0.00075,-0.01075,0.2515,6.1000002e-05,6.1000002e-05,-0.00013725001,1742092132.676919
0.0005,-0.01075,0.252,4.575e-05,1.5250001e-05,-0.0001525,1742092132.691301
0.00075,-0.01025,0.2515,9.15e-05,3.0500001e-05,-0.0001525,1742092132.7055922
0.00075,-0.01,0.2515,0.00013725001,4.575e-05,-0.000122000005,1742092132.720682
0.0005,-0.01,0.25125,0.000122000005,3.0500001e-05,-0.00010675,1742092132.734227
0.00025,-0.01025,0.25125,-1.5250001e-05,-6.1000002e-05,0.0,1742092132.750777
-0.00025,-0.0105,0.25175,-4.575e-05,-4.575e-05,-1.5250001e-05,1742092132.7633421
0.00025,-0.01075,0.251,-3.0500001e-05,0.0,-7.625e-05,1742092132.7778099
0.00075,-0.01075,0.25075,-6.1000002e-05,0.0,-4.575e-05,1742092132.792275
0.0005,-0.01075,0.251,-0.000122000005,-3.0500001e-05,-1.5250001e-05,1742092132.806804
0.00025,-0.01025,0.2515,-0.00013725001,-1.5250001e-05,-1.5250001e-05,1742092132.821543
0.00025,-0.01,0.2515,-0.000122000005,3.0500001e-05,-3.0500001e-05,1742092132.836133
0.00025,-0.01,0.25175,-0.0002135,9.15e-05,7.625e-05,1742092132.8509371
-0.0,-0.01,0.2515,-0.00024425,9.15e-05,0.00010675,1742092132.865023
0.0,-0.01,0.2515,-0.00024425,9.15e-05,0.00013725001,1742092132.879405
0.0005,-0.01,0.25175,-0.00024425,9.15e-05,0.0001525,1742092132.893739
0.00075,-0.01,0.25175,-0.00019825,7.625e-05,0.00016775,1742092132.908129
0.0005,-0.01,0.25175,-0.00016775,6.1000002e-05,0.00016775,1742092132.922462
0.0005,-0.01,0.252,-0.00013725001,6.1000002e-05,0.0001525,1742092132.936725
0.0005,-0.00975,0.252,-6.1000002e-05,1.5250001e-05,6.1000002e-05,1742092132.951212
0.0005,-0.01,0.25175,-4.575e-05,-1.5250001e-05,3.0500001e-05,1742092132.965604
0.00075,-0.01,0.25175,-4.575e-05,-3.0500001e-05,-4.575e-05,1742092132.9801102
0.0005,-0.01,0.252,-6.1000002e-05,-1.5250001e-05,-6.1000002e-05,1742092132.994807
0.0005,-0.01,0.25175,-4.575e-05,-3.0500001e-05,-4.575e-05,1742092133.0093062
0.0005,-0.00975,0.25125,-3.0500001e-05,-3.0500001e-05,-4.575e-05,1742092133.023941
0.0005,-0.0095,0.25125,-4.575e-05,-1.5250001e-05,-6.1000002e-05,1742092133.038527
0.001,-0.00975,0.25175,-7.625e-05,-3.0500001e-05,-4.575e-05,1742092133.053101
0.0005,-0.0095,0.252,-9.15e-05,-3.0500001e-05,-1.5250001e-05,1742092133.0676968
0.0005,-0.00975,0.25175,0.0,-1.5250001e-05,-7.625e-05,1742092133.0831091
0.00075,-0.01,0.25175,0.0,-4.575e-05,-9.15e-05,1742092133.0964758
0.00075,-0.00975,0.252,1.5250001e-05,-3.0500001e-05,-0.00013725001,1742092133.1112452
0.00025,-0.00975,0.25125,3.0500001e-05,-3.0500001e-05,-0.000122000005,1742092133.12531
0.00025,-0.00975,0.25125,-1.5250001e-05,-3.0500001e-05,-0.000122000005,1742092133.1403708
0.00025,-0.00975,0.25175,-4.575e-05,-1.5250001e-05,-0.00013725001,1742092133.154369
0.00025,-0.0095,0.252,-4.575e-05,-1.5250001e-05,-0.0001525,1742092133.1689348
0.00025,-0.0095,0.25175,-6.1000002e-05,-3.0500001e-05,-0.0001525,1742092133.183397
0.00025,-0.00975,0.25175,-7.625e-05,-3.0500001e-05,-0.00013725001,1742092133.1979148
0.00025,-0.01,0.25175,-6.1000002e-05,0.0,-0.00013725001,1742092133.212302
